Wyoming, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,15.8,-4.8
189612,27.3,6.7
189712,16.2,-4.4
189812,14.1,-6.5
189912,17.6,-3.0
190012,24.4,3.8
190112,20,-0.6
190212,19.1,-1.5
190312,22.1,1.5
190412,22.6,2.0
190512,18.4,-2.2
190612,26.2,5.6
190712,21.4,0.8
190812,18.7,-1.9
190912,9.1,-11.5
191012,22.7,2.1
191112,15.8,-4.8
191212,19.3,-1.3
191312,16.4,-4.2
191412,12.8,-7.8
191512,21.5,0.9
191612,12.6,-8.0
191712,24.2,3.6
191812,21.3,0.7
191912,15,-5.6
192012,20.3,-0.3
192112,21.7,1.1
192212,18.9,-1.7
192312,18.7,-1.9
192412,13.7,-6.9
192512,24.1,3.5
192612,19.1,-1.5
192712,12.8,-7.8
192812,16.4,-4.2
192912,25.1,4.5
193012,19.5,-1.1
193112,18.8,-1.8
193212,11.2,-9.4
193312,28.6,8.0
193412,22.6,2.0
193512,21.5,0.9
193612,23,2.4
193712,21.7,1.1
193812,22.7,2.1
193912,29.2,8.6
194012,23.8,3.2
194112,23.9,3.3
194212,23.3,2.7
194312,22.6,2.0
194412,18.5,-2.1
194512,18,-2.6
194612,26.5,5.9
194712,21.8,1.2
194812,17.1,-3.5
194912,20.3,-0.3
195012,26.5,5.9
195112,17,-3.6
195212,22.6,2.0
195312,22.2,1.6
195412,22.5,1.9
195512,22.2,1.6
195612,23.6,3.0
195712,26.6,6.0
195812,24.4,3.8
195912,25.2,4.6
196012,20.3,-0.3
196112,17.3,-3.3
196212,25.5,4.9
196312,20.1,-0.5
196412,19.7,-0.9
196512,24.1,3.5
196612,21.3,0.7
196712,15.6,-5.0
196812,17.2,-3.4
196912,23.8,3.2
197012,20,-0.6
197112,18.3,-2.3
197212,14,-6.6
197312,23.6,3.0
197412,20.6,0.0
197512,24.8,4.2
197612,23.4,2.8
197712,22.6,2.0
197812,11,-9.6
197912,25.5,4.9
198012,30.1,9.5
198112,24.3,3.7
198212,20.6,0.0
198312,9.1,-11.5
198412,17.6,-3.0
198512,18,-2.6
198612,22.2,1.6
198712,20.5,-0.1
198812,21.3,0.7
198912,19.5,-1.1
199012,12.7,-7.9
199112,22.4,1.8
199212,16.3,-4.3
199312,22.9,2.3
199412,25.3,4.7
199512,24.7,4.1
199612,21.3,0.7
199712,21,0.4
199812,21.3,0.7
199912,25.3,4.7
200012,19,-1.6
200112,21.2,0.6
200212,24.9,4.3
200312,24.8,4.2
200412,25.8,5.2
200512,20.6,0.0
200612,23.7,3.1
200712,18.1,-2.5
200812,18.9,-1.7
200912,14.5,-6.1
201012,23.9,3.3
201112,21,0.4
201212,22.1,1.5
201312,18.1,-2.5
201412,24.8,4.2
201512,21.5,0.9
