Idaho, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,30.5,-2.1
189603,31,-1.6
189703,25.1,-7.5
189803,28.7,-3.9
189903,30.6,-2.0
190003,38.4,5.8
190103,32,-0.6
190203,30.2,-2.4
190303,31.1,-1.5
190403,30.7,-1.9
190503,37,4.4
190603,28.2,-4.4
190703,34.3,1.7
190803,32.9,0.3
190903,33.8,1.2
191003,39.2,6.6
191103,34.1,1.5
191203,29.6,-3.0
191303,28.8,-3.8
191403,35,2.4
191503,36.9,4.3
191603,35.1,2.5
191703,22.2,-10.4
191803,35,2.4
191903,32.2,-0.4
192003,30.9,-1.7
192103,35.3,2.7
192203,26.4,-6.2
192303,28.9,-3.7
192403,29.8,-2.8
192503,34.6,2.0
192603,35.9,3.3
192703,32.2,-0.4
192803,34.5,1.9
192903,32.3,-0.3
193003,33.8,1.2
193103,32.2,-0.4
193203,30,-2.6
193303,30.7,-1.9
193403,41.2,8.6
193503,30.3,-2.3
193603,29.8,-2.8
193703,32.5,-0.1
193803,31.9,-0.7
193903,33.6,1.0
194003,36.7,4.1
194103,36.5,3.9
194203,29.6,-3.0
194303,28.5,-4.1
194403,28.9,-3.7
194503,31.4,-1.2
194603,34.8,2.2
194703,36.4,3.8
194803,29,-3.6
194903,33.2,0.6
195003,30.9,-1.7
195103,28,-4.6
195203,26.6,-6.0
195303,34.3,1.7
195403,30.2,-2.4
195503,25.5,-7.1
195603,30.9,-1.7
195703,33.5,0.9
195803,31,-1.6
195903,32.4,-0.2
196003,32.2,-0.4
196103,34.2,1.6
196203,28.9,-3.7
196303,34,1.4
196403,26.2,-6.4
196503,28.2,-4.4
196603,32.5,-0.1
196703,32.7,0.1
196803,36.8,4.2
196903,28.6,-4.0
197003,31.7,-0.9
197103,29.4,-3.2
197203,36.7,4.1
197303,32.4,-0.2
197403,33.2,0.6
197503,30.3,-2.3
197603,27.4,-5.2
197703,30.8,-1.8
197803,37.5,4.9
197903,33.5,0.9
198003,32.4,-0.2
198103,36.5,3.9
198203,33.5,0.9
198303,36.1,3.5
198403,32.8,0.2
198503,27.8,-4.8
198603,39.8,7.2
198703,35.4,2.8
198803,33.8,1.2
198903,34,1.4
199003,36.1,3.5
199103,33.2,0.6
199203,41,8.4
199303,35,2.4
199403,37.4,4.8
199503,33.8,1.2
199603,34.8,2.2
199703,34.6,2.0
199803,34,1.4
199903,33.8,1.2
200003,34.5,1.9
200103,36.6,4.0
200203,30.1,-2.5
200303,36.3,3.7
200403,39.3,6.7
200503,35.9,3.3
200603,32.4,-0.2
200703,38.9,6.3
200803,30.3,-2.3
200903,31.4,-1.2
201003,35.2,2.6
201103,33.4,0.8
201203,36.4,3.8
201303,35.1,2.5
201403,36.2,3.6
201503,40.9,8.3
