Massachusetts, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,66.5,2.1
189606,62.9,-1.5
189706,60.4,-4.0
189806,64.4,0.0
189906,66.9,2.5
190006,65.3,0.9
190106,65.3,0.9
190206,61.7,-2.7
190306,58.4,-6.0
190406,62.4,-2.0
190506,62.5,-1.9
190606,64,-0.4
190706,61.6,-2.8
190806,66,1.6
190906,65.2,0.8
191006,62.2,-2.2
191106,62.7,-1.7
191206,63.6,-0.8
191306,63.7,-0.7
191406,63.3,-1.1
191506,62.2,-2.2
191606,59.6,-4.8
191706,63.7,-0.7
191806,61.1,-3.3
191906,65.8,1.4
192006,62.6,-1.8
192106,64.9,0.5
192206,65.8,1.4
192306,65.8,1.4
192406,62.2,-2.2
192506,67.5,3.1
192606,60.1,-4.3
192706,61,-3.4
192806,61.8,-2.6
192906,65.2,0.8
193006,68.6,4.2
193106,64.7,0.3
193206,63.8,-0.6
193306,66.3,1.9
193406,66.1,1.7
193506,63.7,-0.7
193606,64.3,-0.1
193706,64.8,0.4
193806,64.9,0.5
193906,64.2,-0.2
194006,62.7,-1.7
194106,65.3,0.9
194206,65.1,0.7
194306,68.6,4.2
194406,64.8,0.4
194506,64.2,-0.2
194606,63.9,-0.5
194706,62.1,-2.3
194806,61.8,-2.6
194906,68.5,4.1
195006,64.8,0.4
195106,63.3,-1.1
195206,66.6,2.2
195306,66.1,1.7
195406,64.6,0.2
195506,63.5,-0.9
195606,65.7,1.3
195706,68,3.6
195806,60.3,-4.1
195906,63.1,-1.3
196006,64.9,0.5
196106,65.4,1.0
196206,65.1,0.7
196306,65.2,0.8
196406,64.1,-0.3
196506,63.6,-0.8
196606,65.3,0.9
196706,66,1.6
196806,62.9,-1.5
196906,65.3,0.9
197006,64.1,-0.3
197106,65.6,1.2
197206,62.8,-1.6
197306,67.3,2.9
197406,63.6,-0.8
197506,64.5,0.1
197606,68.5,4.1
197706,62.9,-1.5
197806,64.5,0.1
197906,63.9,-0.5
198006,62.2,-2.2
198106,65.9,1.5
198206,61.1,-3.3
198306,66.3,1.9
198406,66.5,2.1
198506,61.3,-3.1
198606,62.6,-1.8
198706,65.6,1.2
198806,64.1,-0.3
198906,65.7,1.3
199006,65,0.6
199106,66.3,1.9
199206,63.7,-0.7
199306,64.9,0.5
199406,67.8,3.4
199506,65.8,1.4
199606,66,1.6
199706,65.3,0.9
199806,64.2,-0.2
199906,68.1,3.7
200006,65.1,0.7
200106,67.5,3.1
200206,64,-0.4
200306,64,-0.4
200406,63.7,-0.7
200506,68.2,3.8
200606,66.4,2.0
200706,65.6,1.2
200806,67.4,3.0
200906,62.8,-1.6
201006,67.6,3.2
201106,65.2,0.8
201206,65,0.6
201306,67,2.6
201406,65.9,1.5
201506,63.7,-0.7
