Minnesota, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,48,6.7
189604,41.9,0.6
189704,41.6,0.3
189804,41.2,-0.1
189904,41.4,0.1
190004,48.1,6.8
190104,44.4,3.1
190204,40.2,-1.1
190304,41.5,0.2
190404,36.8,-4.5
190504,39.6,-1.7
190604,46,4.7
190704,32.3,-9.0
190804,43.5,2.2
190904,33.8,-7.5
191004,46.4,5.1
191104,41.1,-0.2
191204,43.6,2.3
191304,44.8,3.5
191404,39.2,-2.1
191504,50.6,9.3
191604,39.1,-2.2
191704,37.6,-3.7
191804,40.2,-1.1
191904,41.6,0.3
192004,33.7,-7.6
192104,45,3.7
192204,41.4,0.1
192304,39,-2.3
192404,40.1,-1.2
192504,47.5,6.2
192604,39.5,-1.8
192704,41.4,0.1
192804,35.5,-5.8
192904,42.2,0.9
193004,44,2.7
193104,44.2,2.9
193204,41.6,0.3
193304,40.1,-1.2
193404,40.8,-0.5
193504,38.5,-2.8
193604,34.7,-6.6
193704,38.9,-2.4
193804,41.6,0.3
193904,38.6,-2.7
194004,38.8,-2.5
194104,47.1,5.8
194204,47.4,6.1
194304,41.3,0.0
194404,38.6,-2.7
194504,38.9,-2.4
194604,45.9,4.6
194704,37.6,-3.7
194804,44,2.7
194904,43.8,2.5
195004,32,-9.3
195104,38,-3.3
195204,45.5,4.2
195304,37.6,-3.7
195404,40.6,-0.7
195504,49,7.7
195604,36.4,-4.9
195704,41.3,0.0
195804,43.7,2.4
195904,41.6,0.3
196004,41.1,-0.2
196104,36.4,-4.9
196204,38.5,-2.8
196304,44,2.7
196404,42.8,1.5
196504,39.9,-1.4
196604,37.1,-4.2
196704,40.2,-1.1
196804,43.6,2.3
196904,44.1,2.8
197004,39.8,-1.5
197104,42.6,1.3
197204,38.4,-2.9
197304,41.1,-0.2
197404,42.1,0.8
197504,35.1,-6.2
197604,46.8,5.5
197704,48.5,7.2
197804,40.9,-0.4
197904,36.8,-4.5
198004,45.9,4.6
198104,45.2,3.9
198204,38.8,-2.5
198304,39.3,-2.0
198404,44.2,2.9
198504,46.6,5.3
198604,45.2,3.9
198704,49.8,8.5
198804,42.9,1.6
198904,40.2,-1.1
199004,42.5,1.2
199104,45.8,4.5
199204,39,-2.3
199304,40.4,-0.9
199404,41.9,0.6
199504,37.1,-4.2
199604,36.5,-4.8
199704,38.8,-2.5
199804,46.8,5.5
199904,44.7,3.4
200004,42.2,0.9
200104,43.4,2.1
200204,40.4,-0.9
200304,43.4,2.1
200404,43.7,2.4
200504,47.7,6.4
200604,48.9,7.6
200704,41.2,-0.1
200804,39.6,-1.7
200904,41.9,0.6
201004,50,8.7
201104,41.6,0.3
201204,45.5,4.2
201304,34,-7.3
201404,38.4,-2.9
201504,44.6,3.3
