Idaho, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,54.5,-2.2
189606,59.2,2.5
189706,56.5,-0.2
189806,57.9,1.2
189906,55.2,-1.5
190006,62,5.3
190106,51.9,-4.8
190206,56.2,-0.5
190306,60.2,3.5
190406,55.7,-1.0
190506,54.7,-2.0
190606,53,-3.7
190706,52.7,-4.0
190806,52.3,-4.4
190906,57.5,0.8
191006,57.7,1.0
191106,57.6,0.9
191206,57.9,1.2
191306,56.7,0.0
191406,54.7,-2.0
191506,53.5,-3.2
191606,53.8,-2.9
191706,53.8,-2.9
191806,63.4,6.7
191906,58.5,1.8
192006,54.9,-1.8
192106,59.2,2.5
192206,60.6,3.9
192306,53.9,-2.8
192406,56.8,0.1
192506,56.8,0.1
192606,60.2,3.5
192706,57.7,1.0
192806,54.2,-2.5
192906,55.4,-1.3
193006,55.6,-1.1
193106,59.6,2.9
193206,57.4,0.7
193306,60.7,4.0
193406,57,0.3
193506,56.9,0.2
193606,59.8,3.1
193706,56.1,-0.6
193806,58.4,1.7
193906,54.1,-2.6
194006,61.2,4.5
194106,56.2,-0.5
194206,53.5,-3.2
194306,52.8,-3.9
194406,53.7,-3.0
194506,53.1,-3.6
194606,56.7,0.0
194706,53.4,-3.3
194806,59.1,2.4
194906,56.5,-0.2
195006,55.2,-1.5
195106,53.3,-3.4
195206,56.6,-0.1
195306,53.6,-3.1
195406,53.5,-3.2
195506,56.4,-0.3
195606,56.8,0.1
195706,57.2,0.5
195806,58.6,1.9
195906,59.3,2.6
196006,58.7,2.0
196106,62.8,6.1
196206,56.7,0.0
196306,54.8,-1.9
196406,54.5,-2.2
196506,55.6,-1.1
196606,55.8,-0.9
196706,56.1,-0.6
196806,56.7,0.0
196906,56.5,-0.2
197006,58.7,2.0
197106,54.8,-1.9
197206,58.3,1.6
197306,57.2,0.5
197406,61.1,4.4
197506,54.1,-2.6
197606,54.4,-2.3
197706,61.7,5.0
197806,56.4,-0.3
197906,57.8,1.1
198006,54.9,-1.8
198106,55.4,-1.3
198206,57.1,0.4
198306,55.6,-1.1
198406,54.2,-2.5
198506,58.6,1.9
198606,62.2,5.5
198706,59.8,3.1
198806,61.9,5.2
198906,58.3,1.6
199006,57.2,0.5
199106,54.7,-2.0
199206,60.4,3.7
199306,53.6,-3.1
199406,58.4,1.7
199506,54.4,-2.3
199606,58.3,1.6
199706,57.2,0.5
199806,53.6,-3.1
199906,55.6,-1.1
200006,58.6,1.9
200106,57.5,0.8
200206,58.8,2.1
200306,59.1,2.4
200406,58.4,1.7
200506,54.3,-2.4
200606,60.6,3.9
200706,59.6,2.9
200806,56.3,-0.4
200906,56.3,-0.4
201006,55.5,-1.2
201106,54,-2.7
201206,56.9,0.2
201306,59.3,2.6
201406,56.7,0.0
201506,64.8,8.1
