South Carolina, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,60.4,-1.5
189604,66.2,4.3
189704,61.7,-0.2
189804,57.7,-4.2
189904,59.6,-2.3
190004,62.3,0.4
190104,55.4,-6.5
190204,59.5,-2.4
190304,59.9,-2.0
190404,58.6,-3.3
190504,62.4,0.5
190604,63.7,1.8
190704,55.6,-6.3
190804,65.9,4.0
190904,63.1,1.2
191004,62.4,0.5
191104,60.4,-1.5
191204,63.4,1.5
191304,60,-1.9
191404,62.6,0.7
191504,61.7,-0.2
191604,60.6,-1.3
191704,64.1,2.2
191804,60.1,-1.8
191904,61.5,-0.4
192004,60.6,-1.3
192104,62.6,0.7
192204,64,2.1
192304,60.7,-1.2
192404,61,-0.9
192504,65,3.1
192604,59.7,-2.2
192704,63.2,1.3
192804,60,-1.9
192904,64,2.1
193004,63.1,1.2
193104,60,-1.9
193204,62,0.1
193304,61.1,-0.8
193404,62.9,1.0
193504,62.3,0.4
193604,60.1,-1.8
193704,60.6,-1.3
193804,62.2,0.3
193904,61.7,-0.2
194004,60.2,-1.7
194104,63.9,2.0
194204,63.5,1.6
194304,60.6,-1.3
194404,61.1,-0.8
194504,66.1,4.2
194604,63.2,1.3
194704,65.1,3.2
194804,65.1,3.2
194904,60.7,-1.2
195004,59.9,-2.0
195104,60.7,-1.2
195204,60.9,-1.0
195304,61.3,-0.6
195404,65.9,4.0
195504,65.2,3.3
195604,60.4,-1.5
195704,64,2.1
195804,61.7,-0.2
195904,63.5,1.6
196004,63.9,2.0
196104,57,-4.9
196204,59.5,-2.4
196304,63.7,1.8
196404,62.3,0.4
196504,63,1.1
196604,60.9,-1.0
196704,65.1,3.2
196804,62.8,0.9
196904,62.6,0.7
197004,64.2,2.3
197104,60.6,-1.3
197204,61.6,-0.3
197304,59.9,-2.0
197404,62.2,0.3
197504,60.6,-1.3
197604,62.5,0.6
197704,65,3.1
197804,63.2,1.3
197904,63.1,1.2
198004,62.3,0.4
198104,65.9,4.0
198204,59.9,-2.0
198304,57.3,-4.6
198404,59.6,-2.3
198504,63.9,2.0
198604,63.4,1.5
198704,59.4,-2.5
198804,61.7,-0.2
198904,61.1,-0.8
199004,61.6,-0.3
199104,65.1,3.2
199204,60.9,-1.0
199304,58.4,-3.5
199404,64.5,2.6
199504,64.1,2.2
199604,60.9,-1.0
199704,59,-2.9
199804,62,0.1
199904,65.3,3.4
200004,60.4,-1.5
200104,63.5,1.6
200204,67.4,5.5
200304,61.1,-0.8
200404,62.5,0.6
200504,60.5,-1.4
200604,66,4.1
200704,60.9,-1.0
200804,61.7,-0.2
200904,61.7,-0.2
201004,64.5,2.6
201104,65.1,3.2
201204,64.2,2.3
201304,62.1,0.2
201404,63.3,1.4
201504,64.7,2.8
