Pennsylvania, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,64.8,3.1
189609,60.5,-1.2
189709,61.5,-0.2
189809,64,2.3
189909,59.9,-1.8
190009,66.1,4.4
190109,61.7,0.0
190209,60.7,-1.0
190309,61.5,-0.2
190409,61.7,0.0
190509,61.8,0.1
190609,65,3.3
190709,62.6,0.9
190809,63.5,1.8
190909,60.4,-1.3
191009,63.4,1.7
191109,62.8,1.1
191209,63.8,2.1
191309,60.2,-1.5
191409,59.2,-2.5
191509,64.2,2.5
191609,60.5,-1.2
191709,57.5,-4.2
191809,56.8,-4.9
191909,62.3,0.6
192009,62.1,0.4
192109,66.5,4.8
192209,64,2.3
192309,62.4,0.7
192409,57.4,-4.3
192509,65.1,3.4
192609,61.8,0.1
192709,62.6,0.9
192809,58,-3.7
192909,63.4,1.7
193009,65.4,3.7
193109,66.8,5.1
193209,62.8,1.1
193309,64,2.3
193409,64,2.3
193509,59.5,-2.2
193609,63.9,2.2
193709,59.2,-2.5
193809,59.6,-2.1
193909,63.4,1.7
194009,59,-2.7
194109,63.7,2.0
194209,61.7,0.0
194309,59.9,-1.8
194409,62,0.3
194509,64.4,2.7
194609,62.8,1.1
194709,62.9,1.2
194809,62.2,0.5
194909,58.1,-3.6
195009,59.1,-2.6
195109,61.1,-0.6
195209,61.6,-0.1
195309,61.9,0.2
195409,62.5,0.8
195509,61.5,-0.2
195609,58.2,-3.5
195709,62.2,0.5
195809,60.9,-0.8
195909,65,3.3
196009,63.3,1.6
196109,67.1,5.4
196209,57.4,-4.3
196309,57.9,-3.8
196409,61.1,-0.6
196509,63.7,2.0
196609,58.7,-3.0
196709,58.8,-2.9
196809,62.9,1.2
196909,61.4,-0.3
197009,64.7,3.0
197109,65.1,3.4
197209,62.6,0.9
197309,62.6,0.9
197409,59.1,-2.6
197509,57.9,-3.8
197609,59,-2.7
197709,63.4,1.7
197809,62.3,0.6
197909,61.3,-0.4
198009,64,2.3
198109,60.2,-1.5
198209,61.1,-0.6
198309,62.4,0.7
198409,59,-2.7
198509,63.1,1.4
198609,61.9,0.2
198709,61.7,0.0
198809,59.8,-1.9
198909,61.7,0.0
199009,60.8,-0.9
199109,60.9,-0.8
199209,60.6,-1.1
199309,60.6,-1.1
199409,60.3,-1.4
199509,60.4,-1.3
199609,61.9,0.2
199709,60.4,-1.3
199809,64.7,3.0
199909,62.8,1.1
200009,60.6,-1.1
200109,60.4,-1.3
200209,64.9,3.2
200309,61.7,0.0
200409,64.1,2.4
200509,65.5,3.8
200609,60.1,-1.6
200709,64.4,2.7
200809,63.4,1.7
200909,61.4,-0.3
201009,63.6,1.9
201109,64.4,2.7
201209,62,0.3
201309,61,-0.7
201409,62.5,0.8
201509,66.5,4.8
