Wisconsin, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,8.9,-7.5
189602,18.1,1.7
189702,19.2,2.8
189802,18.5,2.1
189902,5.7,-10.7
190002,8.1,-8.3
190102,9.7,-6.7
190202,14.3,-2.1
190302,14.6,-1.8
190402,4.7,-11.7
190502,8.8,-7.6
190602,14.5,-1.9
190702,16.2,-0.2
190802,18.1,1.7
190902,18.6,2.2
191002,11.4,-5.0
191102,21.3,4.9
191202,10.5,-5.9
191302,10.4,-6.0
191402,7,-9.4
191502,23.8,7.4
191602,11.2,-5.2
191702,4.8,-11.6
191802,13.9,-2.5
191902,18.3,1.9
192002,13.8,-2.6
192102,21.7,5.3
192202,13.4,-3.0
192302,8.4,-8.0
192402,18.5,2.1
192502,19.3,2.9
192602,19.4,3.0
192702,21.5,5.1
192802,18.1,1.7
192902,7.5,-8.9
193002,23.2,6.8
193102,27.2,10.8
193202,18.9,2.5
193302,12.2,-4.2
193402,13,-3.4
193502,19.6,3.2
193602,.4,-16.0
193702,14.1,-2.3
193802,21.1,4.7
193902,11.8,-4.6
194002,19,2.6
194102,15.4,-1.0
194202,16.8,0.4
194302,16.5,0.1
194402,19.4,3.0
194502,16.5,0.1
194602,16,-0.4
194702,13.2,-3.2
194802,14.2,-2.2
194902,15.2,-1.2
195002,15.3,-1.1
195102,16,-0.4
195202,21.6,5.2
195302,17.4,1.0
195402,27.7,11.3
195502,15,-1.4
195602,15.2,-1.2
195702,19.3,2.9
195802,12.7,-3.7
195902,12.3,-4.1
196002,17.8,1.4
196102,24,7.6
196202,13.3,-3.1
196302,10.1,-6.3
196402,20.6,4.2
196502,12.6,-3.8
196602,16.9,0.5
196702,9.8,-6.6
196802,14.2,-2.2
196902,18.5,2.1
197002,14.8,-1.6
197102,15.3,-1.1
197202,11.8,-4.6
197302,19.8,3.4
197402,15.4,-1.0
197502,16.8,0.4
197602,24.1,7.7
197702,18.7,2.3
197802,9.9,-6.5
197902,8.3,-8.1
198002,14.1,-2.3
198102,21.3,4.9
198202,14.6,-1.8
198302,25.2,8.8
198402,27.2,10.8
198502,14.6,-1.8
198602,15.7,-0.7
198702,27.1,10.7
198802,12.6,-3.8
198902,10,-6.4
199002,20.4,4.0
199102,22.1,5.7
199202,25.4,9.0
199302,16.8,0.4
199402,11.7,-4.7
199502,17.8,1.4
199602,15.8,-0.6
199702,20.7,4.3
199802,31.6,15.2
199902,26.7,10.3
200002,25.3,8.9
200102,14.9,-1.5
200202,26.7,10.3
200302,13.7,-2.7
200402,20.8,4.4
200502,24.8,8.4
200602,18.4,2.0
200702,11.7,-4.7
200802,13.2,-3.2
200902,20.4,4.0
201002,20,3.6
201102,18.5,2.1
201202,26.6,10.2
201302,17,0.6
201402,7.3,-9.1
201502,7.6,-8.8
