Washington, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,34.7,1.6
189602,36.5,3.4
189702,32.5,-0.6
189802,36.9,3.8
189902,28.2,-4.9
190002,31.9,-1.2
190102,31.7,-1.4
190202,35.2,2.1
190302,28.3,-4.8
190402,30.7,-2.4
190502,31,-2.1
190602,35,1.9
190702,32.7,-0.4
190802,32,-1.1
190902,33.9,0.8
191002,27.1,-6.0
191102,29.1,-4.0
191202,35.2,2.1
191302,26.6,-6.5
191402,32.2,-0.9
191502,36.2,3.1
191602,31.1,-2.0
191702,30.1,-3.0
191802,30.7,-2.4
191902,31.8,-1.3
192002,33.2,0.1
192102,33.7,0.6
192202,26.2,-6.9
192302,26.6,-6.5
192402,38.6,5.5
192502,37.8,4.7
192602,38.3,5.2
192702,33.7,0.6
192802,33.4,0.3
192902,22.8,-10.3
193002,35.5,2.4
193102,33.7,0.6
193202,29.6,-3.5
193302,25.3,-7.8
193402,38.7,5.6
193502,34.9,1.8
193602,19.6,-13.5
193702,28.2,-4.9
193802,32.7,-0.4
193902,29.6,-3.5
194002,35.6,2.5
194102,36.9,3.8
194202,33.4,0.3
194302,33.9,0.8
194402,32.6,-0.5
194502,35.3,2.2
194602,33.6,0.5
194702,35.6,2.5
194802,30.1,-3.0
194902,27.5,-5.6
195002,30.1,-3.0
195102,32.4,-0.7
195202,32.4,-0.7
195302,36,2.9
195402,34.9,1.8
195502,30.5,-2.6
195602,25,-8.1
195702,30.2,-2.9
195802,40.5,7.4
195902,32.1,-1.0
196002,33.4,0.3
196102,37.9,4.8
196202,34.4,1.3
196302,38.2,5.1
196402,33.6,0.5
196502,34.8,1.7
196602,34.4,1.3
196702,37.3,4.2
196802,37.9,4.8
196902,29.8,-3.3
197002,37.1,4.0
197102,34.5,1.4
197202,32.2,-0.9
197302,34.9,1.8
197402,35.8,2.7
197502,30.1,-3.0
197602,33.6,0.5
197702,37.3,4.2
197802,36,2.9
197902,31.3,-1.8
198002,33.9,0.8
198102,35.7,2.6
198202,32.9,-0.2
198302,37.9,4.8
198402,35.9,2.8
198502,28.6,-4.5
198602,33.4,0.3
198702,36.9,3.8
198802,36.2,3.1
198902,25.6,-7.5
199002,31.8,-1.3
199102,40.4,7.3
199202,39.6,6.5
199302,29.8,-3.3
199402,31.7,-1.4
199502,37.8,4.7
199602,32,-1.1
199702,34,0.9
199802,37.7,4.6
199902,35,1.9
200002,35.2,2.1
200102,32.1,-1.0
200202,34.3,1.2
200302,35.4,2.3
200402,35.1,2.0
200502,35.9,2.8
200602,32.8,-0.3
200702,35.6,2.5
200802,35.4,2.3
200902,33.1,0.0
201002,38.5,5.4
201102,31.1,-2.0
201202,34.5,1.4
201302,35.5,2.4
201402,29.8,-3.3
201502,40.7,7.6
