Michigan, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,11.5,-7.6
189602,19.3,0.2
189702,20.4,1.3
189802,19.3,0.2
189902,9.9,-9.2
190002,12.9,-6.2
190102,11.8,-7.3
190202,17.2,-1.9
190302,18.4,-0.7
190402,5.9,-13.2
190502,11.1,-8.0
190602,18,-1.1
190702,15.4,-3.7
190802,16.7,-2.4
190902,21.7,2.6
191002,15.7,-3.4
191102,22.6,3.5
191202,11.9,-7.2
191302,13.9,-5.2
191402,9.9,-9.2
191502,24.2,5.1
191602,14.8,-4.3
191702,9.2,-9.9
191802,15.3,-3.8
191902,22,2.9
192002,14.7,-4.4
192102,23.4,4.3
192202,19,-0.1
192302,12.7,-6.4
192402,17.6,-1.5
192502,21.9,2.8
192602,19.1,0.0
192702,23.8,4.7
192802,19.2,0.1
192902,13.2,-5.9
193002,24.5,5.4
193102,26.4,7.3
193202,24.5,5.4
193302,18.3,-0.8
193402,10.1,-9.0
193502,19.2,0.1
193602,7.8,-11.3
193702,21.5,2.4
193802,23.3,4.2
193902,17.8,-1.3
194002,21,1.9
194102,19.5,0.4
194202,17.8,-1.3
194302,20.9,1.8
194402,21.9,2.8
194502,20.6,1.5
194602,18.8,-0.3
194702,16.7,-2.4
194802,17.4,-1.7
194902,22.3,3.2
195002,19.3,0.2
195102,20.7,1.6
195202,23.1,4.0
195302,23.7,4.6
195402,28.1,9.0
195502,20.2,1.1
195602,20.4,1.3
195702,22.6,3.5
195802,15.9,-3.2
195902,16,-3.1
196002,20.6,1.5
196102,24.1,5.0
196202,15.2,-3.9
196302,11.4,-7.7
196402,21.9,2.8
196502,18.3,-0.8
196602,21.6,2.5
196702,14.7,-4.4
196802,16.7,-2.4
196902,21.4,2.3
197002,17.9,-1.2
197102,19.8,0.7
197202,16.9,-2.2
197302,19.7,0.6
197402,16.5,-2.6
197502,22,2.9
197602,26.1,7.0
197702,19.2,0.1
197802,12.6,-6.5
197902,10.6,-8.5
198002,17.2,-1.9
198102,23.8,4.7
198202,17.2,-1.9
198302,26.7,7.6
198402,29,9.9
198502,18.1,-1.0
198602,19.4,0.3
198702,25.8,6.7
198802,17,-2.1
198902,16.3,-2.8
199002,23.7,4.6
199102,25.3,6.2
199202,25.1,6.0
199302,17.9,-1.2
199402,14.2,-4.9
199502,19.1,0.0
199602,19,-0.1
199702,23.5,4.4
199802,32.1,13.0
199902,27.3,8.2
200002,26.5,7.4
200102,22.1,3.0
200202,27.4,8.3
200302,16.3,-2.8
200402,22.6,3.5
200502,25.3,6.2
200602,22.5,3.4
200702,15.2,-3.9
200802,18.2,-0.9
200902,22.9,3.8
201002,23.1,4.0
201102,21.3,2.2
201202,28.4,9.3
201302,20.9,1.8
201402,12.8,-6.3
201502,8.1,-11.0
