Idaho, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,23.6,-2.8
189602,30.3,3.9
189702,25.3,-1.1
189802,29.6,3.2
189902,21.2,-5.2
190002,26.1,-0.3
190102,24.6,-1.8
190202,30,3.6
190302,16.1,-10.3
190402,26.7,0.3
190502,22.8,-3.6
190602,26.8,0.4
190702,32.5,6.1
190802,27.5,1.1
190902,28.4,2.0
191002,19.8,-6.6
191102,20.4,-6.0
191202,28.1,1.7
191302,19.1,-7.3
191402,25.2,-1.2
191502,31,4.6
191602,26.9,0.5
191702,22.5,-3.9
191802,24.5,-1.9
191902,25.7,-0.7
192002,27.9,1.5
192102,26.7,0.3
192202,19.8,-6.6
192302,19.7,-6.7
192402,32.4,6.0
192502,31.5,5.1
192602,31.6,5.2
192702,28.1,1.7
192802,24.7,-1.7
192902,16.5,-9.9
193002,32.1,5.7
193102,25.8,-0.6
193202,21,-5.4
193302,14.7,-11.7
193402,35.5,9.1
193502,26.2,-0.2
193602,18.6,-7.8
193702,21.5,-4.9
193802,28.6,2.2
193902,20.5,-5.9
194002,30.1,3.7
194102,29.9,3.5
194202,21,-5.4
194302,26.6,0.2
194402,26.1,-0.3
194502,29.3,2.9
194602,25,-1.4
194702,30.2,3.8
194802,25.9,-0.5
194902,21.4,-5.0
195002,26.8,0.4
195102,27.5,1.1
195202,21.1,-5.3
195302,29.1,2.7
195402,31.7,5.3
195502,20.3,-6.1
195602,19.1,-7.3
195702,27.3,0.9
195802,32.9,6.5
195902,27.3,0.9
196002,22.1,-4.3
196102,32.5,6.1
196202,26.3,-0.1
196302,35.3,8.9
196402,20.4,-6.0
196502,27.8,1.4
196602,25.2,-1.2
196702,29.5,3.1
196802,31.1,4.7
196902,24.7,-1.7
197002,32.3,5.9
197102,27.5,1.1
197202,27.2,0.8
197302,26.9,0.5
197402,27.5,1.1
197502,24.4,-2.0
197602,25.7,-0.7
197702,29.2,2.8
197802,29.6,3.2
197902,26.4,0.0
198002,31.1,4.7
198102,29.3,2.9
198202,22.7,-3.7
198302,30.5,4.1
198402,23.6,-2.8
198502,18.6,-7.8
198602,31.1,4.7
198702,30,3.6
198802,29.4,3.0
198902,18.9,-7.5
199002,24.9,-1.5
199102,34.4,8.0
199202,34.4,8.0
199302,22.5,-3.9
199402,25.2,-1.2
199502,33.3,6.9
199602,27,0.6
199702,26.8,0.4
199802,29.4,3.0
199902,27,0.6
200002,32,5.6
200102,25.1,-1.3
200202,23.9,-2.5
200302,27.1,0.7
200402,26.3,-0.1
200502,28.5,2.1
200602,24.4,-2.0
200702,30.9,4.5
200802,27.6,1.2
200902,27.6,1.2
201002,28.9,2.5
201102,24.3,-2.1
201202,28,1.6
201302,27.5,1.1
201402,28,1.6
201502,35.2,8.8
201602,32.1,5.7
