Indiana, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,72.5,-2.0
189607,74.2,-0.3
189707,76.3,1.8
189807,75.5,1.0
189907,74.7,0.2
190007,74.6,0.1
190107,80.4,5.9
190207,74.9,0.4
190307,74.4,-0.1
190407,72.2,-2.3
190507,73.1,-1.4
190607,72.8,-1.7
190707,73.8,-0.7
190807,74.5,0.0
190907,71.5,-3.0
191007,74.2,-0.3
191107,74.2,-0.3
191207,74.1,-0.4
191307,76.7,2.2
191407,76.8,2.3
191507,72,-2.5
191607,78.7,4.2
191707,73,-1.5
191807,71.6,-2.9
191907,77,2.5
192007,72,-2.5
192107,79.5,5.0
192207,73.2,-1.3
192307,74.2,-0.3
192407,70.8,-3.7
192507,73.6,-0.9
192607,74.8,0.3
192707,73.2,-1.3
192807,73.9,-0.6
192907,74.2,-0.3
193007,76.5,2.0
193107,77.6,3.1
193207,75.5,1.0
193307,76.1,1.6
193407,79.7,5.2
193507,76.9,2.4
193607,80.5,6.0
193707,73.7,-0.8
193807,74.7,0.2
193907,74,-0.5
194007,74.8,0.3
194107,75.4,0.9
194207,75.3,0.8
194307,75.4,0.9
194407,75.2,0.7
194507,72.2,-2.3
194607,74.1,-0.4
194707,70.4,-4.1
194807,74.5,0.0
194907,77.8,3.3
195007,71.4,-3.1
195107,73.5,-1.0
195207,76.8,2.3
195307,75.3,0.8
195407,76.3,1.8
195507,78.7,4.2
195607,73.2,-1.3
195707,74.5,0.0
195807,73,-1.5
195907,73.9,-0.6
196007,71.9,-2.6
196107,73.3,-1.2
196207,72.2,-2.3
196307,72.8,-1.7
196407,74.2,-0.3
196507,71.9,-2.6
196607,76.8,2.3
196707,71.2,-3.3
196807,74,-0.5
196907,75,0.5
197007,73.4,-1.1
197107,71.4,-3.1
197207,73.2,-1.3
197307,74.7,0.2
197407,75,0.5
197507,73.2,-1.3
197607,73.1,-1.4
197707,76.7,2.2
197807,73.7,-0.8
197907,72,-2.5
198007,77.1,2.6
198107,74.2,-0.3
198207,74.6,0.1
198307,77.7,3.2
198407,71.5,-3.0
198507,73.5,-1.0
198607,76.4,1.9
198707,75.5,1.0
198807,76.4,1.9
198907,74.5,0.0
199007,72.8,-1.7
199107,75.7,1.2
199207,72.5,-2.0
199307,76.2,1.7
199407,73.4,-1.1
199507,75.3,0.8
199607,71.5,-3.0
199707,73.8,-0.7
199807,73.6,-0.9
199907,77.9,3.4
200007,71.9,-2.6
200107,73.7,-0.8
200207,77,2.5
200307,73,-1.5
200407,72,-2.5
200507,75,0.5
200607,75.4,0.9
200707,71.9,-2.6
200807,73.3,-1.2
200907,69.2,-5.3
201007,76.4,1.9
201107,78.8,4.3
201207,80.2,5.7
201307,72.3,-2.2
201407,69.1,-5.4
201507,72.9,-1.6
