South Carolina, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,36.2,-10.6
189602,47,0.2
189702,49.1,2.3
189802,43.9,-2.9
189902,42.9,-3.9
190002,43.4,-3.4
190102,42.6,-4.2
190202,39.7,-7.1
190302,48.1,1.3
190402,43.5,-3.3
190502,38.6,-8.2
190602,45.4,-1.4
190702,44.7,-2.1
190802,42.6,-4.2
190902,50.8,4.0
191002,43.6,-3.2
191102,50.9,4.1
191202,41,-5.8
191302,47.4,0.6
191402,43.2,-3.6
191502,47.1,0.3
191602,47.3,0.5
191702,46.2,-0.6
191802,50.9,4.1
191902,45.4,-1.4
192002,43.1,-3.7
192102,48.8,2.0
192202,52,5.2
192302,45.1,-1.7
192402,43.6,-3.2
192502,51.7,4.9
192602,48.8,2.0
192702,56,9.2
192802,45.8,-1.0
192902,45.1,-1.7
193002,51,4.2
193102,47.1,0.3
193202,53.8,7.0
193302,47.9,1.1
193402,40.6,-6.2
193502,46.6,-0.2
193602,42.9,-3.9
193702,46.2,-0.6
193802,51.9,5.1
193902,52.6,5.8
194002,44.9,-1.9
194102,40.8,-6.0
194202,41,-5.8
194302,47.7,0.9
194402,50.9,4.1
194502,49.4,2.6
194602,49,2.2
194702,40.9,-5.9
194802,46.8,0.0
194902,53.2,6.4
195002,50.8,4.0
195102,47.2,0.4
195202,48.2,1.4
195302,49.1,2.3
195402,50.8,4.0
195502,47.7,0.9
195602,51.4,4.6
195702,53.4,6.6
195802,39.2,-7.6
195902,48.9,2.1
196002,44.3,-2.5
196102,49,2.2
196202,50.7,3.9
196302,41,-5.8
196402,42.4,-4.4
196502,46.6,-0.2
196602,45.3,-1.5
196702,43.2,-3.6
196802,39.8,-7.0
196902,43.5,-3.3
197002,44.9,-1.9
197102,45.5,-1.3
197202,44.7,-2.1
197302,43.5,-3.3
197402,48,1.2
197502,50.4,3.6
197602,52.9,6.1
197702,44,-2.8
197802,38.7,-8.1
197902,42.2,-4.6
198002,41.7,-5.1
198102,46.4,-0.4
198202,49.6,2.8
198302,45.1,-1.7
198402,48.6,1.8
198502,46.8,0.0
198602,51.4,4.6
198702,45.1,-1.7
198802,45.3,-1.5
198902,49.3,2.5
199002,54.3,7.5
199102,50.3,3.5
199202,50.5,3.7
199302,45,-1.8
199402,48.7,1.9
199502,45,-1.8
199602,47.7,0.9
199702,50.5,3.7
199802,49.4,2.6
199902,49.6,2.8
200002,49.6,2.8
200102,51.3,4.5
200202,47.9,1.1
200302,46.6,-0.2
200402,44.2,-2.6
200502,48.3,1.5
200602,46.5,-0.3
200702,45.2,-1.6
200802,50.7,3.9
200902,46.8,0.0
201002,41.2,-5.6
201102,50.4,3.6
201202,50.7,3.9
201302,46.6,-0.2
201402,48.2,1.4
201502,41,-5.8
