New Mexico, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,52.5,1.1
189604,52.6,1.2
189704,52.1,0.7
189804,53.6,2.2
189904,52.4,1.0
190004,47.9,-3.5
190104,49.8,-1.6
190204,54.8,3.4
190304,51.2,-0.2
190404,53.1,1.7
190504,48.9,-2.5
190604,50.9,-0.5
190704,51.6,0.2
190804,51.7,0.3
190904,50.6,-0.8
191004,53,1.6
191104,52.5,1.1
191204,47.6,-3.8
191304,50.3,-1.1
191404,52.1,0.7
191504,51.2,-0.2
191604,50.9,-0.5
191704,49.6,-1.8
191804,49.6,-1.8
191904,52.1,0.7
192004,46.7,-4.7
192104,48.9,-2.5
192204,49.6,-1.8
192304,51,-0.4
192404,49.8,-1.6
192504,55,3.6
192604,49.9,-1.5
192704,53.1,1.7
192804,49.6,-1.8
192904,51.7,0.3
193004,55.7,4.3
193104,50.6,-0.8
193204,52.1,0.7
193304,47.5,-3.9
193404,54.6,3.2
193504,52.4,1.0
193604,52.9,1.5
193704,51.9,0.5
193804,51.6,0.2
193904,52.7,1.3
194004,51.5,0.1
194104,47.8,-3.6
194204,51.4,0.0
194304,55.9,4.5
194404,48.4,-3.0
194504,48.8,-2.6
194604,56.7,5.3
194704,50.4,-1.0
194804,54.8,3.4
194904,50.9,-0.5
195004,53.5,2.1
195104,50,-1.4
195204,51.2,-0.2
195304,50.9,-0.5
195404,56.6,5.2
195504,51,-0.4
195604,50,-1.4
195704,49.5,-1.9
195804,49.2,-2.2
195904,52.2,0.8
196004,53,1.6
196104,51,-0.4
196204,54,2.6
196304,53.4,2.0
196404,49.6,-1.8
196504,52.2,0.8
196604,52.2,0.8
196704,53.6,2.2
196804,48.5,-2.9
196904,53.4,2.0
197004,48.2,-3.2
197104,50.1,-1.3
197204,53.3,1.9
197304,45.5,-5.9
197404,51.4,0.0
197504,47.5,-3.9
197604,51.8,0.4
197704,51.8,0.4
197804,53.8,2.4
197904,51.1,-0.3
198004,49.1,-2.3
198104,55.1,3.7
198204,51.7,0.3
198304,45.8,-5.6
198404,49.2,-2.2
198504,53.4,2.0
198604,54.1,2.7
198704,50.6,-0.8
198804,51,-0.4
198904,56.3,4.9
199004,53.4,2.0
199104,51.6,0.2
199204,54.6,3.2
199304,52.2,0.8
199404,52.2,0.8
199504,49.5,-1.9
199604,53.2,1.8
199704,48.5,-2.9
199804,48.3,-3.1
199904,50.3,-1.1
200004,55.5,4.1
200104,54.2,2.8
200204,57.3,5.9
200304,52.9,1.5
200404,51.4,0.0
200504,51.7,0.3
200604,56.3,4.9
200704,51.6,0.2
200804,51.6,0.2
200904,51.7,0.3
201004,52.7,1.3
201104,55.6,4.2
201204,56.6,5.2
201304,52.6,1.2
201404,52.3,0.9
201504,52.6,1.2
