Tennessee, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,75.5,1.7
189606,73.1,-0.7
189706,75.1,1.3
189806,76.6,2.8
189906,76.5,2.7
190006,73.7,-0.1
190106,76.1,2.3
190206,75.1,1.3
190306,68.6,-5.2
190406,73.3,-0.5
190506,75.1,1.3
190606,74.3,0.5
190706,71.1,-2.7
190806,73.7,-0.1
190906,74.6,0.8
191006,70.5,-3.3
191106,76.4,2.6
191206,70.9,-2.9
191306,74.8,1.0
191406,79.4,5.6
191506,72.9,-0.9
191606,71.8,-2.0
191706,71.8,-2.0
191806,75.1,1.3
191906,75.6,1.8
192006,72.2,-1.6
192106,77.5,3.7
192206,75.2,1.4
192306,73.7,-0.1
192406,75.2,1.4
192506,77.8,4.0
192606,72.4,-1.4
192706,72.4,-1.4
192806,70.9,-2.9
192906,73,-0.8
193006,73.1,-0.7
193106,75.6,1.8
193206,75.6,1.8
193306,75.2,1.4
193406,76.4,2.6
193506,71.4,-2.4
193606,77.1,3.3
193706,75.6,1.8
193806,71.8,-2.0
193906,75.4,1.6
194006,73.4,-0.4
194106,75.3,1.5
194206,75.5,1.7
194306,78.3,4.5
194406,77.1,3.3
194506,72.5,-1.3
194606,73,-0.8
194706,72.9,-0.9
194806,74.7,0.9
194906,74.7,0.9
195006,73.2,-0.6
195106,74,0.2
195206,80.3,6.5
195306,78.3,4.5
195406,75.3,1.5
195506,68.9,-4.9
195606,73.2,-0.6
195706,74.9,1.1
195806,73.5,-0.3
195906,72.3,-1.5
196006,73.1,-0.7
196106,70.7,-3.1
196206,73.1,-0.7
196306,73.3,-0.5
196406,74.9,1.1
196506,72.6,-1.2
196606,71.9,-1.9
196706,73,-0.8
196806,73.4,-0.4
196906,74.1,0.3
197006,72,-1.8
197106,75.4,1.6
197206,70.6,-3.2
197306,74.6,0.8
197406,69.1,-4.7
197506,73.2,-0.6
197606,71.6,-2.2
197706,74.1,0.3
197806,73.9,0.1
197906,71.9,-1.9
198006,73.5,-0.3
198106,75.7,1.9
198206,71.5,-2.3
198306,71.8,-2.0
198406,75.1,1.3
198506,73.1,-0.7
198606,75.3,1.5
198706,75,1.2
198806,73.7,-0.1
198906,72.2,-1.6
199006,73.9,0.1
199106,74.2,0.4
199206,70.3,-3.5
199306,73.5,-0.3
199406,75.4,1.6
199506,72,-1.8
199606,73.4,-0.4
199706,70.9,-2.9
199806,75.8,2.0
199906,74.4,0.6
200006,74.1,0.3
200106,71.9,-1.9
200206,74.9,1.1
200306,70.6,-3.2
200406,73.7,-0.1
200506,74,0.2
200606,73.2,-0.6
200706,75.2,1.4
200806,75.4,1.6
200906,75.6,1.8
201006,78.4,4.6
201106,76.5,2.7
201206,73.6,-0.2
201306,74.2,0.4
201406,74.8,1.0
201506,76,2.2
