Virginia, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,37.5,0.7
189612,35.7,-1.1
189712,38.4,1.6
189812,35.8,-1.0
189912,35.4,-1.4
190012,36.4,-0.4
190112,33.8,-3.0
190212,35.7,-1.1
190312,30.8,-6.0
190412,33,-3.8
190512,36.1,-0.7
190612,37.7,0.9
190712,37.4,0.6
190812,37.9,1.1
190912,31.6,-5.2
191012,30,-6.8
191112,40.3,3.5
191212,38.4,1.6
191312,39.4,2.6
191412,32.6,-4.2
191512,34.3,-2.5
191612,35.2,-1.6
191712,26.4,-10.4
191812,40.5,3.7
191912,33.5,-3.3
192012,37.5,0.7
192112,38.9,2.1
192212,39.7,2.9
192312,44.2,7.4
192412,37,0.2
192512,35.6,-1.2
192612,35.3,-1.5
192712,37.3,0.5
192812,36.8,0.0
192912,37.9,1.1
193012,33,-3.8
193112,44.5,7.7
193212,38.8,2.0
193312,41.1,4.3
193412,36.3,-0.5
193512,29.6,-7.2
193612,37.9,1.1
193712,35.5,-1.3
193812,36.5,-0.3
193912,38,1.2
194012,41.1,4.3
194112,40.5,3.7
194212,34.1,-2.7
194312,35.9,-0.9
194412,32.5,-4.3
194512,31,-5.8
194612,41,4.2
194712,35.9,-0.9
194812,39.2,2.4
194912,39.5,2.7
195012,32.7,-4.1
195112,38.5,1.7
195212,37,0.2
195312,38.4,1.6
195412,35,-1.8
195512,32.3,-4.5
195612,45.8,9.0
195712,39.5,2.7
195812,31.3,-5.5
195912,38.9,2.1
196012,30.5,-6.3
196112,35.6,-1.2
196212,31.9,-4.9
196312,28.7,-8.1
196412,39.5,2.7
196512,39.2,2.4
196612,35.4,-1.4
196712,39.1,2.3
196812,33.9,-2.9
196912,33.1,-3.7
197012,38.4,1.6
197112,45,8.2
197212,42.1,5.3
197312,37.6,0.8
197412,38.3,1.5
197512,37.1,0.3
197612,33.1,-3.7
197712,35.4,-1.4
197812,39.2,2.4
197912,38.9,2.1
198012,36.5,-0.3
198112,33.4,-3.4
198212,42.6,5.8
198312,34.1,-2.7
198412,45.1,8.3
198512,34.3,-2.5
198612,37.6,0.8
198712,39.9,3.1
198812,36.5,-0.3
198912,27,-9.8
199012,42.7,5.9
199112,41.1,4.3
199212,37.4,0.6
199312,35.4,-1.4
199412,42.2,5.4
199512,33.7,-3.1
199612,40.3,3.5
199712,38,1.2
199812,42.6,5.8
199912,39.7,2.9
200012,30.1,-6.7
200112,43.4,6.6
200212,36,-0.8
200312,36.8,0.0
200412,38.3,1.5
200512,35.1,-1.7
200612,43.1,6.3
200712,41.5,4.7
200812,40.2,3.4
200912,35.7,-1.1
201012,30.1,-6.7
201112,42.5,5.7
201212,42.9,6.1
201312,40.3,3.5
201412,40.8,4.0
201512,49.5,12.7
