Maine, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,53.3,2.8
189605,50.8,0.3
189705,49.5,-1.0
189805,50.4,-0.1
189905,49.8,-0.7
190005,46.7,-3.8
190105,50.8,0.3
190205,47.9,-2.6
190305,51.6,1.1
190405,53.9,3.4
190505,49.1,-1.4
190605,47.9,-2.6
190705,45.2,-5.3
190805,51.3,0.8
190905,48.6,-1.9
191005,49.4,-1.1
191105,56.5,6.0
191205,51.4,0.9
191305,47.5,-3.0
191405,52.2,1.7
191505,48.3,-2.2
191605,50.1,-0.4
191705,43.5,-7.0
191805,53.7,3.2
191905,50.4,-0.1
192005,49.8,-0.7
192105,52.5,2.0
192205,52.3,1.8
192305,49,-1.5
192405,47.4,-3.1
192505,47.2,-3.3
192605,46.6,-3.9
192705,46.5,-4.0
192805,49.3,-1.2
192905,50.6,0.1
193005,51.2,0.7
193105,52,1.5
193205,51.3,0.8
193305,51.1,0.6
193405,52.7,2.2
193505,48.2,-2.3
193605,51.2,0.7
193705,53.6,3.1
193805,49.3,-1.2
193905,49.6,-0.9
194005,51.5,1.0
194105,51.6,1.1
194205,54.6,4.1
194305,50.3,-0.2
194405,54.7,4.2
194505,47.8,-2.7
194605,50.3,-0.2
194705,48.2,-2.3
194805,48.7,-1.8
194905,51.3,0.8
195005,52.1,1.6
195105,51.5,1.0
195205,48.9,-1.6
195305,52.1,1.6
195405,48.8,-1.7
195505,53,2.5
195605,45.2,-5.3
195705,51,0.5
195805,48.1,-2.4
195905,54.2,3.7
196005,55.4,4.9
196105,48.5,-2.0
196205,49.2,-1.3
196305,50.1,-0.4
196405,53,2.5
196505,51,0.5
196605,48.7,-1.8
196705,43.9,-6.6
196805,49.1,-1.4
196905,49.1,-1.4
197005,51.1,0.6
197105,51.2,0.7
197205,51.2,0.7
197305,48.4,-2.1
197405,45.7,-4.8
197505,53.9,3.4
197605,50.8,0.3
197705,52.6,2.1
197805,53.6,3.1
197905,52.9,2.4
198005,51,0.5
198105,53.3,2.8
198205,52,1.5
198305,49.1,-1.4
198405,49.7,-0.8
198505,50.5,0.0
198605,52,1.5
198705,51.3,0.8
198805,53.3,2.8
198905,54.7,4.2
199005,49.1,-1.4
199105,53.7,3.2
199205,51.3,0.8
199305,51.6,1.1
199405,48.8,-1.7
199505,50,-0.5
199605,48.7,-1.8
199705,46.8,-3.7
199805,56.5,6.0
199905,55.4,4.9
200005,49.5,-1.0
200105,54.4,3.9
200205,48.9,-1.6
200305,49.6,-0.9
200405,51.9,1.4
200505,47.3,-3.2
200605,53.2,2.7
200705,51.2,0.7
200805,50,-0.5
200905,51.1,0.6
201005,54.6,4.1
201105,51.9,1.4
201205,53.8,3.3
201305,52.3,1.8
201405,51.7,1.2
201505,55.7,5.2
