North Carolina, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,30.8,-11.1
189602,42.3,0.4
189702,44.4,2.5
189802,39.3,-2.6
189902,36.3,-5.6
190002,39,-2.9
190102,37,-4.9
190202,34.7,-7.2
190302,44,2.1
190402,37,-4.9
190502,33,-8.9
190602,40.4,-1.5
190702,38.5,-3.4
190802,37.8,-4.1
190902,47,5.1
191002,39.9,-2.0
191102,45.1,3.2
191202,36.8,-5.1
191302,42.2,0.3
191402,38.1,-3.8
191502,43.8,1.9
191602,41.9,0.0
191702,40.8,-1.1
191802,45.7,3.8
191902,40.6,-1.3
192002,38,-3.9
192102,44.3,2.4
192202,46.4,4.5
192302,39.8,-2.1
192402,39,-2.9
192502,48.1,6.2
192602,44.4,2.5
192702,50.1,8.2
192802,41.7,-0.2
192902,39.7,-2.2
193002,46.4,4.5
193102,43,1.1
193202,48.8,6.9
193302,43.3,1.4
193402,34.8,-7.1
193502,42.5,0.6
193602,37.4,-4.5
193702,41.5,-0.4
193802,47,5.1
193902,47.9,6.0
194002,41.2,-0.7
194102,36.5,-5.4
194202,37.4,-4.5
194302,43.3,1.4
194402,44.5,2.6
194502,43.5,1.6
194602,43.9,2.0
194702,35.4,-6.5
194802,42,0.1
194902,48.3,6.4
195002,45.5,3.6
195102,43.2,1.3
195202,43.9,2.0
195302,45.2,3.3
195402,46.1,4.2
195502,42.3,0.4
195602,45.9,4.0
195702,47,5.1
195802,34.5,-7.4
195902,43.7,1.8
196002,40.2,-1.7
196102,44.5,2.6
196202,44.5,2.6
196302,35.8,-6.1
196402,38.4,-3.5
196502,41.2,-0.7
196602,40.2,-1.7
196702,38.5,-3.4
196802,34.8,-7.1
196902,39.5,-2.4
197002,40.5,-1.4
197102,41.4,-0.5
197202,40,-1.9
197302,39.2,-2.7
197402,43.1,1.2
197502,45.4,3.5
197602,49,7.1
197702,39.9,-2.0
197802,33.3,-8.6
197902,35.8,-6.1
198002,36.4,-5.5
198102,42.1,0.2
198202,44.4,2.5
198302,40.7,-1.2
198402,45.3,3.4
198502,41.4,-0.5
198602,44.6,2.7
198702,40,-1.9
198802,41.1,-0.8
198902,43.3,1.4
199002,49.4,7.5
199102,45.4,3.5
199202,45.8,3.9
199302,40,-1.9
199402,43.2,1.3
199502,40,-1.9
199602,41.8,-0.1
199702,46,4.1
199802,45.6,3.7
199902,44.8,2.9
200002,45.6,3.7
200102,46.4,4.5
200202,44.4,2.5
200302,41.4,-0.5
200402,40.4,-1.5
200502,43.8,1.9
200602,42.1,0.2
200702,39.1,-2.8
200802,46.2,4.3
200902,42.8,0.9
201002,36.9,-5.0
201102,45.7,3.8
201202,45.8,3.9
201302,41.8,-0.1
201402,43,1.1
201502,34.9,-7.0
