Maryland, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,36.8,1.5
189612,33.8,-1.5
189712,36.7,1.4
189812,34.2,-1.1
189912,35.1,-0.2
190012,34.7,-0.6
190112,32.6,-2.7
190212,33,-2.3
190312,30.1,-5.2
190412,28.8,-6.5
190512,36,0.7
190612,35,-0.3
190712,36.6,1.3
190812,35.5,0.2
190912,29.9,-5.4
191012,28,-7.3
191112,39.2,3.9
191212,37.5,2.2
191312,38,2.7
191412,31,-4.3
191512,32.3,-3.0
191612,33,-2.3
191712,26.1,-9.2
191812,39.3,4.0
191912,30.1,-5.2
192012,37.1,1.8
192112,35.4,0.1
192212,35.9,0.6
192312,42.8,7.5
192412,34.7,-0.6
192512,34.7,-0.6
192612,31.3,-4.0
192712,36.5,1.2
192812,36.2,0.9
192912,36.2,0.9
193012,32.9,-2.4
193112,42.3,7.0
193212,37.1,1.8
193312,36,0.7
193412,34.6,-0.7
193512,29.4,-5.9
193612,37.1,1.8
193712,34,-1.3
193812,35.5,0.2
193912,37,1.7
194012,39.6,4.3
194112,38.9,3.6
194212,31.7,-3.6
194312,33.9,-1.4
194412,31.7,-3.6
194512,29.8,-5.5
194612,38.7,3.4
194712,33.2,-2.1
194812,37.3,2.0
194912,38.1,2.8
195012,32,-3.3
195112,37.2,1.9
195212,36.3,1.0
195312,38.5,3.2
195412,34.5,-0.8
195512,30.5,-4.8
195612,42.8,7.5
195712,38.4,3.1
195812,28.6,-6.7
195912,38.3,3.0
196012,28.2,-7.1
196112,33.7,-1.6
196212,30.2,-5.1
196312,28.6,-6.7
196412,37.8,2.5
196512,38.3,3.0
196612,34.5,-0.8
196712,36.7,1.4
196812,33.1,-2.2
196912,32.3,-3.0
197012,36,0.7
197112,42.5,7.2
197212,40.4,5.1
197312,37.3,2.0
197412,38,2.7
197512,36.2,0.9
197612,31.1,-4.2
197712,33.9,-1.4
197812,38.1,2.8
197912,38.4,3.1
198012,34.3,-1.0
198112,33.5,-1.8
198212,42,6.7
198312,32.7,-2.6
198412,43.6,8.3
198512,33.1,-2.2
198612,37,1.7
198712,38.5,3.2
198812,35.6,0.3
198912,24.6,-10.7
199012,41.2,5.9
199112,39.5,4.2
199212,36.8,1.5
199312,34.6,-0.7
199412,41,5.7
199512,32.1,-3.2
199612,39.6,4.3
199712,37.7,2.4
199812,41.7,6.4
199912,39.1,3.8
200012,29.2,-6.1
200112,42.6,7.3
200212,34.3,-1.0
200312,36.5,1.2
200412,37.7,2.4
200512,33.7,-1.6
200612,42.8,7.5
200712,38.1,2.8
200812,38.6,3.3
200912,35.4,0.1
201012,30.9,-4.4
201112,41.8,6.5
201212,42.2,6.9
201312,38.6,3.3
201412,39.6,4.3
201512,48.7,13.4
