Louisiana, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,79.7,-0.1
189606,80.4,0.6
189706,81.1,1.3
189806,80.2,0.4
189906,80.2,0.4
190006,79.8,0.0
190106,81.3,1.5
190206,81.7,1.9
190306,75.5,-4.3
190406,79.9,0.1
190506,81.3,1.5
190606,81.5,1.7
190706,78.9,-0.9
190806,80.7,0.9
190906,80,0.2
191006,77.8,-2.0
191106,82.9,3.1
191206,77.6,-2.2
191306,78.5,-1.3
191406,83.3,3.5
191506,81.6,1.8
191606,79.8,0.0
191706,79.5,-0.3
191806,82.4,2.6
191906,78.2,-1.6
192006,78,-1.8
192106,80,0.2
192206,80,0.2
192306,79,-0.8
192406,81.6,1.8
192506,81.4,1.6
192606,79.4,-0.4
192706,79.8,0.0
192806,78.5,-1.3
192906,79.3,-0.5
193006,78.7,-1.1
193106,79.5,-0.3
193206,81,1.2
193306,78.4,-1.4
193406,81.5,1.7
193506,78.9,-0.9
193606,81.5,1.7
193706,80.5,0.7
193806,79.3,-0.5
193906,80.4,0.6
194006,78,-1.8
194106,79.3,-0.5
194206,79.7,-0.1
194306,81.9,2.1
194406,81.6,1.8
194506,80,0.2
194606,77.9,-1.9
194706,80.3,0.5
194806,81.2,1.4
194906,80.6,0.8
195006,79.2,-0.6
195106,80.5,0.7
195206,81.9,2.1
195306,83.3,3.5
195406,80.9,1.1
195506,76.8,-3.0
195606,78.2,-1.6
195706,79.6,-0.2
195806,80.5,0.7
195906,79.1,-0.7
196006,80.5,0.7
196106,76.6,-3.2
196206,79,-0.8
196306,80.5,0.7
196406,79.8,0.0
196506,79,-0.8
196606,77.8,-2.0
196706,79.7,-0.1
196806,79.4,-0.4
196906,79.9,0.1
197006,78.5,-1.3
197106,80.2,0.4
197206,79.9,0.1
197306,79.3,-0.5
197406,77.2,-2.6
197506,78.9,-0.9
197606,76.9,-2.9
197706,81.4,1.6
197806,80.1,0.3
197906,78.8,-1.0
198006,81.1,1.3
198106,81.2,1.4
198206,80,0.2
198306,77.1,-2.7
198406,78.7,-1.1
198506,80,0.2
198606,80.3,0.5
198706,79.1,-0.7
198806,78.6,-1.2
198906,77.9,-1.9
199006,81.7,1.9
199106,80,0.2
199206,78.7,-1.1
199306,79.8,0.0
199406,80.3,0.5
199506,78.4,-1.4
199606,79,-0.8
199706,78.5,-1.3
199806,83.4,3.6
199906,79.8,0.0
200006,79.8,0.0
200106,78.3,-1.5
200206,79,-0.8
200306,79.6,-0.2
200406,79.2,-0.6
200506,80.2,0.4
200606,80.1,0.3
200706,80.1,0.3
200806,81.2,1.4
200906,81.6,1.8
201006,83.5,3.7
201106,83.8,4.0
201206,80.7,0.9
201306,80.9,1.1
201406,79.8,0.0
201506,80.5,0.7
