New York, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,67.3,3.9
189606,63,-0.4
189706,60,-3.4
189806,65.2,1.8
189906,65.8,2.4
190006,65.3,1.9
190106,65.6,2.2
190206,60.2,-3.2
190306,59.3,-4.1
190406,63.9,0.5
190506,63.1,-0.3
190606,64.8,1.4
190706,61.6,-1.8
190806,64.8,1.4
190906,64,0.6
191006,61.5,-1.9
191106,63,-0.4
191206,60.4,-3.0
191306,62.7,-0.7
191406,62.2,-1.2
191506,61.6,-1.8
191606,59.5,-3.9
191706,61.7,-1.7
191806,59.7,-3.7
191906,67.9,4.5
192006,62.7,-0.7
192106,64.5,1.1
192206,64.4,1.0
192306,64.7,1.3
192406,61.1,-2.3
192506,66.2,2.8
192606,59,-4.4
192706,59.3,-4.1
192806,60.3,-3.1
192906,62.9,-0.5
193006,66,2.6
193106,63.6,0.2
193206,63.1,-0.3
193306,66.2,2.8
193406,66.6,3.2
193506,62.7,-0.7
193606,63.9,0.5
193706,64.1,0.7
193806,64,0.6
193906,64,0.6
194006,62.4,-1.0
194106,65.1,1.7
194206,64.5,1.1
194306,68,4.6
194406,64.7,1.3
194506,62.4,-1.0
194606,62.2,-1.2
194706,62.6,-0.8
194806,62.6,-0.8
194906,68.8,5.4
195006,63,-0.4
195106,62.9,-0.5
195206,65,1.6
195306,64.7,1.3
195406,65,1.6
195506,63.7,0.3
195606,64,0.6
195706,67,3.6
195806,58.8,-4.6
195906,64.3,0.9
196006,63.1,-0.3
196106,63.1,-0.3
196206,64.2,0.8
196306,64,0.6
196406,62.5,-0.9
196506,61.7,-1.7
196606,64,0.6
196706,67.1,3.7
196806,62.3,-1.1
196906,63.1,-0.3
197006,62.9,-0.5
197106,64.5,1.1
197206,61.2,-2.2
197306,66.2,2.8
197406,62.8,-0.6
197506,64.3,0.9
197606,66.3,2.9
197706,61.1,-2.3
197806,62.6,-0.8
197906,62.6,-0.8
198006,60.3,-3.1
198106,64,0.6
198206,60.7,-2.7
198306,64.5,1.1
198406,64.8,1.4
198506,59.5,-3.9
198606,61.7,-1.7
198706,65.2,1.8
198806,61.8,-1.6
198906,64.7,1.3
199006,63.9,0.5
199106,65.5,2.1
199206,61.2,-2.2
199306,62.4,-1.0
199406,65.8,2.4
199506,66.1,2.7
199606,65.3,1.9
199706,64.9,1.5
199806,63.7,0.3
199906,66.7,3.3
200006,63.5,0.1
200106,64.8,1.4
200206,64.3,0.9
200306,62.7,-0.7
200406,62,-1.4
200506,69.1,5.7
200606,64.5,1.1
200706,65.7,2.3
200806,66.7,3.3
200906,62.1,-1.3
201006,65.1,1.7
201106,65.1,1.7
201206,64.6,1.2
201306,64,0.6
201406,65,1.6
201506,62.9,-0.5
