Colorado, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,51.6,-0.2
189605,53.1,1.3
189705,55.5,3.7
189805,49.2,-2.6
189905,51.2,-0.6
190005,53.5,1.7
190105,53.3,1.5
190205,53.7,1.9
190305,49.4,-2.4
190405,51.6,-0.2
190505,49.2,-2.6
190605,51.6,-0.2
190705,46.3,-5.5
190805,48.7,-3.1
190905,48.5,-3.3
191005,51.2,-0.6
191105,53,1.2
191205,50.7,-1.1
191305,53.6,1.8
191405,52.6,0.8
191505,48.1,-3.7
191605,50.2,-1.6
191705,45.2,-6.6
191805,51.6,-0.2
191905,52.4,0.6
192005,51.8,0.0
192105,52,0.2
192205,51.3,-0.5
192305,51.4,-0.4
192405,48.9,-2.9
192505,54.7,2.9
192605,52.5,0.7
192705,53.7,1.9
192805,53,1.2
192905,50.3,-1.5
193005,49.3,-2.5
193105,49.8,-2.0
193205,53.2,1.4
193305,49.1,-2.7
193405,58.5,6.7
193505,47.3,-4.5
193605,55,3.2
193705,54,2.2
193805,50.3,-1.5
193905,54.5,2.7
194005,54.1,2.3
194105,54.2,2.4
194205,50.9,-0.9
194305,50.1,-1.7
194405,52.2,0.4
194505,52.3,0.5
194605,49,-2.8
194705,52.8,1.0
194805,53.3,1.5
194905,52.3,0.5
195005,49.3,-2.5
195105,52.4,0.6
195205,52.2,0.4
195305,48.5,-3.3
195405,52.8,1.0
195505,52.1,0.3
195605,55.2,3.4
195705,48.6,-3.2
195805,55.6,3.8
195905,52.3,0.5
196005,51.5,-0.3
196105,52.2,0.4
196205,53.5,1.7
196305,55.5,3.7
196405,53,1.2
196505,51.4,-0.4
196605,54.2,2.4
196705,49.5,-2.3
196805,49.2,-2.6
196905,54.7,2.9
197005,53.5,1.7
197105,49.6,-2.2
197205,51.8,0.0
197305,50.5,-1.3
197405,55.1,3.3
197505,49.5,-2.3
197605,51.7,-0.1
197705,53.6,1.8
197805,49.9,-1.9
197905,50.2,-1.6
198005,49.7,-2.1
198105,50.8,-1.0
198205,50.6,-1.2
198305,48,-3.8
198405,54.3,2.5
198505,53.7,1.9
198605,51.5,-0.3
198705,53,1.2
198805,52.4,0.6
198905,54.2,2.4
199005,50.5,-1.3
199105,53.5,1.7
199205,54.6,2.8
199305,52.6,0.8
199405,55.3,3.5
199505,47.3,-4.5
199605,55.5,3.7
199705,52.6,0.8
199805,54.4,2.6
199905,50.4,-1.4
200005,56.1,4.3
200105,53.9,2.1
200205,53.4,1.6
200305,53.9,2.1
200405,54.8,3.0
200505,53.2,1.4
200605,55.6,3.8
200705,53.5,1.7
200805,51,-0.8
200905,54.5,2.7
201005,50.1,-1.7
201105,49.3,-2.5
201205,55.4,3.6
201305,52.8,1.0
201405,52.5,0.7
201505,49.8,-2.0
