Washington, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,51,-5.9
189609,54.1,-2.8
189709,54.6,-2.3
189809,57.4,0.5
189909,58,1.1
190009,55,-1.9
190109,52.9,-4.0
190209,54.7,-2.2
190309,53.7,-3.2
190409,57.5,0.6
190509,57,0.1
190609,56.6,-0.3
190709,55.6,-1.3
190809,56.3,-0.6
190909,58,1.1
191009,55.6,-1.3
191109,53.5,-3.4
191209,54.2,-2.7
191309,55.8,-1.1
191409,53.9,-3.0
191509,55.6,-1.3
191609,56,-0.9
191709,57.3,0.4
191809,60.8,3.9
191909,56,-0.9
192009,55.3,-1.6
192109,52.2,-4.7
192209,58.2,1.3
192309,58.5,1.6
192409,56.9,0.0
192509,56.7,-0.2
192609,52.1,-4.8
192709,54.7,-2.2
192809,56.7,-0.2
192909,55.8,-1.1
193009,57.2,0.3
193109,55.8,-1.1
193209,57.2,0.3
193309,53,-3.9
193409,54.8,-2.1
193509,59.2,2.3
193609,56,-0.9
193709,58.3,1.4
193809,62,5.1
193909,58.1,1.2
194009,60.5,3.6
194109,53.4,-3.5
194209,58.8,1.9
194309,59.7,2.8
194409,59.6,2.7
194509,55,-1.9
194609,56.1,-0.8
194709,57.7,0.8
194809,55.5,-1.4
194909,58.4,1.5
195009,58.2,1.3
195109,58,1.1
195209,59.7,2.8
195309,58.2,1.3
195409,56.1,-0.8
195509,56.5,-0.4
195609,57,0.1
195709,60.4,3.5
195809,56.5,-0.4
195909,54.5,-2.4
196009,56.9,0.0
196109,54.3,-2.6
196209,58,1.1
196309,61.6,4.7
196409,54.4,-2.5
196509,54.1,-2.8
196609,60,3.1
196709,62.3,5.4
196809,57.1,0.2
196909,57.4,0.5
197009,53.2,-3.7
197109,53.4,-3.5
197209,53,-3.9
197309,57.6,0.7
197409,59.9,3.0
197509,58.6,1.7
197609,59.7,2.8
197709,54.3,-2.6
197809,55.1,-1.8
197909,60,3.1
198009,57.1,0.2
198109,57.7,0.8
198209,57.2,0.3
198309,54.1,-2.8
198409,54.7,-2.2
198509,53.1,-3.8
198609,54.1,-2.8
198709,60.6,3.7
198809,57.3,0.4
198909,59,2.1
199009,62.2,5.3
199109,60.4,3.5
199209,55.5,-1.4
199309,58.4,1.5
199409,61.2,4.3
199509,60.9,4.0
199609,55,-1.9
199709,59.2,2.3
199809,62.2,5.3
199909,57.1,0.2
200009,56.3,-0.6
200109,59.8,2.9
200209,57.5,0.6
200309,60,3.1
200409,56.1,-0.8
200509,55.7,-1.2
200609,58.8,1.9
200709,56.7,-0.2
200809,57.8,0.9
200909,59.9,3.0
201009,57.1,0.2
201109,61,4.1
201209,59.7,2.8
201309,59.7,2.8
201409,59.9,3.0
201509,56.3,-0.6
