Utah, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,20.5,-6.5
189612,29.9,2.9
189712,20.5,-6.5
189812,20.7,-6.3
189912,23,-4.0
190012,28.6,1.6
190112,28.2,1.2
190212,25.7,-1.3
190312,24.9,-2.1
190412,27.2,0.2
190512,21.1,-5.9
190612,31.7,4.7
190712,29.6,2.6
190812,23.9,-3.1
190912,17,-10.0
191012,29.6,2.6
191112,22.3,-4.7
191212,23.6,-3.4
191312,23,-4.0
191412,22.2,-4.8
191512,27.9,0.9
191612,23.7,-3.3
191712,35.4,8.4
191812,25,-2.0
191912,21.3,-5.7
192012,25.5,-1.5
192112,32.4,5.4
192212,30.5,3.5
192312,25.8,-1.2
192412,19.6,-7.4
192512,29.9,2.9
192612,25.1,-1.9
192712,23.4,-3.6
192812,22.9,-4.1
192912,32,5.0
193012,19.4,-7.6
193112,20.1,-6.9
193212,18.4,-8.6
193312,32.7,5.7
193412,28.9,1.9
193512,27.5,0.5
193612,28.3,1.3
193712,31.8,4.8
193812,29.7,2.7
193912,33.6,6.6
194012,28.7,1.7
194112,30.4,3.4
194212,31.4,4.4
194312,29.2,2.2
194412,28.6,1.6
194512,25,-2.0
194612,32.6,5.6
194712,26.1,-0.9
194812,24.9,-2.1
194912,25.3,-1.7
195012,32.9,5.9
195112,23.3,-3.7
195212,27.4,0.4
195312,25.7,-1.3
195412,25.8,-1.2
195512,32.5,5.5
195612,26.4,-0.6
195712,30.6,3.6
195812,33.7,6.7
195912,28.6,1.6
196012,27.6,0.6
196112,24.7,-2.3
196212,28.8,1.8
196312,25.6,-1.4
196412,28.9,1.9
196512,28.3,1.3
196612,25.4,-1.6
196712,21.1,-5.9
196812,24.2,-2.8
196912,30.4,3.4
197012,27,0.0
197112,23.5,-3.5
197212,21.2,-5.8
197312,29.3,2.3
197412,26.2,-0.8
197512,28.6,1.6
197612,27.5,0.5
197712,33.6,6.6
197812,20.9,-6.1
197912,28.7,1.7
198012,34.4,7.4
198112,32.1,5.1
198212,26.9,-0.1
198312,27.2,0.2
198412,25.7,-1.3
198512,25.8,-1.2
198612,29,2.0
198712,25.9,-1.1
198812,25.6,-1.4
198912,29.1,2.1
199012,19.8,-7.2
199112,26.4,-0.6
199212,23.5,-3.5
199312,27.7,0.7
199412,29.4,2.4
199512,31.9,4.9
199612,30,3.0
199712,26.4,-0.6
199812,27,0.0
199912,28.8,1.8
200012,30.4,3.4
200112,25,-2.0
200212,29.3,2.3
200312,30.3,3.3
200412,30.1,3.1
200512,29.2,2.2
200612,27.9,0.9
200712,24.6,-2.4
200812,27,0.0
200912,21.6,-5.4
201012,32.5,5.5
201112,26.8,-0.2
201212,27.8,0.8
201312,23.1,-3.9
201412,31.7,4.7
201512,26.7,-0.3
