Washington, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,37.7,-0.9
189603,36.4,-2.2
189703,31.7,-6.9
189803,35.7,-2.9
189903,36.2,-2.4
190003,43,4.4
190103,38.8,0.2
190203,37.5,-1.1
190303,35.8,-2.8
190403,34,-4.6
190503,42.8,4.2
190603,36.7,-1.9
190703,36.5,-2.1
190803,37.8,-0.8
190903,39.1,0.5
191003,42.9,4.3
191103,39.9,1.3
191203,36.4,-2.2
191303,34.8,-3.8
191403,40.9,2.3
191503,43.2,4.6
191603,38,-0.6
191703,32.4,-6.2
191803,38.4,-0.2
191903,38.2,-0.4
192003,38.1,-0.5
192103,38.8,0.2
192203,34.3,-4.3
192303,37.5,-1.1
192403,38.2,-0.4
192503,39.7,1.1
192603,43.4,4.8
192703,37.4,-1.2
192803,40.6,2.0
192903,39.4,0.8
193003,40.3,1.7
193103,39.5,0.9
193203,38,-0.6
193303,37.2,-1.4
193403,44.2,5.6
193503,35.5,-3.1
193603,36.4,-2.2
193703,40.1,1.5
193803,38,-0.6
193903,39,0.4
194003,42.5,3.9
194103,44.1,5.5
194203,38.4,-0.2
194303,35.6,-3.0
194403,36.7,-1.9
194503,36.9,-1.7
194603,38.9,0.3
194703,42,3.4
194803,36.1,-2.5
194903,38.3,-0.3
195003,36,-2.6
195103,33.6,-5.0
195203,36.7,-1.9
195303,39.1,0.5
195403,35.4,-3.2
195503,32.1,-6.5
195603,35.3,-3.3
195703,38,-0.6
195803,38.2,-0.4
195903,38.4,-0.2
196003,37.8,-0.8
196103,39.5,0.9
196203,35.9,-2.7
196303,39.3,0.7
196403,36.5,-2.1
196503,37,-1.6
196603,38.4,-0.2
196703,37,-1.6
196803,41.6,3.0
196903,38.1,-0.5
197003,38.4,-0.2
197103,34.3,-4.3
197203,40,1.4
197303,39.9,1.3
197403,38.2,-0.4
197503,35.6,-3.0
197603,35.3,-3.3
197703,37.9,-0.7
197803,41.3,2.7
197903,40.7,2.1
198003,37.9,-0.7
198103,42,3.4
198203,38.5,-0.1
198303,42.3,3.7
198403,41.7,3.1
198503,36.8,-1.8
198603,43,4.4
198703,41.3,2.7
198803,39.6,1.0
198903,37.1,-1.5
199003,41.1,2.5
199103,37.4,-1.2
199203,45.1,6.5
199303,39.1,0.5
199403,42.2,3.6
199503,39.6,1.0
199603,39.2,0.6
199703,38.7,0.1
199803,41,2.4
199903,38.6,0.0
200003,39.1,0.5
200103,40.1,1.5
200203,35.6,-3.0
200303,41,2.4
200403,42.9,4.3
200503,42.7,4.1
200603,38.8,0.2
200703,41.5,2.9
200803,37,-1.6
200903,35.3,-3.3
201003,40.9,2.3
201103,38.4,-0.2
201203,37.6,-1.0
201303,40.2,1.6
201403,40.1,1.5
201503,44.8,6.2
