Indiana, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,36.6,-3.0
189603,33.7,-5.9
189703,40.8,1.2
189803,43.9,4.3
189903,34.9,-4.7
190003,33.7,-5.9
190103,38.9,-0.7
190203,42.2,2.6
190303,45.5,5.9
190403,38.9,-0.7
190503,44.1,4.5
190603,30,-9.6
190703,46.4,6.8
190803,43.1,3.5
190903,37.7,-1.9
191003,49,9.4
191103,38.7,-0.9
191203,30.7,-8.9
191303,37.8,-1.8
191403,36,-3.6
191503,33.6,-6.0
191603,35.9,-3.7
191703,40,0.4
191803,45.3,5.7
191903,41.2,1.6
192003,40.8,1.2
192103,48.9,9.3
192203,41.9,2.3
192303,37.1,-2.5
192403,34.6,-5.0
192503,41.8,2.2
192603,32.6,-7.0
192703,42.3,2.7
192803,37.9,-1.7
192903,46,6.4
193003,37.9,-1.7
193103,35,-4.6
193203,32.4,-7.2
193303,38.3,-1.3
193403,35.2,-4.4
193503,46.2,6.6
193603,42.8,3.2
193703,35.2,-4.4
193803,46,6.4
193903,41.2,1.6
194003,35.8,-3.8
194103,34.3,-5.3
194203,41.8,2.2
194303,35.9,-3.7
194403,36.3,-3.3
194503,50.4,10.8
194603,51.1,11.5
194703,32.5,-7.1
194803,40.6,1.0
194903,40.1,0.5
195003,35.6,-4.0
195103,37.6,-2.0
195203,38.4,-1.2
195303,41.3,1.7
195403,37.1,-2.5
195503,40.1,0.5
195603,39.2,-0.4
195703,39.4,-0.2
195803,35.5,-4.1
195903,38.3,-1.3
196003,25.4,-14.2
196103,42.8,3.2
196203,36.3,-3.3
196303,42.4,2.8
196403,38.9,-0.7
196503,32.7,-6.9
196603,41.3,1.7
196703,41,1.4
196803,41.2,1.6
196903,34.4,-5.2
197003,36,-3.6
197103,36,-3.6
197203,38.3,-1.3
197303,47.5,7.9
197403,42.5,2.9
197503,36.1,-3.5
197603,46.2,6.6
197703,45.2,5.6
197803,33,-6.6
197903,41.2,1.6
198003,35.1,-4.5
198103,39.2,-0.4
198203,39.4,-0.2
198303,41.6,2.0
198403,31.9,-7.7
198503,43.8,4.2
198603,42.2,2.6
198703,43.4,3.8
198803,40.3,0.7
198903,40.7,1.1
199003,44.4,4.8
199103,43.2,3.6
199203,41.1,1.5
199303,37,-2.6
199403,39.6,0.0
199503,43.4,3.8
199603,34.2,-5.4
199703,42.3,2.7
199803,41.3,1.7
199903,36.7,-2.9
200003,45.5,5.9
200103,37.2,-2.4
200203,38.3,-1.3
200303,42.1,2.5
200403,44.3,4.7
200503,37.3,-2.3
200603,40.7,1.1
200703,47,7.4
200803,38.6,-1.0
200903,44.2,4.6
201003,43.6,4.0
201103,41.7,2.1
201203,55,15.4
201303,34.8,-4.8
201403,34.1,-5.5
201503,37.2,-2.4
