North Dakota, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,6.2,-5.7
189602,13.9,2.0
189702,6.7,-5.2
189802,13.4,1.5
189902,-1.5,-13.4
190002,2.4,-9.5
190102,6.7,-5.2
190202,10.4,-1.5
190302,2.3,-9.6
190402,-2.5,-14.4
190502,8.1,-3.8
190602,10,-1.9
190702,10.6,-1.3
190802,13.1,1.2
190902,9.8,-2.1
191002,2.6,-9.3
191102,6.7,-5.2
191202,10.8,-1.1
191302,7.4,-4.5
191402,.6,-11.3
191502,16.7,4.8
191602,6.4,-5.5
191702,-1.2,-13.1
191802,10.1,-1.8
191902,7,-4.9
192002,12.7,0.8
192102,19.3,7.4
192202,-.3,-12.2
192302,3.6,-8.3
192402,20,8.1
192502,15.8,3.9
192602,21.2,9.3
192702,13.1,1.2
192802,17.9,6.0
192902,1.9,-10.0
193002,20.9,9.0
193102,27.2,15.3
193202,12.2,0.3
193302,7.5,-4.4
193402,18.8,6.9
193502,23.3,11.4
193602,-14.1,-26.0
193702,5.7,-6.2
193802,6.3,-5.6
193902,-1.7,-13.6
194002,14,2.1
194102,11.3,-0.6
194202,13.4,1.5
194302,14.4,2.5
194402,10.4,-1.5
194502,14.2,2.3
194602,9.7,-2.2
194702,8,-3.9
194802,6.3,-5.6
194902,1.2,-10.7
195002,7.8,-4.1
195102,10.7,-1.2
195202,16.5,4.6
195302,18,6.1
195402,29.6,17.7
195502,6.7,-5.2
195602,7.8,-4.1
195702,12,0.1
195802,10.6,-1.3
195902,5.6,-6.3
196002,10.3,-1.6
196102,17.8,5.9
196202,7.1,-4.8
196302,13.7,1.8
196402,19.7,7.8
196502,8.7,-3.2
196602,8,-3.9
196702,7.7,-4.2
196802,11.4,-0.5
196902,12,0.1
197002,13.3,1.4
197102,12.4,0.5
197202,6.1,-5.8
197302,18.5,6.6
197402,14,2.1
197502,9.6,-2.3
197602,22.7,10.8
197702,21.5,9.6
197802,5,-6.9
197902,-1,-12.9
198002,12.5,0.6
198102,20.1,8.2
198202,9.5,-2.4
198302,23,11.1
198402,26.6,14.7
198502,10.7,-1.2
198602,11.1,-0.8
198702,26.4,14.5
198802,11.9,0.0
198902,2.6,-9.3
199002,17.7,5.8
199102,25.1,13.2
199202,24.4,12.5
199302,9.6,-2.3
199402,3,-8.9
199502,16.5,4.6
199602,14.6,2.7
199702,16.7,4.8
199802,27.8,15.9
199902,22.9,11.0
200002,22.1,10.2
200102,5.5,-6.4
200202,24.1,12.2
200302,8.8,-3.1
200402,15.5,3.6
200502,20.3,8.4
200602,15,3.1
200702,7.7,-4.2
200802,10.3,-1.6
200902,11.4,-0.5
201002,9.3,-2.6
201102,10,-1.9
201202,21,9.1
201302,16.8,4.9
201402,5.7,-6.2
201502,8.4,-3.5
