Colorado, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,31.7,-2.0
189603,31.6,-2.1
189703,30.2,-3.5
189803,29.9,-3.8
189903,31.2,-2.5
190003,36.9,3.2
190103,32,-1.7
190203,31.5,-2.2
190303,31.5,-2.2
190403,36.9,3.2
190503,37.7,4.0
190603,28.3,-5.4
190703,40.2,6.5
190803,36.9,3.2
190903,31.5,-2.2
191003,42.3,8.6
191103,37.9,4.2
191203,27.8,-5.9
191303,30.5,-3.2
191403,33.8,0.1
191503,29.3,-4.4
191603,38.2,4.5
191703,27.4,-6.3
191803,38.3,4.6
191903,32.4,-1.3
192003,31.9,-1.8
192103,38.1,4.4
192203,31.8,-1.9
192303,28.5,-5.2
192403,25.5,-8.2
192503,37.1,3.4
192603,33,-0.7
192703,32,-1.7
192803,36,2.3
192903,32.7,-1.0
193003,31.5,-2.2
193103,30.7,-3.0
193203,29.2,-4.5
193303,35.8,2.1
193403,38.9,5.2
193503,35.3,1.6
193603,35.3,1.6
193703,31.8,-1.9
193803,35.9,2.2
193903,33.9,0.2
194003,36.5,2.8
194103,32.7,-1.0
194203,29.9,-3.8
194303,31.9,-1.8
194403,30.2,-3.5
194503,34.7,1.0
194603,37.6,3.9
194703,32.5,-1.2
194803,26.6,-7.1
194903,34.3,0.6
195003,33,-0.7
195103,31.7,-2.0
195203,28,-5.7
195303,36.6,2.9
195403,31.6,-2.1
195503,31.6,-2.1
195603,33.7,0.0
195703,33.5,-0.2
195803,28.3,-5.4
195903,32.6,-1.1
196003,32.9,-0.8
196103,34.1,0.4
196203,29.6,-4.1
196303,33.7,0.0
196403,27.7,-6.0
196503,25.5,-8.2
196603,36.2,2.5
196703,39,5.3
196803,34.8,1.1
196903,27.2,-6.5
197003,29.8,-3.9
197103,33.3,-0.4
197203,40,6.3
197303,32.5,-1.2
197403,38.2,4.5
197503,32.4,-1.3
197603,32.3,-1.4
197703,32.3,-1.4
197803,37.4,3.7
197903,33.9,0.2
198003,31.3,-2.4
198103,34.9,1.2
198203,35.6,1.9
198303,34,0.3
198403,31.8,-1.9
198503,35.6,1.9
198603,40.8,7.1
198703,32.4,-1.3
198803,32.7,-1.0
198903,39.1,5.4
199003,36.6,2.9
199103,34.9,1.2
199203,38.1,4.4
199303,36.1,2.4
199403,38.3,4.6
199503,36.2,2.5
199603,33.8,0.1
199703,38.3,4.6
199803,33.7,0.0
199903,39.3,5.6
200003,36.6,2.9
200103,36.1,2.4
200203,32,-1.7
200303,36.6,2.9
200403,41.9,8.2
200503,35.2,1.5
200603,34.9,1.2
200703,40.5,6.8
200803,33.9,0.2
200903,37.1,3.4
201003,35.2,1.5
201103,37.7,4.0
201203,41.9,8.2
201303,35,1.3
201403,36.3,2.6
201503,40.5,6.8
