New Mexico, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,67.1,-2.1
189606,72.9,3.7
189706,68.9,-0.3
189806,68.9,-0.3
189906,69,-0.2
190006,70.9,1.7
190106,68.9,-0.3
190206,71.9,2.7
190306,64.9,-4.3
190406,67.4,-1.8
190506,69.6,0.4
190606,69.2,0.0
190706,65.4,-3.8
190806,67.9,-1.3
190906,69.9,0.7
191006,70.8,1.6
191106,69.4,0.2
191206,67.1,-2.1
191306,66.5,-2.7
191406,69.4,0.2
191506,68.1,-1.1
191606,69.9,0.7
191706,68.5,-0.7
191806,71.8,2.6
191906,66.5,-2.7
192006,67.3,-1.9
192106,67.2,-2.0
192206,70.4,1.2
192306,69.4,0.2
192406,72.3,3.1
192506,70.3,1.1
192606,69.1,-0.1
192706,68.2,-1.0
192806,69.2,0.0
192906,69.9,0.7
193006,70.3,1.1
193106,70.3,1.1
193206,67.6,-1.6
193306,69.5,0.3
193406,70.3,1.1
193506,69.5,0.3
193606,71.2,2.0
193706,68.7,-0.5
193806,69.5,0.3
193906,70.5,1.3
194006,68.9,-0.3
194106,65.2,-4.0
194206,69.1,-0.1
194306,69.4,0.2
194406,68.5,-0.7
194506,66.9,-2.3
194606,71.2,2.0
194706,68.5,-0.7
194806,69.5,0.3
194906,68.3,-0.9
195006,70.1,0.9
195106,68.2,-1.0
195206,71.8,2.6
195306,72.6,3.4
195406,70.1,0.9
195506,67.6,-1.6
195606,72.9,3.7
195706,69.6,0.4
195806,71.9,2.7
195906,71.1,1.9
196006,71,1.8
196106,70.1,0.9
196206,67.7,-1.5
196306,68.5,-0.7
196406,68.7,-0.5
196506,66.4,-2.8
196606,68.5,-0.7
196706,67.8,-1.4
196806,69.8,0.6
196906,67.5,-1.7
197006,67.5,-1.7
197106,69.5,0.3
197206,68.8,-0.4
197306,67.2,-2.0
197406,71.4,2.2
197506,67.8,-1.4
197606,68.6,-0.6
197706,70.9,1.7
197806,70.6,1.4
197906,66.7,-2.5
198006,72.5,3.3
198106,71.9,2.7
198206,67.8,-1.4
198306,66.5,-2.7
198406,68.5,-0.7
198506,69.2,0.0
198606,68.3,-0.9
198706,68.2,-1.0
198806,69.3,0.1
198906,69.2,0.0
199006,74.5,5.3
199106,68.1,-1.1
199206,66.9,-2.3
199306,69.2,0.0
199406,73.7,4.5
199506,67.4,-1.8
199606,72,2.8
199706,68.5,-0.7
199806,69.9,0.7
199906,68.3,-0.9
200006,70.7,1.5
200106,71.5,2.3
200206,73.8,4.6
200306,69.2,0.0
200406,69.9,0.7
200506,69.8,0.6
200606,73,3.8
200706,69.8,0.6
200806,71.9,2.7
200906,69,-0.2
201006,72.6,3.4
201106,73.1,3.9
201206,74.2,5.0
201306,74.1,4.9
201406,72.4,3.2
201506,71.6,2.4
