Wyoming, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,14.5,-7.8
189602,24,1.7
189702,19.4,-2.9
189802,25.3,3.0
189902,9.1,-13.2
190002,19.5,-2.8
190102,17.1,-5.2
190202,24.9,2.6
190302,10,-12.3
190402,22.8,0.5
190502,15.4,-6.9
190602,23.4,1.1
190702,27.9,5.6
190802,22.1,-0.2
190902,21.2,-1.1
191002,15.6,-6.7
191102,18.1,-4.2
191202,21.2,-1.1
191302,13.1,-9.2
191402,19.4,-2.9
191502,25.1,2.8
191602,23.1,0.8
191702,19,-3.3
191802,20.4,-1.9
191902,20.1,-2.2
192002,22.5,0.2
192102,25.4,3.1
192202,14.6,-7.7
192302,15.5,-6.8
192402,26.4,4.1
192502,28.4,6.1
192602,27.1,4.8
192702,24.1,1.8
192802,20.7,-1.6
192902,11.8,-10.5
193002,29.5,7.2
193102,27.2,4.9
193202,22.5,0.2
193302,13.2,-9.1
193402,29,6.7
193502,26.5,4.2
193602,11.2,-11.1
193702,19.2,-3.1
193802,23.5,1.2
193902,12.5,-9.8
194002,24.2,1.9
194102,25.5,3.2
194202,15.6,-6.7
194302,26.1,3.8
194402,19.5,-2.8
194502,23.1,0.8
194602,24.2,1.9
194702,21.9,-0.4
194802,19,-3.3
194902,16.3,-6.0
195002,26.1,3.8
195102,25.4,3.1
195202,21.2,-1.1
195302,23.1,0.8
195402,32,9.7
195502,17.1,-5.2
195602,16.8,-5.5
195702,27.3,5.0
195802,27.1,4.8
195902,19.9,-2.4
196002,16.3,-6.0
196102,27.6,5.3
196202,22.7,0.4
196302,29.8,7.5
196402,18.1,-4.2
196502,21.1,-1.2
196602,19.3,-3.0
196702,24,1.7
196802,25.5,3.2
196902,22.5,0.2
197002,28.4,6.1
197102,22.2,-0.1
197202,24.7,2.4
197302,20.3,-2.0
197402,24.4,2.1
197502,19.2,-3.1
197602,25.8,3.5
197702,27.3,5.0
197802,19.9,-2.4
197902,20,-2.3
198002,24.1,1.8
198102,26.1,3.8
198202,21.7,-0.6
198302,27.5,5.2
198402,22.7,0.4
198502,17.2,-5.1
198602,24.3,2.0
198702,26.9,4.6
198802,23.9,1.6
198902,12.7,-9.6
199002,22.7,0.4
199102,30.7,8.4
199202,30.2,7.9
199302,16,-6.3
199402,20,-2.3
199502,28.1,5.8
199602,24.2,1.9
199702,22.1,-0.2
199802,26.4,4.1
199902,28,5.7
200002,29.4,7.1
200102,19.8,-2.5
200202,22.9,0.6
200302,20.2,-2.1
200402,23.4,1.1
200502,26.6,4.3
200602,21.3,-1.0
200702,24.8,2.5
200802,23.5,1.2
200902,26.8,4.5
201002,21.5,-0.8
201102,18,-4.3
201202,22.7,0.4
201302,22.6,0.3
201402,20,-2.3
201502,28.4,6.1
