North Carolina, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,41.5,0.0
189612,39.3,-2.2
189712,42.8,1.3
189812,41.1,-0.4
189912,40.1,-1.4
190012,40.4,-1.1
190112,38.9,-2.6
190212,40.9,-0.6
190312,35.8,-5.7
190412,38.6,-2.9
190512,40.3,-1.2
190612,42.2,0.7
190712,41.5,0.0
190812,43.9,2.4
190912,36.6,-4.9
191012,35.4,-6.1
191112,44.5,3.0
191212,43.5,2.0
191312,42.9,1.4
191412,38.4,-3.1
191512,38.3,-3.2
191612,40.5,-1.0
191712,31.8,-9.7
191812,45.3,3.8
191912,39.8,-1.7
192012,41.7,0.2
192112,44.1,2.6
192212,45.1,3.6
192312,48,6.5
192412,42.4,0.9
192512,39.9,-1.6
192612,42.4,0.9
192712,42.1,0.6
192812,41.4,-0.1
192912,42,0.5
193012,37.2,-4.3
193112,49.2,7.7
193212,45,3.5
193312,47.1,5.6
193412,40.6,-0.9
193512,33.8,-7.7
193612,43.1,1.6
193712,39.8,-1.7
193812,41.3,-0.2
193912,41.8,0.3
194012,45.3,3.8
194112,44.1,2.6
194212,40,-1.5
194312,40.6,-0.9
194412,36.8,-4.7
194512,35.7,-5.8
194612,45.1,3.6
194712,39.9,-1.6
194812,44.5,3.0
194912,43.9,2.4
195012,36.5,-5.0
195112,43.6,2.1
195212,40.5,-1.0
195312,42.1,0.6
195412,38.8,-2.7
195512,37.4,-4.1
195612,50.3,8.8
195712,43.5,2.0
195812,36.8,-4.7
195912,42.3,0.8
196012,35.6,-5.9
196112,41.2,-0.3
196212,37.4,-4.1
196312,33.8,-7.7
196412,44,2.5
196512,42.2,0.7
196612,40.3,-1.2
196712,45,3.5
196812,38.1,-3.4
196912,38.3,-3.2
197012,43.6,2.1
197112,50.1,8.6
197212,46.1,4.6
197312,42.3,0.8
197412,42.3,0.8
197512,41.3,-0.2
197612,38.1,-3.4
197712,40.3,-1.2
197812,43.1,1.6
197912,42.3,0.8
198012,40.8,-0.7
198112,38.1,-3.4
198212,47.2,5.7
198312,39.5,-2.0
198412,49.5,8.0
198512,39.1,-2.4
198612,42.4,0.9
198712,43.7,2.2
198812,40.7,-0.8
198912,33.4,-8.1
199012,47.3,5.8
199112,45.6,4.1
199212,41.9,0.4
199312,39.9,-1.6
199412,46.6,5.1
199512,38.3,-3.2
199612,44.4,2.9
199712,41.6,0.1
199812,47,5.5
199912,43.4,1.9
200012,35.1,-6.4
200112,48,6.5
200212,40.5,-1.0
200312,40.3,-1.2
200412,41.9,0.4
200512,40,-1.5
200612,47.1,5.6
200712,47.5,6.0
200812,46.1,4.6
200912,40.7,-0.8
201012,33.6,-7.9
201112,46.9,5.4
201212,47.6,6.1
201312,45.4,3.9
201412,45.1,3.6
201512,54.7,13.2
