Utah, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,54.5,-0.2
189605,51.5,-3.2
189705,59.3,4.6
189805,51.6,-3.1
189905,50.7,-4.0
190005,56.7,2.0
190105,57.4,2.7
190205,54.7,0.0
190305,52,-2.7
190405,54.7,0.0
190505,50.7,-4.0
190605,53.6,-1.1
190705,51.2,-3.5
190805,49.4,-5.3
190905,51.1,-3.6
191005,56.5,1.8
191105,53.6,-1.1
191205,51.9,-2.8
191305,55.8,1.1
191405,56.7,2.0
191505,51.5,-3.2
191605,51.2,-3.5
191705,49,-5.7
191805,52.7,-2.0
191905,57.9,3.2
192005,54.5,-0.2
192105,54,-0.7
192205,53.4,-1.3
192305,55,0.3
192405,56.5,1.8
192505,58.5,3.8
192605,55.8,1.1
192705,53.7,-1.0
192805,57.8,3.1
192905,54,-0.7
193005,51.3,-3.4
193105,54.5,-0.2
193205,54.9,0.2
193305,49.3,-5.4
193405,61.2,6.5
193505,51.5,-3.2
193605,58.2,3.5
193705,58.2,3.5
193805,53.3,-1.4
193905,57.2,2.5
194005,59.6,4.9
194105,56.1,1.4
194205,51.8,-2.9
194305,54.3,-0.4
194405,54.8,0.1
194505,55.5,0.8
194605,53.5,-1.2
194705,58.4,3.7
194805,55.5,0.8
194905,55,0.3
195005,51.8,-2.9
195105,54.9,0.2
195205,56.3,1.6
195305,49.3,-5.4
195405,58.1,3.4
195505,53.7,-1.0
195605,56.9,2.2
195705,51.8,-2.9
195805,59,4.3
195905,53.2,-1.5
196005,55,0.3
196105,55.4,0.7
196205,53.4,-1.3
196305,58.4,3.7
196405,53.5,-1.2
196505,51.3,-3.4
196605,58.1,3.4
196705,52.6,-2.1
196805,53.3,-1.4
196905,59.5,4.8
197005,55.4,0.7
197105,52.4,-2.3
197205,55.8,1.1
197305,55.7,1.0
197405,57.5,2.8
197505,50.4,-4.3
197605,56.8,2.1
197705,51.6,-3.1
197805,52.3,-2.4
197905,54.7,0.0
198005,51.8,-2.9
198105,53.6,-1.1
198205,53.5,-1.2
198305,51.3,-3.4
198405,57.9,3.2
198505,56.9,2.2
198605,54.6,-0.1
198705,56.3,1.6
198805,54.8,0.1
198905,56.1,1.4
199005,54.1,-0.6
199105,52.5,-2.2
199205,58.8,4.1
199305,57.2,2.5
199405,57.8,3.1
199505,50.6,-4.1
199605,56.9,2.2
199705,58,3.3
199805,53.7,-1.0
199905,52.8,-1.9
200005,59.3,4.6
200105,59.3,4.6
200205,56.3,1.6
200305,57.4,2.7
200405,57,2.3
200505,56,1.3
200605,58.9,4.2
200705,57.7,3.0
200805,52.8,-1.9
200905,58.7,4.0
201005,50.2,-4.5
201105,50.8,-3.9
201205,58,3.3
201305,56,1.3
201405,56.5,1.8
201505,53.8,-0.9
