Illinois, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,53.9,2.4
189604,58.4,6.9
189704,49.9,-1.6
189804,48.9,-2.6
189904,52.7,1.2
190004,52.3,0.8
190104,49,-2.5
190204,49.3,-2.2
190304,51.7,0.2
190404,45.6,-5.9
190504,51.1,-0.4
190604,54.4,2.9
190704,43.1,-8.4
190804,51.6,0.1
190904,49.3,-2.2
191004,52.1,0.6
191104,49,-2.5
191204,52.6,1.1
191304,51.3,-0.2
191404,51.7,0.2
191504,57.9,6.4
191604,49.8,-1.7
191704,48.9,-2.6
191804,46.7,-4.8
191904,52.1,0.6
192004,45.9,-5.6
192104,54.2,2.7
192204,52.7,1.2
192304,50,-1.5
192404,52.9,1.4
192504,57.5,6.0
192604,45.2,-6.3
192704,52,0.5
192804,47.4,-4.1
192904,53.9,2.4
193004,54.5,3.0
193104,52.1,0.6
193204,52,0.5
193304,50.9,-0.6
193404,52.1,0.6
193504,48.5,-3.0
193604,47.6,-3.9
193704,50.3,-1.2
193804,53.1,1.6
193904,48.3,-3.2
194004,49.6,-1.9
194104,55.8,4.3
194204,55.5,4.0
194304,50.1,-1.4
194404,49,-2.5
194504,52.6,1.1
194604,54.7,3.2
194704,50.8,-0.7
194804,55.8,4.3
194904,50.5,-1.0
195004,45.8,-5.7
195104,48.3,-3.2
195204,52,0.5
195304,48.1,-3.4
195404,56.7,5.2
195504,58.1,6.6
195604,49.6,-1.9
195704,52.5,1.0
195804,52,0.5
195904,51.9,0.4
196004,54.5,3.0
196104,46.6,-4.9
196204,50.5,-1.0
196304,54.8,3.3
196404,53.8,2.3
196504,52.8,1.3
196604,49,-2.5
196704,54.1,2.6
196804,52.7,1.2
196904,53.2,1.7
197004,53.4,1.9
197104,52,0.5
197204,50.5,-1.0
197304,50.8,-0.7
197404,54.2,2.7
197504,48.5,-3.0
197604,54.1,2.6
197704,57.6,6.1
197804,52.7,1.2
197904,49.1,-2.4
198004,50.1,-1.4
198104,57.3,5.8
198204,47,-4.5
198304,46.8,-4.7
198404,50,-1.5
198504,56.7,5.2
198604,55.9,4.4
198704,53.2,1.7
198804,52,0.5
198904,51.4,-0.1
199004,50.8,-0.7
199104,56,4.5
199204,51,-0.5
199304,49.2,-2.3
199404,53.2,1.7
199504,50.1,-1.4
199604,48.6,-2.9
199704,47.6,-3.9
199804,52.6,1.1
199904,54.3,2.8
200004,51.5,0.0
200104,57.7,6.2
200204,53.5,2.0
200304,53.5,2.0
200404,54.1,2.6
200504,55.4,3.9
200604,57,5.5
200704,50.3,-1.2
200804,51.4,-0.1
200904,51.4,-0.1
201004,58.7,7.2
201104,53.1,1.6
201204,54.6,3.1
201304,50.2,-1.3
201404,52.4,0.9
201504,54.3,2.8
