Colorado, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,19.2,-8.2
189602,27.1,-0.3
189702,24.7,-2.7
189802,28.9,1.5
189902,16.5,-10.9
190002,25.3,-2.1
190102,24.7,-2.7
190202,29.5,2.1
190302,15.5,-11.9
190402,32,4.6
190502,20.8,-6.6
190602,29.1,1.7
190702,34.5,7.1
190802,27,-0.4
190902,25.5,-1.9
191002,23.9,-3.5
191102,25.7,-1.7
191202,25.2,-2.2
191302,20.8,-6.6
191402,23.8,-3.6
191502,28,0.6
191602,28.8,1.4
191702,26.3,-1.1
191802,27.7,0.3
191902,22.2,-5.2
192002,28.6,1.2
192102,29.4,2.0
192202,25.3,-2.1
192302,23.5,-3.9
192402,30.5,3.1
192502,30.2,2.8
192602,31.5,4.1
192702,30,2.6
192802,26.9,-0.5
192902,18.3,-9.1
193002,33,5.6
193102,31.2,3.8
193202,31.1,3.7
193302,19.4,-8.0
193402,32.9,5.5
193502,29.9,2.5
193602,23.7,-3.7
193702,25.3,-2.1
193802,29,1.6
193902,17.9,-9.5
194002,28.1,0.7
194102,29.5,2.1
194202,20.5,-6.9
194302,31.8,4.4
194402,26.3,-1.1
194502,29.6,2.2
194602,28.7,1.3
194702,27.3,-0.1
194802,23.5,-3.9
194902,23.4,-4.0
195002,31.1,3.7
195102,28.8,1.4
195202,25.8,-1.6
195302,26.9,-0.5
195402,36.4,9.0
195502,20.6,-6.8
195602,22.2,-5.2
195702,32.9,5.5
195802,31.3,3.9
195902,26.7,-0.7
196002,19.3,-8.1
196102,29.8,2.4
196202,29.9,2.5
196302,32.1,4.7
196402,21.3,-6.1
196502,24.9,-2.5
196602,22.1,-5.3
196702,28.8,1.4
196802,28.8,1.4
196902,27.9,0.5
197002,32.4,5.0
197102,26.7,-0.7
197202,31,3.6
197302,25.7,-1.7
197402,25.2,-2.2
197502,25.1,-2.3
197602,32.9,5.5
197702,30.7,3.3
197802,25.2,-2.2
197902,25.4,-2.0
198002,29.3,1.9
198102,30.5,3.1
198202,25.7,-1.7
198302,30.5,3.1
198402,26.1,-1.3
198502,22.9,-4.5
198602,31.5,4.1
198702,30.4,3.0
198802,27.5,0.1
198902,22.2,-5.2
199002,27.7,0.3
199102,32.5,5.1
199202,31.9,4.5
199302,25.3,-2.1
199402,26.2,-1.2
199502,34.4,7.0
199602,30.8,3.4
199702,27.2,-0.2
199802,29.5,2.1
199902,33.3,5.9
200002,34.3,6.9
200102,28.2,0.8
200202,27.1,-0.3
200302,26.3,-1.1
200402,26.3,-1.1
200502,31.3,3.9
200602,28,0.6
200702,27.7,0.3
200802,27.6,0.2
200902,32.2,4.8
201002,24.6,-2.8
201102,24.2,-3.2
201202,27.4,0.0
201302,25.7,-1.7
201402,27.6,0.2
201502,32.1,4.7
