New Mexico, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,33.3,-0.4
189601,35.9,2.2
189701,30.2,-3.5
189801,30.5,-3.2
189901,31.1,-2.6
190001,37.5,3.8
190101,35.7,2.0
190201,34.9,1.2
190301,34.3,0.6
190401,30.8,-2.9
190501,33.9,0.2
190601,32.7,-1.0
190701,37.6,3.9
190801,34.9,1.2
190901,39.5,5.8
191001,35.6,1.9
191101,40.1,6.4
191201,33.1,-0.6
191301,29.3,-4.4
191401,37.8,4.1
191501,29.8,-3.9
191601,36,2.3
191701,32.5,-1.2
191801,29.6,-4.1
191901,27,-6.7
192001,35,1.3
192101,36.9,3.2
192201,31.2,-2.5
192301,38.7,5.0
192401,30.7,-3.0
192501,29.8,-3.9
192601,29.3,-4.4
192701,38.3,4.6
192801,35.7,2.0
192901,32.9,-0.8
193001,28.8,-4.9
193101,32.5,-1.2
193201,28.7,-5.0
193301,31.8,-1.9
193401,34.6,0.9
193501,37.6,3.9
193601,32.9,-0.8
193701,27,-6.7
193801,34.6,0.9
193901,33.2,-0.5
194001,31.6,-2.1
194101,34.5,0.8
194201,34.1,0.4
194301,35.5,1.8
194401,30.5,-3.2
194501,34.1,0.4
194601,30.8,-2.9
194701,30.7,-3.0
194801,31.3,-2.4
194901,26.8,-6.9
195001,36.4,2.7
195101,33.5,-0.2
195201,37.8,4.1
195301,39.5,5.8
195401,36.4,2.7
195501,31.8,-1.9
195601,38.4,4.7
195701,36.9,3.2
195801,32.4,-1.3
195901,34.5,0.8
196001,30,-3.7
196101,31.7,-2.0
196201,30.5,-3.2
196301,28.8,-4.9
196401,30.2,-3.5
196501,36.8,3.1
196601,29.2,-4.5
196701,33.6,-0.1
196801,33.3,-0.4
196901,39,5.3
197001,32.8,-0.9
197101,34.3,0.6
197201,35.2,1.5
197301,30.6,-3.1
197401,33.7,0.0
197501,32.6,-1.1
197601,33,-0.7
197701,30.5,-3.2
197801,34.1,0.4
197901,29,-4.7
198001,36.5,2.8
198101,36.9,3.2
198201,34.7,1.0
198301,34.2,0.5
198401,32.5,-1.2
198501,31.9,-1.8
198601,39.2,5.5
198701,32.3,-1.4
198801,31,-2.7
198901,34.2,0.5
199001,33.6,-0.1
199101,32.7,-1.0
199201,31.6,-2.1
199301,36.8,3.1
199401,35.2,1.5
199501,35.7,2.0
199601,36.3,2.6
199701,32.9,-0.8
199801,37.1,3.4
199901,39.3,5.6
200001,38.9,5.2
200101,31.8,-1.9
200201,36.1,2.4
200301,40.2,6.5
200401,36.6,2.9
200501,39.9,6.2
200601,38.2,4.5
200701,30.8,-2.9
200801,32.5,-1.2
200901,37.8,4.1
201001,33.6,-0.1
201101,33.8,0.1
201201,38.6,4.9
201301,32,-1.7
201401,36.4,2.7
201501,35.6,1.9
