Montana, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,44.7,4.0
189604,37.9,-2.8
189704,42.6,1.9
189804,41.2,0.5
189904,36.9,-3.8
190004,45.2,4.5
190104,40.9,0.2
190204,38.6,-2.1
190304,39.5,-1.2
190404,41.6,0.9
190504,40.8,0.1
190604,44.8,4.1
190704,36,-4.7
190804,43.5,2.8
190904,33.5,-7.2
191004,48.5,7.8
191104,39,-1.7
191204,42,1.3
191304,42.8,2.1
191404,41.5,0.8
191504,49,8.3
191604,40.9,0.2
191704,35.9,-4.8
191804,38.5,-2.2
191904,42.9,2.2
192004,33.2,-7.5
192104,39.2,-1.5
192204,38.4,-2.3
192304,39.2,-1.5
192404,38.9,-1.8
192504,44.4,3.7
192604,43.3,2.6
192704,38.7,-2.0
192804,37.4,-3.3
192904,37.6,-3.1
193004,47.8,7.1
193104,42.1,1.4
193204,42.6,1.9
193304,38.4,-2.3
193404,45.7,5.0
193504,35.6,-5.1
193604,39.5,-1.2
193704,40.8,0.1
193804,41.4,0.7
193904,43.7,3.0
194004,38.9,-1.8
194104,41.8,1.1
194204,43.9,3.2
194304,45.9,5.2
194404,42.2,1.5
194504,36.4,-4.3
194604,46,5.3
194704,40.8,0.1
194804,40.9,0.2
194904,46.4,5.7
195004,36.9,-3.8
195104,37.5,-3.2
195204,45.6,4.9
195304,35.6,-5.1
195404,37.3,-3.4
195504,39.1,-1.6
195604,38,-2.7
195704,38.6,-2.1
195804,40.2,-0.5
195904,39.9,-0.8
196004,39.9,-0.8
196104,37.5,-3.2
196204,44.3,3.6
196304,39.8,-0.9
196404,40.1,-0.6
196504,40.3,-0.4
196604,37.3,-3.4
196704,35.4,-5.3
196804,38.1,-2.6
196904,45.1,4.4
197004,35.1,-5.6
197104,40.5,-0.2
197204,39.5,-1.2
197304,37.8,-2.9
197404,42.9,2.2
197504,32.5,-8.2
197604,42.4,1.7
197704,45,4.3
197804,41.6,0.9
197904,37.6,-3.1
198004,46.1,5.4
198104,43.7,3.0
198204,36.6,-4.1
198304,38.7,-2.0
198404,40.7,0.0
198504,44.6,3.9
198604,40.6,-0.1
198704,48,7.3
198804,44.1,3.4
198904,41.1,0.4
199004,42.3,1.6
199104,40.6,-0.1
199204,43.8,3.1
199304,41.5,0.8
199404,42.6,1.9
199504,38,-2.7
199604,41.7,1.0
199704,36,-4.7
199804,43.7,3.0
199904,40.1,-0.6
200004,43.2,2.5
200104,41.1,0.4
200204,37.6,-3.1
200304,44.1,3.4
200404,44.3,3.6
200504,42.7,2.0
200604,44.9,4.2
200704,40.9,0.2
200804,37.6,-3.1
200904,39.9,-0.8
201004,41.6,0.9
201104,37.7,-3.0
201204,44.8,4.1
201304,36.9,-3.8
201404,41.1,0.4
201504,42.9,2.2
