Oklahoma, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,76.5,3.4
189609,72.6,-0.5
189709,75,1.9
189809,73.7,0.6
189909,72.3,-0.8
190009,75.4,2.3
190109,73.4,0.3
190209,67.6,-5.5
190309,71.1,-2.0
190409,74.6,1.5
190509,74.9,1.8
190609,73.7,0.6
190709,74.6,1.5
190809,72.5,-0.6
190909,74.2,1.1
191009,77.7,4.6
191109,79.4,6.3
191209,71.5,-1.6
191309,70.2,-2.9
191409,75,1.9
191509,73.7,0.6
191609,72.3,-0.8
191709,72.4,-0.7
191809,67.7,-5.4
191909,74.4,1.3
192009,73.7,0.6
192109,78.4,5.3
192209,75.9,2.8
192309,73.5,0.4
192409,70.2,-2.9
192509,76.2,3.1
192609,73.6,0.5
192709,73.3,0.2
192809,71.7,-1.4
192909,71.8,-1.3
193009,76.6,3.5
193109,80.1,7.0
193209,72.9,-0.2
193309,77.9,4.8
193409,70.5,-2.6
193509,70.4,-2.7
193609,76,2.9
193709,73.9,0.8
193809,75.1,2.0
193909,79.5,6.4
194009,72.3,-0.8
194109,74.3,1.2
194209,70.7,-2.4
194309,72.5,-0.6
194409,72.5,-0.6
194509,73.2,0.1
194609,72,-1.1
194709,77,3.9
194809,73.9,0.8
194909,69.2,-3.9
195009,70.1,-3.0
195109,72.3,-0.8
195209,73.8,0.7
195309,75.1,2.0
195409,78.6,5.5
195509,75.4,2.3
195609,76.7,3.6
195709,70,-3.1
195809,73.9,0.8
195909,73.1,0.0
196009,74.4,1.3
196109,70.2,-2.9
196209,71.4,-1.7
196309,74.8,1.7
196409,72.2,-0.9
196509,72.8,-0.3
196609,69.5,-3.6
196709,69,-4.1
196809,70.3,-2.8
196909,73,-0.1
197009,74,0.9
197109,72.3,-0.8
197209,75,1.9
197309,71.2,-1.9
197409,64.7,-8.4
197509,68.6,-4.5
197609,71,-2.1
197709,76,2.9
197809,76.8,3.7
197909,72,-1.1
198009,76.2,3.1
198109,73,-0.1
198209,73.2,0.1
198309,74.6,1.5
198409,71.1,-2.0
198509,73.2,0.1
198609,73.9,0.8
198709,70.9,-2.2
198809,72.3,-0.8
198909,68.1,-5.0
199009,75.5,2.4
199109,70.2,-2.9
199209,71.4,-1.7
199309,69.6,-3.5
199409,70.9,-2.2
199509,70.6,-2.5
199609,69.1,-4.0
199709,74,0.9
199809,79.6,6.5
199909,70.3,-2.8
200009,75.3,2.2
200109,70.9,-2.2
200209,74,0.9
200309,69,-4.1
200409,73.6,0.5
200509,76.4,3.3
200609,69.3,-3.8
200709,74.1,1.0
200809,70.1,-3.0
200909,70.1,-3.0
201009,75,1.9
201109,71.1,-2.0
201209,74.4,1.3
201309,75.8,2.7
201409,73.3,0.2
201509,76.6,3.5
