New Hampshire, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,13.3,-5.2
189602,18,-0.5
189702,19.5,1.0
189802,22.2,3.7
189902,16.1,-2.4
190002,17.5,-1.0
190102,12.3,-6.2
190202,18.8,0.3
190302,20.7,2.2
190402,11.4,-7.1
190502,11.8,-6.7
190602,18.4,-0.1
190702,10.4,-8.1
190802,14.5,-4.0
190902,20.3,1.8
191002,17,-1.5
191102,15,-3.5
191202,15.8,-2.7
191302,16.1,-2.4
191402,11,-7.5
191502,23.3,4.8
191602,15.6,-2.9
191702,13.6,-4.9
191802,13.5,-5.0
191902,20.7,2.2
192002,16.3,-2.2
192102,20.4,1.9
192202,18,-0.5
192302,10.5,-8.0
192402,12.7,-5.8
192502,25.4,6.9
192602,15.1,-3.4
192702,21,2.5
192802,18.3,-0.2
192902,18.2,-0.3
193002,20.4,1.9
193102,19.4,0.9
193202,19,0.5
193302,23,4.5
193402,6.6,-11.9
193502,17.2,-1.3
193602,11.6,-6.9
193702,23.9,5.4
193802,21.6,3.1
193902,19.9,1.4
194002,18.6,0.1
194102,19.7,1.2
194202,16.7,-1.8
194302,19.4,0.9
194402,16.6,-1.9
194502,19.4,0.9
194602,14.9,-3.6
194702,18.4,-0.1
194802,13.5,-5.0
194902,23.7,5.2
195002,15.9,-2.6
195102,23.5,5.0
195202,21.7,3.2
195302,23.5,5.0
195402,25.9,7.4
195502,21.6,3.1
195602,21.7,3.2
195702,23,4.5
195802,14.8,-3.7
195902,14.3,-4.2
196002,24.8,6.3
196102,20.6,2.1
196202,14.1,-4.4
196302,13.5,-5.0
196402,18.2,-0.3
196502,17.6,-0.9
196602,19.7,1.2
196702,13.9,-4.6
196802,14.1,-4.4
196902,21,2.5
197002,19.6,1.1
197102,20.1,1.6
197202,17.1,-1.4
197302,18.7,0.2
197402,18,-0.5
197502,19.8,1.3
197602,23.9,5.4
197702,19.9,1.4
197802,13.2,-5.3
197902,11.5,-7.0
198002,16.8,-1.7
198102,28.4,9.9
198202,18.5,0.0
198302,23,4.5
198402,28.3,9.8
198502,22.2,3.7
198602,17.8,-0.7
198702,17.6,-0.9
198802,20.4,1.9
198902,19.3,0.8
199002,22.3,3.8
199102,24.7,6.2
199202,21.5,3.0
199302,12,-6.5
199402,14.9,-3.6
199502,17.7,-0.8
199602,19.7,1.2
199702,24.9,6.4
199802,27.8,9.3
199902,24.4,5.9
200002,22.8,4.3
200102,20.8,2.3
200202,25,6.5
200302,16.3,-2.2
200402,20.7,2.2
200502,22.5,4.0
200602,22.5,4.0
200702,15,-3.5
200802,22.2,3.7
200902,21.7,3.2
201002,25.3,6.8
201102,18.7,0.2
201202,26.9,8.4
201302,23.1,4.6
201402,18.1,-0.4
201502,8.1,-10.4
