New Mexico, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,59.9,-0.3
189605,63.3,3.1
189705,62.3,2.1
189805,60.1,-0.1
189905,59.7,-0.5
190005,61.6,1.4
190105,61.1,0.9
190205,61.2,1.0
190305,58.4,-1.8
190405,60.5,0.3
190505,59.4,-0.8
190605,59.8,-0.4
190705,55.4,-4.8
190805,57.3,-2.9
190905,57.5,-2.7
191005,61.8,1.6
191105,61.1,0.9
191205,59.9,-0.3
191305,61.2,1.0
191405,60.3,0.1
191505,57,-3.2
191605,60,-0.2
191705,54.1,-6.1
191805,59.4,-0.8
191905,60.2,0.0
192005,60.1,-0.1
192105,60.1,-0.1
192205,61,0.8
192305,61,0.8
192405,59.8,-0.4
192505,63.1,2.9
192605,58.9,-1.3
192705,63.2,3.0
192805,60.4,0.2
192905,59.4,-0.8
193005,57.7,-2.5
193105,58.8,-1.4
193205,59.7,-0.5
193305,57.7,-2.5
193405,65,4.8
193505,56.3,-3.9
193605,62,1.8
193705,62,1.8
193805,59.8,-0.4
193905,61.7,1.5
194005,61.5,1.3
194105,60.4,0.2
194205,59.4,-0.8
194305,60.9,0.7
194405,59.2,-1.0
194505,61.4,1.2
194605,59,-1.2
194705,62,1.8
194805,61.5,1.3
194905,60.3,0.1
195005,59.7,-0.5
195105,60.8,0.6
195205,60.7,0.5
195305,56.9,-3.3
195405,61,0.8
195505,59.3,-0.9
195605,63.4,3.2
195705,57.3,-2.9
195805,62.6,2.4
195905,60.6,0.4
196005,59.6,-0.6
196105,61.3,1.1
196205,61.2,1.0
196305,63,2.8
196405,61.3,1.1
196505,59,-1.2
196605,62.2,2.0
196705,59,-1.2
196805,59.1,-1.1
196905,61,0.8
197005,60.6,0.4
197105,58.5,-1.7
197205,59.6,-0.6
197305,58.3,-1.9
197405,63.7,3.5
197505,57,-3.2
197605,58.9,-1.3
197705,60,-0.2
197805,59.4,-0.8
197905,58.6,-1.6
198005,57.9,-2.3
198105,59.9,-0.3
198205,58.7,-1.5
198305,57.2,-3.0
198405,63.9,3.7
198505,60.7,0.5
198605,60.2,0.0
198705,58.5,-1.7
198805,59.7,-0.5
198905,63.6,3.4
199005,59.7,-0.5
199105,61.1,0.9
199205,59.4,-0.8
199305,60.5,0.3
199405,61.1,0.9
199505,58.7,-1.5
199605,66.7,6.5
199705,61.4,1.2
199805,61.8,1.6
199905,59.8,-0.4
200005,66,5.8
200105,63.1,2.9
200205,62.7,2.5
200305,63.2,3.0
200405,63.1,2.9
200505,61.6,1.4
200605,65.1,4.9
200705,60,-0.2
200805,60.2,0.0
200905,63.6,3.4
201005,59.9,-0.3
201105,59.6,-0.6
201205,63.4,3.2
201305,61.6,1.4
201405,60.1,-0.1
201505,58.2,-2.0
