Louisiana, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,79.6,2.4
189609,77,-0.2
189709,77.1,-0.1
189809,78.2,1.0
189909,74.8,-2.4
190009,81.4,4.2
190109,75.6,-1.6
190209,75.9,-1.3
190309,74.9,-2.3
190409,78.8,1.6
190509,78.7,1.5
190609,79.6,2.4
190709,78.4,1.2
190809,76.8,-0.4
190909,77.6,0.4
191009,79.3,2.1
191109,82.1,4.9
191209,79.4,2.2
191309,75,-2.2
191409,77,-0.2
191509,78.5,1.3
191609,76,-1.2
191709,75,-2.2
191809,72.9,-4.3
191909,77.3,0.1
192009,79.4,2.2
192109,81.3,4.1
192209,77.9,0.7
192309,76.8,-0.4
192409,76.3,-0.9
192509,81.5,4.3
192609,80.3,3.1
192709,78.2,1.0
192809,75.1,-2.1
192909,77,-0.2
193009,77.4,0.2
193109,80,2.8
193209,77.1,-0.1
193309,81.1,3.9
193409,75.9,-1.3
193509,76,-1.2
193609,80.4,3.2
193709,76.6,-0.6
193809,76.6,-0.6
193909,79.6,2.4
194009,74.5,-2.7
194109,79,1.8
194209,74.7,-2.5
194309,74.7,-2.5
194409,77.9,0.7
194509,78.6,1.4
194609,76.3,-0.9
194709,78.8,1.6
194809,75.1,-2.1
194909,76.2,-1.0
195009,76.1,-1.1
195109,77.6,0.4
195209,75.6,-1.6
195309,77,-0.2
195409,79,1.8
195509,79,1.8
195609,76.1,-1.1
195709,74.8,-2.4
195809,78.1,0.9
195909,77.7,0.5
196009,77.1,-0.1
196109,76.4,-0.8
196209,78,0.8
196309,77.1,-0.1
196409,77,-0.2
196509,77.6,0.4
196609,75.9,-1.3
196709,73.2,-4.0
196809,74,-3.2
196909,76,-1.2
197009,79.1,1.9
197109,77.3,0.1
197209,80.2,3.0
197309,77.7,0.5
197409,73.4,-3.8
197509,73.4,-3.8
197609,75.5,-1.7
197709,79.3,2.1
197809,78.1,0.9
197909,75,-2.2
198009,81.3,4.1
198109,75.2,-2.0
198209,75.3,-1.9
198309,75,-2.2
198409,75.1,-2.1
198509,76.3,-0.9
198609,79.9,2.7
198709,76.1,-1.1
198809,77.4,0.2
198909,75,-2.2
199009,78.7,1.5
199109,75.8,-1.4
199209,76.4,-0.8
199309,77.9,0.7
199409,75.4,-1.8
199509,77.3,0.1
199609,75.7,-1.5
199709,78.3,1.1
199809,80.6,3.4
199909,75.8,-1.4
200009,77.7,0.5
200109,75.4,-1.8
200209,78.6,1.4
200309,76,-1.2
200409,77.8,0.6
200509,81.3,4.1
200609,75.9,-1.3
200709,78.6,1.4
200809,75.4,-1.8
200909,77.4,0.2
201009,79.8,2.6
201109,76.1,-1.1
201209,77.4,0.2
201309,79.9,2.7
201409,78.1,0.9
201509,78.4,1.2
