Michigan, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,43.8,1.9
189604,45.9,4.0
189704,39.9,-2.0
189804,39.9,-2.0
189904,43.9,2.0
190004,44.2,2.3
190104,43.2,1.3
190204,42,0.1
190304,41.8,-0.1
190404,36.8,-5.1
190504,40.2,-1.7
190604,44.2,2.3
190704,33.5,-8.4
190804,41.9,0.0
190904,37.4,-4.5
191004,45.3,3.4
191104,40.4,-1.5
191204,41.8,-0.1
191304,42.9,1.0
191404,40,-1.9
191504,48.3,6.4
191604,41.3,-0.6
191704,38.1,-3.8
191804,39.9,-2.0
191904,41.5,-0.4
192004,36.2,-5.7
192104,47.6,5.7
192204,42.1,0.2
192304,38.5,-3.4
192404,40.5,-1.4
192504,45.8,3.9
192604,35.6,-6.3
192704,41.7,-0.2
192804,37.4,-4.5
192904,43.2,1.3
193004,41.9,0.0
193104,43,1.1
193204,39.4,-2.5
193304,41.5,-0.4
193404,39.2,-2.7
193504,40.4,-1.5
193604,36.7,-5.2
193704,40.3,-1.6
193804,43.5,1.6
193904,38.8,-3.1
194004,38.1,-3.8
194104,47.6,5.7
194204,48.2,6.3
194304,38.4,-3.5
194404,38.4,-3.5
194504,44.3,2.4
194604,43.4,1.5
194704,39.1,-2.8
194804,46.1,4.2
194904,43.2,1.3
195004,35,-6.9
195104,41.3,-0.6
195204,44.9,3.0
195304,39.6,-2.3
195404,44.1,2.2
195504,49,7.1
195604,39.6,-2.3
195704,43.6,1.7
195804,44.1,2.2
195904,42.2,0.3
196004,44.1,2.2
196104,39.5,-2.4
196204,41.8,-0.1
196304,44,2.1
196404,44,2.1
196504,39.3,-2.6
196604,39.9,-2.0
196704,43.1,1.2
196804,45.5,3.6
196904,43.9,2.0
197004,43.3,1.4
197104,40.7,-1.2
197204,38,-3.9
197304,43,1.1
197404,43.6,1.7
197504,36.8,-5.1
197604,45,3.1
197704,46.6,4.7
197804,40,-1.9
197904,40.2,-1.7
198004,42.6,0.7
198104,45,3.1
198204,38.2,-3.7
198304,39.6,-2.3
198404,44,2.1
198504,46.7,4.8
198604,46.8,4.9
198704,46.7,4.8
198804,43.1,1.2
198904,40.6,-1.3
199004,45,3.1
199104,46.7,4.8
199204,40.2,-1.7
199304,40.4,-1.5
199404,43.3,1.4
199504,38.9,-3.0
199604,38.4,-3.5
199704,40.4,-1.5
199804,45.7,3.8
199904,45.8,3.9
200004,42.4,0.5
200104,46.1,4.2
200204,43.4,1.5
200304,41.4,-0.5
200404,44.2,2.3
200504,46.4,4.5
200604,47.5,5.6
200704,41.8,-0.1
200804,45.7,3.8
200904,43.1,1.2
201004,49.1,7.2
201104,42,0.1
201204,43.9,2.0
201304,39.5,-2.4
201404,41.2,-0.7
201504,43.2,1.3
