Utah, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,61.3,-2.7
189606,67.6,3.6
189706,62.9,-1.1
189806,64.3,0.3
189906,63,-1.0
190006,67.6,3.6
190106,61.8,-2.2
190206,65.9,1.9
190306,65.1,1.1
190406,62.5,-1.5
190506,63.4,-0.6
190606,60.8,-3.2
190706,57.9,-6.1
190806,59.3,-4.7
190906,65.2,1.2
191006,66.3,2.3
191106,63.7,-0.3
191206,63.4,-0.6
191306,62.6,-1.4
191406,62,-2.0
191506,60.5,-3.5
191606,62.4,-1.6
191706,62.4,-1.6
191806,69.8,5.8
191906,66.2,2.2
192006,62.9,-1.1
192106,65.2,1.2
192206,66.6,2.6
192306,60.4,-3.6
192406,65.8,1.8
192506,61.6,-2.4
192606,66.9,2.9
192706,64.4,0.4
192806,62.3,-1.7
192906,62.6,-1.4
193006,64.7,0.7
193106,67.1,3.1
193206,62.9,-1.1
193306,67.8,3.8
193406,63.1,-0.9
193506,66,2.0
193606,67.9,3.9
193706,63.4,-0.6
193806,65.4,1.4
193906,63.4,-0.6
194006,68.4,4.4
194106,61.6,-2.4
194206,63.1,-0.9
194306,61.4,-2.6
194406,59.8,-4.2
194506,59.2,-4.8
194606,65.8,1.8
194706,60.6,-3.4
194806,63.4,-0.6
194906,62.4,-1.6
195006,62.4,-1.6
195106,61.6,-2.4
195206,63.7,-0.3
195306,64.2,0.2
195406,63.1,-0.9
195506,62.4,-1.6
195606,66.9,2.9
195706,64.1,0.1
195806,66.2,2.2
195906,67.8,3.8
196006,66.8,2.8
196106,68.8,4.8
196206,63.6,-0.4
196306,61.4,-2.6
196406,61.7,-2.3
196506,60.5,-3.5
196606,64.5,0.5
196706,60,-4.0
196806,64.7,0.7
196906,61.2,-2.8
197006,63.8,-0.2
197106,64.4,0.4
197206,65.7,1.7
197306,63.7,-0.3
197406,68.2,4.2
197506,60.6,-3.4
197606,62.9,-1.1
197706,68.7,4.7
197806,64.6,0.6
197906,64,0.0
198006,63.9,-0.1
198106,67.3,3.3
198206,62.5,-1.5
198306,62.3,-1.7
198406,62.1,-1.9
198506,66.8,2.8
198606,68.1,4.1
198706,67,3.0
198806,68.6,4.6
198906,64,0.0
199006,67.1,3.1
199106,63.5,-0.5
199206,64.4,0.4
199306,61.4,-2.6
199406,69.4,5.4
199506,59.9,-4.1
199606,67.9,3.9
199706,65.2,1.2
199806,60,-4.0
199906,64,0.0
200006,67.3,3.3
200106,67.1,3.1
200206,68.7,4.7
200306,66,2.0
200406,66.1,2.1
200506,61.8,-2.2
200606,68.8,4.8
200706,68.2,4.2
200806,65,1.0
200906,62,-2.0
201006,65.4,1.4
201106,63.3,-0.7
201206,68.7,4.7
201306,69.2,5.2
201406,66,2.0
201506,70.1,6.1
