Arizona, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,71.5,-0.5
189609,71.5,-0.5
189709,72.2,0.2
189809,73,1.0
189909,75.1,3.1
190009,68.3,-3.7
190109,71.4,-0.6
190209,72.1,0.1
190309,70.8,-1.2
190409,70.9,-1.1
190509,72.7,0.7
190609,70.3,-1.7
190709,71.5,-0.5
190809,70.6,-1.4
190909,70.1,-1.9
191009,74.7,2.7
191109,72.7,0.7
191209,67.4,-4.6
191309,70.1,-1.9
191409,73,1.0
191509,70.1,-1.9
191609,70.3,-1.7
191709,72.3,0.3
191809,72.7,0.7
191909,71.3,-0.7
192009,69.7,-2.3
192109,71.5,-0.5
192209,74.1,2.1
192309,68.6,-3.4
192409,72.2,0.2
192509,69.5,-2.5
192609,72.5,0.5
192709,70.7,-1.3
192809,73.2,1.2
192909,71.6,-0.4
193009,70.2,-1.8
193109,72.6,0.6
193209,73.2,1.2
193309,74.9,2.9
193409,71.7,-0.3
193509,71.9,-0.1
193609,70.8,-1.2
193709,74.6,2.6
193809,73.7,1.7
193909,71.3,-0.7
194009,71.9,-0.1
194109,68.8,-3.2
194209,72,0.0
194309,73.5,1.5
194409,72.4,0.4
194509,72.7,0.7
194609,73,1.0
194709,74.9,2.9
194809,73.6,1.6
194909,74.4,2.4
195009,69.5,-2.5
195109,73,1.0
195209,73.8,1.8
195309,73.5,1.5
195409,73.4,1.4
195509,72.6,0.6
195609,75.5,3.5
195709,72,0.0
195809,72.2,0.2
195909,71.1,-0.9
196009,74.3,2.3
196109,69.1,-2.9
196209,73.4,1.4
196309,73.9,1.9
196409,70.4,-1.6
196509,68.6,-3.4
196609,72.1,0.1
196709,71.7,-0.3
196809,71.2,-0.8
196909,73.6,1.6
197009,69.6,-2.4
197109,71.1,-0.9
197209,71.2,-0.8
197309,70.8,-1.2
197409,72.1,0.1
197509,72,0.0
197609,69.8,-2.2
197709,73.1,1.1
197809,71.4,-0.6
197909,75.3,3.3
198009,72.6,0.6
198109,72.8,0.8
198209,72,0.0
198309,74.8,2.8
198409,73.4,1.4
198509,67.7,-4.3
198609,68,-4.0
198709,71.3,-0.7
198809,70.4,-1.6
198909,73.1,1.1
199009,73.1,1.1
199109,72.3,0.3
199209,73.3,1.3
199309,71.8,-0.2
199409,73.7,1.7
199509,74.6,2.6
199609,70.3,-1.7
199709,75,3.0
199809,73.6,1.6
199909,72.6,0.6
200009,74.9,2.9
200109,75.7,3.7
200209,73.6,1.6
200309,74.8,2.8
200409,71.8,-0.2
200509,73.4,1.4
200609,69.8,-2.2
200709,73.8,1.8
200809,73.6,1.6
200909,74.1,2.1
201009,75.4,3.4
201109,74.6,2.6
201209,73.7,1.7
201309,72.4,0.4
201409,74.2,2.2
201509,75,3.0
