Texas, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,45.4,-1.5
189612,48.5,1.6
189712,44,-2.9
189812,41.6,-5.3
189912,45.1,-1.8
190012,46.2,-0.7
190112,45.5,-1.4
190212,46.1,-0.8
190312,46.8,-0.1
190412,46.4,-0.5
190512,41.4,-5.5
190612,52,5.1
190712,48.5,1.6
190812,49.6,2.7
190912,40.3,-6.6
191012,47.6,0.7
191112,43.5,-3.4
191212,43.6,-3.3
191312,44.6,-2.3
191412,40.2,-6.7
191512,49.2,2.3
191612,47.2,0.3
191712,43.8,-3.1
191812,46.5,-0.4
191912,45.4,-1.5
192012,47.1,0.2
192112,51.7,4.8
192212,51.6,4.7
192312,47.6,0.7
192412,44.7,-2.2
192512,43.2,-3.7
192612,46.9,0.0
192712,42.9,-4.0
192812,46.3,-0.6
192912,47.4,0.5
193012,43.6,-3.3
193112,47.3,0.4
193212,42.4,-4.5
193312,53.3,6.4
193412,48.3,1.4
193512,45.3,-1.6
193612,48.7,1.8
193712,46.4,-0.5
193812,47.6,0.7
193912,50,3.1
194012,49.4,2.5
194112,48.5,1.6
194212,48.8,1.9
194312,44.3,-2.6
194412,44,-2.9
194512,45.3,-1.6
194612,50.9,4.0
194712,47.3,0.4
194812,50.7,3.8
194912,48.8,1.9
195012,47.2,0.3
195112,49.4,2.5
195212,45.7,-1.2
195312,43.8,-3.1
195412,49.7,2.8
195512,48.2,1.3
195612,50,3.1
195712,50.1,3.2
195812,44.7,-2.2
195912,48.4,1.5
196012,42.9,-4.0
196112,46.6,-0.3
196212,46.8,-0.1
196312,40.7,-6.2
196412,47.3,0.4
196512,50.6,3.7
196612,45.5,-1.4
196712,45.3,-1.6
196812,46.4,-0.5
196912,49.1,2.2
197012,53.2,6.3
197112,50.7,3.8
197212,44.1,-2.8
197312,47.9,1.0
197412,45.8,-1.1
197512,47.8,0.9
197612,44.6,-2.3
197712,49.5,2.6
197812,45.6,-1.3
197912,47.6,0.7
198012,49.3,2.4
198112,48.8,1.9
198212,47.5,0.6
198312,38.4,-8.5
198412,52.8,5.9
198512,44.1,-2.8
198612,45.9,-1.0
198712,47.5,0.6
198812,48.5,1.6
198912,39.7,-7.2
199012,45.8,-1.1
199112,49.2,2.3
199212,48.7,1.8
199312,49.2,2.3
199412,50.6,3.7
199512,48.8,1.9
199612,49.8,2.9
199712,45,-1.9
199812,48.2,1.3
199912,48.6,1.7
200012,42.4,-4.5
200112,49.4,2.5
200212,47.8,0.9
200312,49.1,2.2
200412,47.6,0.7
200512,47.3,0.4
200612,48.2,1.3
200712,49.2,2.3
200812,48.2,1.3
200912,43.1,-3.8
201012,49.2,2.3
201112,46.1,-0.8
201212,51.1,4.2
201312,44.9,-2.0
201412,50.7,3.8
201512,51.5,4.6
