Washington, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,45.6,0.5
189604,41.9,-3.2
189704,47.3,2.2
189804,45.5,0.4
189904,43.1,-2.0
190004,47.3,2.2
190104,42.5,-2.6
190204,43.5,-1.6
190304,42.2,-2.9
190404,47.3,2.2
190504,46.8,1.7
190604,48.8,3.7
190704,43.4,-1.7
190804,45.6,0.5
190904,42.8,-2.3
191004,47.7,2.6
191104,43.1,-2.0
191204,44.6,-0.5
191304,45,-0.1
191404,46.9,1.8
191504,49.1,4.0
191604,45,-0.1
191704,41.4,-3.7
191804,45.6,0.5
191904,45.9,0.8
192004,41.7,-3.4
192104,42.8,-2.3
192204,42,-3.1
192304,45.9,0.8
192404,44.4,-0.7
192504,47.6,2.5
192604,50.6,5.5
192704,43.2,-1.9
192804,43.1,-2.0
192904,41.9,-3.2
193004,48.7,3.6
193104,46.2,1.1
193204,46,0.9
193304,44.4,-0.7
193404,52.1,7.0
193504,42.8,-2.3
193604,47.7,2.6
193704,42.9,-2.2
193804,46.2,1.1
193904,47.6,2.5
194004,47.1,2.0
194104,48.6,3.5
194204,46.9,1.8
194304,47.3,2.2
194404,45.6,0.5
194504,42.5,-2.6
194604,45.2,0.1
194704,47.1,2.0
194804,41.8,-3.3
194904,46.8,1.7
195004,42.2,-2.9
195104,46,0.9
195204,46.5,1.4
195304,43.7,-1.4
195404,42.2,-2.9
195504,39.8,-5.3
195604,47,1.9
195704,46.1,1.0
195804,44.3,-0.8
195904,45.5,0.4
196004,44.8,-0.3
196104,44,-1.1
196204,47.1,2.0
196304,43.3,-1.8
196404,42.4,-2.7
196504,46.2,1.1
196604,45.4,0.3
196704,41,-4.1
196804,42.7,-2.4
196904,44.6,-0.5
197004,41.2,-3.9
197104,43.3,-1.8
197204,40.9,-4.2
197304,45.1,0.0
197404,44.6,-0.5
197504,40.9,-4.2
197604,43.8,-1.3
197704,48,2.9
197804,44.9,-0.2
197904,44.5,-0.6
198004,47.9,2.8
198104,44.5,-0.6
198204,41.4,-3.7
198304,45,-0.1
198404,43.2,-1.9
198504,45.9,0.8
198604,43.7,-1.4
198704,48.9,3.8
198804,46.9,1.8
198904,48.1,3.0
199004,48.6,3.5
199104,44.8,-0.3
199204,47.6,2.5
199304,44.6,-0.5
199404,48.2,3.1
199504,44.7,-0.4
199604,46,0.9
199704,43.6,-1.5
199804,46,0.9
199904,43.7,-1.4
200004,47.8,2.7
200104,43.5,-1.6
200204,44.7,-0.4
200304,44.6,-0.5
200404,48.6,3.5
200504,46.3,1.2
200604,45.7,0.6
200704,44.9,-0.2
200804,40.8,-4.3
200904,44.1,-1.0
201004,44.6,-0.5
201104,40.2,-4.9
201204,46,0.9
201304,44.7,-0.4
201404,45.8,0.7
201504,45.7,0.6
