Utah, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,34.7,-2.6
189603,36.8,-0.5
189703,29.8,-7.5
189803,32,-5.3
189903,36.6,-0.7
190003,42.3,5.0
190103,35.2,-2.1
190203,33.1,-4.2
190303,35.1,-2.2
190403,38.2,0.9
190503,40,2.7
190603,35.5,-1.8
190703,40.6,3.3
190803,37.8,0.5
190903,35.2,-2.1
191003,44.3,7.0
191103,40.4,3.1
191203,35.8,-1.5
191303,33.6,-3.7
191403,39.7,2.4
191503,38.2,0.9
191603,40.3,3.0
191703,29.4,-7.9
191803,40.6,3.3
191903,35.7,-1.6
192003,34.6,-2.7
192103,41.1,3.8
192203,32.9,-4.4
192303,32.3,-5.0
192403,32.2,-5.1
192503,39.3,2.0
192603,39.2,1.9
192703,36.9,-0.4
192803,40.9,3.6
192903,36.4,-0.9
193003,37.7,0.4
193103,36.3,-1.0
193203,35.8,-1.5
193303,36.9,-0.4
193403,45.2,7.9
193503,35.5,-1.8
193603,37.8,0.5
193703,36.1,-1.2
193803,36.7,-0.6
193903,38,0.7
194003,40.8,3.5
194103,38.6,1.3
194203,33.2,-4.1
194303,37.5,0.2
194403,33.1,-4.2
194503,34.8,-2.5
194603,39.2,1.9
194703,40.2,2.9
194803,30.5,-6.8
194903,36.6,-0.7
195003,36.8,-0.5
195103,35,-2.3
195203,30.1,-7.2
195303,38.8,1.5
195403,35.4,-1.9
195503,33.5,-3.8
195603,37.9,0.6
195703,38.8,1.5
195803,34.1,-3.2
195903,37.4,0.1
196003,39.3,2.0
196103,37.3,0.0
196203,32.5,-4.8
196303,36,-1.3
196403,30.6,-6.7
196503,33.7,-3.6
196603,38.3,1.0
196703,40.7,3.4
196803,39.6,2.3
196903,32.3,-5.0
197003,35.6,-1.7
197103,36.3,-1.0
197203,43.7,6.4
197303,34.2,-3.1
197403,41.6,4.3
197503,35.6,-1.7
197603,33.3,-4.0
197703,33.8,-3.5
197803,42.2,4.9
197903,36.2,-1.1
198003,35.2,-2.1
198103,38.4,1.1
198203,37.7,0.4
198303,38.7,1.4
198403,35.3,-2.0
198503,35.8,-1.5
198603,44.2,6.9
198703,36.5,-0.8
198803,36.6,-0.7
198903,42.9,5.6
199003,41.5,4.2
199103,36.2,-1.1
199203,42,4.7
199303,40.4,3.1
199403,42.4,5.1
199503,39.7,2.4
199603,40,2.7
199703,41.7,4.4
199803,38.1,0.8
199903,41.9,4.6
200003,38.8,1.5
200103,41.4,4.1
200203,36.1,-1.2
200303,40.3,3.0
200403,45.6,8.3
200503,39,1.7
200603,36.3,-1.0
200703,43.1,5.8
200803,37.2,-0.1
200903,39.3,2.0
201003,38,0.7
201103,39.4,2.1
201203,42.6,5.3
201303,41.1,3.8
201403,41,3.7
201503,45,7.7
