Alaska, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192512,2.9,-0.8
192612,1.2,-2.5
192712,3.9,0.2
192812,9.2,5.5
192912,3.3,-0.4
193012,11.3,7.6
193112,4.6,0.9
193212,5.3,1.6
193312,-8.1,-11.8
193412,9.4,5.7
193512,-.6,-4.3
193612,-.4,-4.1
193712,4.2,0.5
193812,7.7,4.0
193912,8.8,5.1
194012,7.3,3.6
194112,4.8,1.1
194212,-9.6,-13.3
194312,8.6,4.9
194412,8.8,5.1
194512,4.5,0.8
194612,-6.5,-10.2
194712,10.3,6.6
194812,-3.9,-7.6
194912,.1,-3.6
195012,5,1.3
195112,3.2,-0.5
195212,5.9,2.2
195312,5.6,1.9
195412,-7.3,-11.0
195512,-.2,-3.9
195612,-7.7,-11.4
195712,-3.6,-7.3
195812,5.3,1.6
195912,-1.2,-4.9
196012,14.9,11.2
196112,-7.9,-11.6
196212,4.8,1.1
196312,12.7,9.0
196412,-8.9,-12.6
196512,-.2,-3.9
196612,-.5,-4.2
196712,6.1,2.4
196812,-2.9,-6.6
196912,14.5,10.8
197012,.9,-2.8
197112,4,0.3
197212,5.4,1.7
197312,6.6,2.9
197412,-2.6,-6.3
197512,-2.4,-6.1
197612,5.9,2.2
197712,-.1,-3.8
197812,10.2,6.5
197912,-2.7,-6.4
198012,-7.5,-11.2
198112,4.5,0.8
198212,9.5,5.8
198312,10,6.3
198412,6.8,3.1
198512,17.3,13.6
198612,15.5,11.8
198712,4.2,0.5
198812,9.8,6.1
198912,11.2,7.5
199012,2.2,-1.5
199112,3.3,-0.4
199212,3.3,-0.4
199312,11.9,8.2
199412,2.8,-0.9
199512,5.6,1.9
199612,.9,-2.8
199712,3.7,0.0
199812,3.8,0.1
199912,-2.6,-6.3
200012,14.5,10.8
200112,.6,-3.1
200212,13.6,9.9
200312,4.6,0.9
200412,8.8,5.1
200512,13.9,10.2
200612,8.1,4.4
200712,8,4.3
200812,6,2.3
200912,10.2,6.5
201012,-2.5,-6.2
201112,9.4,5.7
201212,-.8,-4.5
201312,7,3.3
201412,15,11.3
201512,8.2,4.5
