Mississippi, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,37.4,-10.9
189602,48,-0.3
189702,51,2.7
189802,48.1,-0.2
189902,37.5,-10.8
190002,44.8,-3.5
190102,44.2,-4.1
190202,41,-7.3
190302,47.8,-0.5
190402,50.6,2.3
190502,38.4,-9.9
190602,45,-3.3
190702,49.9,1.6
190802,46.3,-2.0
190902,50.3,2.0
191002,44.3,-4.0
191102,55.5,7.2
191202,42.3,-6.0
191302,46.1,-2.2
191402,45.3,-3.0
191502,48.7,0.4
191602,46.9,-1.4
191702,49.3,1.0
191802,52.6,4.3
191902,48.4,0.1
192002,47.8,-0.5
192102,51.2,2.9
192202,52.6,4.3
192302,46.5,-1.8
192402,47.3,-1.0
192502,53,4.7
192602,51.5,3.2
192702,57.1,8.8
192802,48,-0.3
192902,43.8,-4.5
193002,54.4,6.1
193102,50.4,2.1
193202,57.9,9.6
193302,48.5,0.2
193402,45.6,-2.7
193502,49.5,1.2
193602,43.4,-4.9
193702,48.1,-0.2
193802,54.8,6.5
193902,51.1,2.8
194002,44.9,-3.4
194102,43.8,-4.5
194202,44.2,-4.1
194302,50.3,2.0
194402,54,5.7
194502,51.1,2.8
194602,50.5,2.2
194702,40.8,-7.5
194802,47.9,-0.4
194902,51.9,3.6
195002,53.3,5.0
195102,49.2,0.9
195202,52.5,4.2
195302,49.4,1.1
195402,53.6,5.3
195502,48.8,0.5
195602,53.3,5.0
195702,55.9,7.6
195802,39.7,-8.6
195902,49.4,1.1
196002,43,-5.3
196102,51.7,3.4
196202,55.7,7.4
196302,41.7,-6.6
196402,43.2,-5.1
196502,45.9,-2.4
196602,46.3,-2.0
196702,44,-4.3
196802,40.3,-8.0
196902,46.6,-1.7
197002,44.6,-3.7
197102,46.6,-1.7
197202,48,-0.3
197302,45.3,-3.0
197402,48.1,-0.2
197502,50.6,2.3
197602,54.3,6.0
197702,46.7,-1.6
197802,38.1,-10.2
197902,43.2,-5.1
198002,43.3,-5.0
198102,47.6,-0.7
198202,46.2,-2.1
198302,47.1,-1.2
198402,49.1,0.8
198502,44.3,-4.0
198602,52.2,3.9
198702,49.4,1.1
198802,45.9,-2.4
198902,46.5,-1.8
199002,54.9,6.6
199102,50.4,2.1
199202,52.1,3.8
199302,47,-1.3
199402,49.4,1.1
199502,48.3,0.0
199602,48.2,-0.1
199702,50.9,2.6
199802,49.9,1.6
199902,53.3,5.0
200002,53.2,4.9
200102,52.5,4.2
200202,46,-2.3
200302,46.7,-1.6
200402,45.4,-2.9
200502,51.6,3.3
200602,46,-2.3
200702,46,-2.3
200802,50.1,1.8
200902,50.6,2.3
201002,40.7,-7.6
201102,49.8,1.5
201202,52.2,3.9
201302,49,0.7
201402,46.3,-2.0
201502,41.8,-6.5
