North Dakota, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,48.8,7.6
189604,39.6,-1.6
189704,40.5,-0.7
189804,41.1,-0.1
189904,37.3,-3.9
190004,49.1,7.9
190104,44,2.8
190204,39.8,-1.4
190304,42,0.8
190404,37.3,-3.9
190504,40,-1.2
190604,47.7,6.5
190704,32.2,-9.0
190804,43.6,2.4
190904,34.1,-7.1
191004,47.6,6.4
191104,41.2,0.0
191204,44,2.8
191304,46.1,4.9
191404,41,-0.2
191504,49.9,8.7
191604,39.2,-2.0
191704,36.8,-4.4
191804,40.9,-0.3
191904,42,0.8
192004,32.1,-9.1
192104,40.9,-0.3
192204,42,0.8
192304,38.6,-2.6
192404,38.8,-2.4
192504,47.4,6.2
192604,42.4,1.2
192704,41.1,-0.1
192804,35.9,-5.3
192904,40.9,-0.3
193004,47,5.8
193104,43.7,2.5
193204,43.8,2.6
193304,39.6,-1.6
193404,43.3,2.1
193504,37.9,-3.3
193604,35.2,-6.0
193704,40.2,-1.0
193804,42.5,1.3
193904,41.3,0.1
194004,37.5,-3.7
194104,43.8,2.6
194204,44.7,3.5
194304,44.8,3.6
194404,40.4,-0.8
194504,37.8,-3.4
194604,48,6.8
194704,39.6,-1.6
194804,40.3,-0.9
194904,46.8,5.6
195004,32,-9.2
195104,38.2,-3.0
195204,47.8,6.6
195304,35.7,-5.5
195404,38.6,-2.6
195504,47.6,6.4
195604,34.8,-6.4
195704,39.7,-1.5
195804,43.4,2.2
195904,41,-0.2
196004,40.7,-0.5
196104,36.9,-4.3
196204,41.4,0.2
196304,41.8,0.6
196404,43.6,2.4
196504,39.9,-1.3
196604,35.8,-5.4
196704,37.5,-3.7
196804,41.4,0.2
196904,44.7,3.5
197004,36.9,-4.3
197104,42.4,1.2
197204,39.3,-1.9
197304,40.6,-0.6
197404,40.9,-0.3
197504,33.5,-7.7
197604,45.4,4.2
197704,48.8,7.6
197804,41.3,0.1
197904,33.2,-8.0
198004,48.3,7.1
198104,46.2,5.0
198204,38.5,-2.7
198304,38.5,-2.7
198404,43.2,2.0
198504,46.2,5.0
198604,41.2,0.0
198704,50.2,9.0
198804,44.1,2.9
198904,41.9,0.7
199004,42.1,0.9
199104,45.5,4.3
199204,40.1,-1.1
199304,41.3,0.1
199404,41.9,0.7
199504,36.6,-4.6
199604,36.3,-4.9
199704,36.5,-4.7
199804,46.9,5.7
199904,42.6,1.4
200004,41.6,0.4
200104,42.6,1.4
200204,38.2,-3.0
200304,44.9,3.7
200404,43.4,2.2
200504,46.8,5.6
200604,48.5,7.3
200704,40.7,-0.5
200804,40,-1.2
200904,39.3,-1.9
201004,47.2,6.0
201104,39.1,-2.1
201204,45.8,4.6
201304,31.3,-9.9
201404,38.2,-3.0
201504,44.4,3.2
