Arizona, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,50.1,0.6
189603,51.3,1.8
189703,45.1,-4.4
189803,47,-2.5
189903,50.1,0.6
190003,55,5.5
190103,48.9,-0.6
190203,46,-3.5
190303,49.4,-0.1
190403,53,3.5
190503,50.7,1.2
190603,49.8,0.3
190703,51,1.5
190803,51.6,2.1
190903,46.4,-3.1
191003,55.4,5.9
191103,53,3.5
191203,48.2,-1.3
191303,45.9,-3.6
191403,52.3,2.8
191503,48.4,-1.1
191603,53.7,4.2
191703,45.1,-4.4
191803,51.5,2.0
191903,46.8,-2.7
192003,47,-2.5
192103,53.2,3.7
192203,46.1,-3.4
192303,46.3,-3.2
192403,44.7,-4.8
192503,51.5,2.0
192603,50.7,1.2
192703,48.2,-1.3
192803,52.2,2.7
192903,48,-1.5
193003,48.7,-0.8
193103,49.7,0.2
193203,49.5,0.0
193303,50,0.5
193403,56.6,7.1
193503,47.4,-2.1
193603,51,1.5
193703,47.8,-1.7
193803,47.9,-1.6
193903,50.2,0.7
194003,52.3,2.8
194103,48.7,-0.8
194203,46.6,-2.9
194303,51.5,2.0
194403,46.4,-3.1
194503,45.5,-4.0
194603,50.1,0.6
194703,51,1.5
194803,43.7,-5.8
194903,48.2,-1.3
195003,50.7,1.2
195103,48.3,-1.2
195203,43.2,-6.3
195303,50.3,0.8
195403,47.8,-1.7
195503,49.1,-0.4
195603,50.6,1.1
195703,50.6,1.1
195803,45,-4.5
195903,50.3,0.8
196003,52.9,3.4
196103,49.4,-0.1
196203,44.7,-4.8
196303,48.6,-0.9
196403,45,-4.5
196503,46.4,-3.1
196603,50.9,1.4
196703,52.5,3.0
196803,50,0.5
196903,45.8,-3.7
197003,47.3,-2.2
197103,50.6,1.1
197203,57,7.5
197303,44,-5.5
197403,52.3,2.8
197503,47,-2.5
197603,47.9,-1.6
197703,46.1,-3.4
197803,52.7,3.2
197903,47.9,-1.6
198003,47.6,-1.9
198103,48.9,-0.6
198203,49.2,-0.3
198303,48.8,-0.7
198403,51,1.5
198503,49.4,-0.1
198603,54.2,4.7
198703,47.4,-2.1
198803,50.3,0.8
198903,55.5,6.0
199003,52.1,2.6
199103,45.8,-3.7
199203,50.2,0.7
199303,51.9,2.4
199403,52.9,3.4
199503,51.3,1.8
199603,51.9,2.4
199703,55,5.5
199803,49,-0.5
199903,53,3.5
200003,50.5,1.0
200103,51.8,2.3
200203,49.8,0.3
200303,50.6,1.1
200403,58.1,8.6
200503,49.9,0.4
200603,48.3,-1.2
200703,54.5,5.0
200803,51.8,2.3
200903,52.5,3.0
201003,49.2,-0.3
201103,53.3,3.8
201203,51.6,2.1
201303,54.8,5.3
201403,53.9,4.4
201503,56.4,6.9
