Tennessee, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,39.9,0.7
189612,39.8,0.6
189712,40.3,1.1
189812,36.4,-2.8
189912,36.9,-2.3
190012,40.1,0.9
190112,33.9,-5.3
190212,38.2,-1.0
190312,33.3,-5.9
190412,38.9,-0.3
190512,37.5,-1.7
190612,41.7,2.5
190712,40.1,0.9
190812,42,2.8
190912,32.5,-6.7
191012,33.9,-5.3
191112,43.1,3.9
191212,38.8,-0.4
191312,40.8,1.6
191412,34.8,-4.4
191512,39.2,0.0
191612,37.7,-1.5
191712,30,-9.2
191812,45.1,5.9
191912,38.4,-0.8
192012,39.8,0.6
192112,43.2,4.0
192212,44.7,5.5
192312,47.1,7.9
192412,38.1,-1.1
192512,37,-2.2
192612,40.1,0.9
192712,38.3,-0.9
192812,40.1,0.9
192912,39.5,0.3
193012,35.8,-3.4
193112,47.6,8.4
193212,39.7,0.5
193312,47,7.8
193412,37.5,-1.7
193512,31.6,-7.6
193612,42.3,3.1
193712,37.6,-1.6
193812,38.8,-0.4
193912,40.5,1.3
194012,43.9,4.7
194112,42.6,3.4
194212,38.3,-0.9
194312,37.4,-1.8
194412,34.8,-4.4
194512,33.3,-5.9
194612,43.4,4.2
194712,39.6,0.4
194812,41.7,2.5
194912,42.2,3.0
195012,33.6,-5.6
195112,41.9,2.7
195212,39.8,0.6
195312,37.7,-1.5
195412,38.1,-1.1
195512,37.7,-1.5
195612,47.8,8.6
195712,42.8,3.6
195812,34.8,-4.4
195912,41.3,2.1
196012,33.6,-5.6
196112,39.5,0.3
196212,34.8,-4.4
196312,29,-10.2
196412,41.1,1.9
196512,41.4,2.2
196612,38.5,-0.7
196712,42.9,3.7
196812,36.5,-2.7
196912,35.7,-3.5
197012,42.8,3.6
197112,47.4,8.2
197212,41.1,1.9
197312,39.7,0.5
197412,39.7,0.5
197512,39.7,0.5
197612,35.5,-3.7
197712,37.4,-1.8
197812,39.8,0.6
197912,39.9,0.7
198012,39.1,-0.1
198112,36.4,-2.8
198212,45.8,6.6
198312,32.9,-6.3
198412,48.2,9.0
198512,33.8,-5.4
198612,39.3,0.1
198712,42.6,3.4
198812,39.6,0.4
198912,29.4,-9.8
199012,43,3.8
199112,43.2,4.0
199212,39.2,0.0
199312,39.2,0.0
199412,43.7,4.5
199512,37.3,-1.9
199612,42.7,3.5
199712,38.9,-0.3
199812,43.3,4.1
199912,41.5,2.3
200012,30.6,-8.6
200112,44.4,5.2
200212,39.5,0.3
200312,38.9,-0.3
200412,38.7,-0.5
200512,36.4,-2.8
200612,43.3,4.1
200712,44.5,5.3
200812,40.4,1.2
200912,37.9,-1.3
201012,32.7,-6.5
201112,42.8,3.6
201212,45.6,6.4
201312,40.4,1.2
201412,42.8,3.6
201512,51.2,12.0
