Kentucky, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,56.3,1.1
189604,62,6.8
189704,54.3,-0.9
189804,51.1,-4.1
189904,56.2,1.0
190004,55.3,0.1
190104,50.2,-5.0
190204,52.9,-2.3
190304,54.3,-0.9
190404,49.9,-5.3
190504,55.5,0.3
190604,57.9,2.7
190704,47.5,-7.7
190804,56.8,1.6
190904,55.2,0.0
191004,55,-0.2
191104,52.9,-2.3
191204,57.9,2.7
191304,54.4,-0.8
191404,55.2,0.0
191504,59,3.8
191604,53.3,-1.9
191704,54.9,-0.3
191804,53.1,-2.1
191904,55.5,0.3
192004,52.4,-2.8
192104,57.2,2.0
192204,58.2,3.0
192304,53.8,-1.4
192404,56.2,1.0
192504,59.9,4.7
192604,50.4,-4.8
192704,57.5,2.3
192804,51.6,-3.6
192904,58.7,3.5
193004,57.9,2.7
193104,54.5,-0.7
193204,55.1,-0.1
193304,54.6,-0.6
193404,56,0.8
193504,53.9,-1.3
193604,52,-3.2
193704,54.7,-0.5
193804,58.1,2.9
193904,52.8,-2.4
194004,53.4,-1.8
194104,59,3.8
194204,57.5,2.3
194304,53.2,-2.0
194404,54.5,-0.7
194504,57.5,2.3
194604,58.5,3.3
194704,57.3,2.1
194804,59.4,4.2
194904,53.1,-2.1
195004,51.2,-4.0
195104,52.5,-2.7
195204,54.8,-0.4
195304,52.6,-2.6
195404,61,5.8
195504,59.6,4.4
195604,52.9,-2.3
195704,58.6,3.4
195804,54.9,-0.3
195904,55.8,0.6
196004,58,2.8
196104,49.7,-5.5
196204,51.9,-3.3
196304,57.5,2.3
196404,58.5,3.3
196504,57.7,2.5
196604,53.4,-1.8
196704,59,3.8
196804,56.1,0.9
196904,56.8,1.6
197004,57.5,2.3
197104,54,-1.2
197204,55.3,0.1
197304,53.3,-1.9
197404,56.3,1.1
197504,52.3,-2.9
197604,55.2,0.0
197704,58.8,3.6
197804,56.8,1.6
197904,54.3,-0.9
198004,53.1,-2.1
198104,60.3,5.1
198204,51,-4.2
198304,50.3,-4.9
198404,53.6,-1.6
198504,58.9,3.7
198604,57.7,2.5
198704,53.4,-1.8
198804,54.8,-0.4
198904,54.5,-0.7
199004,53.9,-1.3
199104,58.8,3.6
199204,55.6,0.4
199304,53.1,-2.1
199404,58,2.8
199504,56.1,0.9
199604,52.5,-2.7
199704,50.3,-4.9
199804,54.5,-0.7
199904,58.4,3.2
200004,53.9,-1.3
200104,59.9,4.7
200204,58.6,3.4
200304,57.7,2.5
200404,55.8,0.6
200504,57,1.8
200604,60.3,5.1
200704,53.5,-1.7
200804,55.5,0.3
200904,55.8,0.6
201004,59.9,4.7
201104,58.8,3.6
201204,57.3,2.1
201304,55.2,0.0
201404,57.5,2.3
201504,57.5,2.3
