Kentucky, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,75,2.4
189606,72,-0.6
189706,72.6,0.0
189806,75.2,2.6
189906,75.1,2.5
190006,73.4,0.8
190106,75,2.4
190206,72.6,0.0
190306,68,-4.6
190406,72.3,-0.3
190506,74.3,1.7
190606,73.4,0.8
190706,69.6,-3.0
190806,72.5,-0.1
190906,73.9,1.3
191006,69.4,-3.2
191106,74.7,2.1
191206,69.9,-2.7
191306,74.2,1.6
191406,77.7,5.1
191506,71.1,-1.5
191606,69.5,-3.1
191706,70.2,-2.4
191806,72.9,0.3
191906,75.7,3.1
192006,71.2,-1.4
192106,76.7,4.1
192206,74.4,1.8
192306,73.1,0.5
192406,73.3,0.7
192506,76,3.4
192606,69.7,-2.9
192706,69.4,-3.2
192806,68.9,-3.7
192906,71,-1.6
193006,72.3,-0.3
193106,74.5,1.9
193206,74.2,1.6
193306,75.9,3.3
193406,77,4.4
193506,69.7,-2.9
193606,75.3,2.7
193706,73.8,1.2
193806,70.9,-1.7
193906,74.9,2.3
194006,72.9,0.3
194106,74.1,1.5
194206,74.4,1.8
194306,77.4,4.8
194406,76.9,4.3
194506,71,-1.6
194606,72.7,0.1
194706,71.7,-0.9
194806,73.2,0.6
194906,74.2,1.6
195006,71.4,-1.2
195106,72.6,0.0
195206,78.4,5.8
195306,76.4,3.8
195406,74.5,1.9
195506,67.5,-5.1
195606,72.3,-0.3
195706,73.8,1.2
195806,70.3,-2.3
195906,71.6,-1.0
196006,71.3,-1.3
196106,69.5,-3.1
196206,71.9,-0.7
196306,71.9,-0.7
196406,73.6,1.0
196506,71.6,-1.0
196606,71,-1.6
196706,71.7,-0.9
196806,72,-0.6
196906,72.5,-0.1
197006,71.3,-1.3
197106,74.5,1.9
197206,68.4,-4.2
197306,73.4,0.8
197406,67.8,-4.8
197506,72.3,-0.3
197606,70.8,-1.8
197706,71.5,-1.1
197806,72.6,0.0
197906,70.8,-1.8
198006,71,-1.6
198106,73.8,1.2
198206,68.9,-3.7
198306,71.3,-1.3
198406,74.8,2.2
198506,70.9,-1.7
198606,73.9,1.3
198706,74.3,1.7
198806,72.4,-0.2
198906,71.4,-1.2
199006,72.3,-0.3
199106,74,1.4
199206,68.8,-3.8
199306,71.8,-0.8
199406,74.6,2.0
199506,72,-0.6
199606,72.5,-0.1
199706,70.1,-2.5
199806,73.5,0.9
199906,73.5,0.9
200006,73.1,0.5
200106,71,-1.6
200206,74.3,1.7
200306,68.7,-3.9
200406,72.1,-0.5
200506,73.9,1.3
200606,71.4,-1.2
200706,73.7,1.1
200806,74.3,1.7
200906,73.9,1.3
201006,77.1,4.5
201106,74.2,1.6
201206,72.5,-0.1
201306,72.9,0.3
201406,74.1,1.5
201506,74.2,1.6
