Montana, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,49.2,-1.1
189605,47,-3.3
189705,56.8,6.5
189805,49,-1.3
189905,45.4,-4.9
190005,54.6,4.3
190105,56.1,5.8
190205,51.7,1.4
190305,47.5,-2.8
190405,49.7,-0.6
190505,46.9,-3.4
190605,48.4,-1.9
190705,45.1,-5.2
190805,47.9,-2.4
190905,47.2,-3.1
191005,50.8,0.5
191105,49,-1.3
191205,49,-1.3
191305,48.9,-1.4
191405,51,0.7
191505,48.8,-1.5
191605,45.7,-4.6
191705,47.3,-3.0
191805,48.1,-2.2
191905,52.2,1.9
192005,48.6,-1.7
192105,49.8,-0.5
192205,49.3,-1.0
192305,50.4,0.1
192405,49.6,-0.7
192505,52.3,2.0
192605,52.7,2.4
192705,45,-5.3
192805,55.3,5.0
192905,47.7,-2.6
193005,49.5,-0.8
193105,52,1.7
193205,51.8,1.5
193305,48.4,-1.9
193405,58.3,8.0
193505,46.9,-3.4
193605,57.5,7.2
193705,53.4,3.1
193805,48.8,-1.5
193905,54.5,4.2
194005,53.9,3.6
194105,53.5,3.2
194205,47.3,-3.0
194305,46.9,-3.4
194405,53.1,2.8
194505,47.8,-2.5
194605,47.9,-2.4
194705,50.8,0.5
194805,51.5,1.2
194905,53.6,3.3
195005,46.5,-3.8
195105,50.9,0.6
195205,51.5,1.2
195305,46.3,-4.0
195405,49.1,-1.2
195505,48.4,-1.9
195605,51.2,0.9
195705,52.2,1.9
195805,57.2,6.9
195905,46.2,-4.1
196005,49.6,-0.7
196105,51.1,0.8
196205,49.2,-1.1
196305,50.1,-0.2
196405,50.7,0.4
196505,47.9,-2.4
196605,52.4,2.1
196705,47.6,-2.7
196805,47.2,-3.1
196905,51.9,1.6
197005,50.3,0.0
197105,50.8,0.5
197205,50.2,-0.1
197305,50.3,0.0
197405,46.1,-4.2
197505,47.4,-2.9
197605,52.7,2.4
197705,51.7,1.4
197805,49.2,-1.1
197905,48.5,-1.8
198005,53.6,3.3
198105,50.7,0.4
198205,47.3,-3.0
198305,48.2,-2.1
198405,49.5,-0.8
198505,54.4,4.1
198605,50.8,0.5
198705,54.7,4.4
198805,54.7,4.4
198905,49.9,-0.4
199005,48.8,-1.5
199105,49.8,-0.5
199205,53.5,3.2
199305,53.7,3.4
199405,53.6,3.3
199505,48.4,-1.9
199605,45.9,-4.4
199705,51,0.7
199805,52.7,2.4
199905,48.7,-1.6
200005,51.5,1.2
200105,53.3,3.0
200205,47.5,-2.8
200305,50.1,-0.2
200405,48.1,-2.2
200505,49.1,-1.2
200605,52.9,2.6
200705,52.1,1.8
200805,49.6,-0.7
200905,50.5,0.2
201005,46.3,-4.0
201105,47.1,-3.2
201205,49.5,-0.8
201305,51.9,1.6
201405,51.1,0.8
201505,49.6,-0.7
