Minnesota, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,58.7,1.9
189609,53,-3.8
189709,63,6.2
189809,58,1.2
189909,54.3,-2.5
190009,56.7,-0.1
190109,55,-1.8
190209,53,-3.8
190309,53.2,-3.6
190409,54.6,-2.2
190509,59.7,2.9
190609,61.5,4.7
190709,54.1,-2.7
190809,62,5.2
190909,57,0.2
191009,56.6,-0.2
191109,55.1,-1.7
191209,55.5,-1.3
191309,56.8,0.0
191409,58,1.2
191509,56.6,-0.2
191609,54.8,-2.0
191709,55.6,-1.2
191809,50.7,-6.1
191909,58.6,1.8
192009,60.5,3.7
192109,58.7,1.9
192209,60.4,3.6
192309,58.9,2.1
192409,53.5,-3.3
192509,59.5,2.7
192609,53.1,-3.7
192709,58.8,2.0
192809,53.6,-3.2
192909,54.3,-2.5
193009,56.8,0.0
193109,63,6.2
193209,56.1,-0.7
193309,61.5,4.7
193409,53.4,-3.4
193509,56.1,-0.7
193609,60.2,3.4
193709,57.6,0.8
193809,58.8,2.0
193909,59.1,2.3
194009,60.9,4.1
194109,58.2,1.4
194209,53.3,-3.5
194309,54,-2.8
194409,56.9,0.1
194509,55,-1.8
194609,55.7,-1.1
194709,57.3,0.5
194809,62.2,5.4
194909,54.4,-2.4
195009,58,1.2
195109,53,-3.8
195209,58.9,2.1
195309,56.9,0.1
195409,55.9,-0.9
195509,57.2,0.4
195609,53.9,-2.9
195709,54.8,-2.0
195809,58,1.2
195909,57.3,0.5
196009,58.3,1.5
196109,56.2,-0.6
196209,54.7,-2.1
196309,59.7,2.9
196409,55.3,-1.5
196509,49.1,-7.7
196609,57,0.2
196709,57.9,1.1
196809,57.4,0.6
196909,58.1,1.3
197009,57.7,0.9
197109,58.1,1.3
197209,54.6,-2.2
197309,55.9,-0.9
197409,52.8,-4.0
197509,53.9,-2.9
197609,57.7,0.9
197709,56.8,0.0
197809,61.4,4.6
197909,58.8,2.0
198009,56.1,-0.7
198109,56.3,-0.5
198209,56.3,-0.5
198309,58.1,1.3
198409,53.2,-3.6
198509,54.8,-2.0
198609,55.7,-1.1
198709,58.5,1.7
198809,57.8,1.0
198909,57.1,0.3
199009,59.8,3.0
199109,55.8,-1.0
199209,55.6,-1.2
199309,51.6,-5.2
199409,59.9,3.1
199509,56.1,-0.7
199609,57.6,0.8
199709,59.9,3.1
199809,62.4,5.6
199909,56.4,-0.4
200009,56.6,-0.2
200109,57.4,0.6
200209,60.5,3.7
200309,57.9,1.1
200409,62.1,5.3
200509,61.6,4.8
200609,56.3,-0.5
200709,59.2,2.4
200809,58.7,1.9
200909,62.6,5.8
201009,55,-1.8
201109,57.5,0.7
201209,57.3,0.5
201309,61.5,4.7
201409,58.5,1.7
201509,63.8,7.0
