Indiana, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,69.1,3.4
189609,62.6,-3.1
189709,68.5,2.8
189809,68.8,3.1
189909,65,-0.7
190009,69.1,3.4
190109,65.4,-0.3
190209,62.7,-3.0
190309,65.3,-0.4
190409,66,0.3
190509,66.4,0.7
190609,69.2,3.5
190709,64.1,-1.6
190809,69.2,3.5
190909,62.8,-2.9
191009,65.8,0.1
191109,68.3,2.6
191209,66.9,1.2
191309,65.1,-0.6
191409,64.9,-0.8
191509,67.1,1.4
191609,64.2,-1.5
191709,63.5,-2.2
191809,58,-7.7
191909,68.2,2.5
192009,67.5,1.8
192109,70.3,4.6
192209,69.3,3.6
192309,65.7,0.0
192409,60.8,-4.9
192509,71.9,6.2
192609,66.8,1.1
192709,69.4,3.7
192809,61.5,-4.2
192909,65,-0.7
193009,67.2,1.5
193109,70.7,5.0
193209,64.7,-1.0
193309,71,5.3
193409,65.4,-0.3
193509,65,-0.7
193609,69.5,3.8
193709,63.6,-2.1
193809,67,1.3
193909,70.6,4.9
194009,63.8,-1.9
194109,69.4,3.7
194209,64,-1.7
194309,61.9,-3.8
194409,65.8,0.1
194509,67,1.3
194609,65.6,-0.1
194709,66.4,0.7
194809,67,1.3
194909,60,-5.7
195009,63.8,-1.9
195109,63,-2.7
195209,64.8,-0.9
195309,66.5,0.8
195409,68.7,3.0
195509,67.8,2.1
195609,63.6,-2.1
195709,64.3,-1.4
195809,65.1,-0.6
195909,67.9,2.2
196009,69.3,3.6
196109,69.3,3.6
196209,62.3,-3.4
196309,64.4,-1.3
196409,65.5,-0.2
196509,66.5,0.8
196609,63,-2.7
196709,62.4,-3.3
196809,65.1,-0.6
196909,64.5,-1.2
197009,68.6,2.9
197109,68.3,2.6
197209,66.9,1.2
197309,68,2.3
197409,60.7,-5.0
197509,61.1,-4.6
197609,62.5,-3.2
197709,67.6,1.9
197809,68.9,3.2
197909,64.7,-1.0
198009,67.2,1.5
198109,63.7,-2.0
198209,63.9,-1.8
198309,66.5,0.8
198409,63.6,-2.1
198509,66,0.3
198609,68.4,2.7
198709,66.6,0.9
198809,65.5,-0.2
198909,63.2,-2.5
199009,66.3,0.6
199109,65.4,-0.3
199209,63.7,-2.0
199309,61.5,-4.2
199409,64.3,-1.4
199509,63.2,-2.5
199609,63.9,-1.8
199709,64.8,-0.9
199809,69.6,3.9
199909,65.6,-0.1
200009,64.4,-1.3
200109,63.6,-2.1
200209,69.2,3.5
200309,63.4,-2.3
200409,67.1,1.4
200509,69.2,3.5
200609,62.5,-3.2
200709,69,3.3
200809,67.6,1.9
200909,65.5,-0.2
201009,67.2,1.5
201109,63.6,-2.1
201209,64.2,-1.5
201309,66.9,1.2
201409,64,-1.7
201509,68.8,3.1
