Michigan, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,13.3,-4.9
189601,19.4,1.2
189701,17.9,-0.3
189801,20.8,2.6
189901,15.6,-2.6
190001,21.7,3.5
190101,18.1,-0.1
190201,18.9,0.7
190301,18.1,-0.1
190401,10.3,-7.9
190501,13.5,-4.7
190601,25.7,7.5
190701,17.2,-1.0
190801,20.2,2.0
190901,20.8,2.6
191001,18.3,0.1
191101,19.2,1.0
191201,4,-14.2
191301,21.4,3.2
191401,22.7,4.5
191501,16.4,-1.8
191601,21.7,3.5
191701,14.6,-3.6
191801,6.2,-12.0
191901,23.8,5.6
192001,9.3,-8.9
192101,23.7,5.5
192201,16.4,-1.8
192301,18.8,0.6
192401,13.3,-4.9
192501,15.3,-2.9
192601,18.9,0.7
192701,16.2,-2.0
192801,20,1.8
192901,12,-6.2
193001,14.5,-3.7
193101,22.7,4.5
193201,28.7,10.5
193301,26.5,8.3
193401,23.9,5.7
193501,17.4,-0.8
193601,15.4,-2.8
193701,20.3,2.1
193801,17,-1.2
193901,21.5,3.3
194001,14.3,-3.9
194101,20,1.8
194201,19.5,1.3
194301,15,-3.2
194401,25.8,7.6
194501,12.9,-5.3
194601,20.8,2.6
194701,21.7,3.5
194801,12.9,-5.3
194901,23.6,5.4
195001,22.1,3.9
195101,18.8,0.6
195201,21.5,3.3
195301,23,4.8
195401,17.8,-0.4
195501,19.1,0.9
195601,19.8,1.6
195701,13.8,-4.4
195801,20.4,2.2
195901,13.1,-5.1
196001,21.4,3.2
196101,15.9,-2.3
196201,14.7,-3.5
196301,9.9,-8.3
196401,23.5,5.3
196501,17.2,-1.0
196601,14.5,-3.7
196701,22.2,4.0
196801,17,-1.2
196901,19,0.8
197001,13.2,-5.0
197101,14.5,-3.7
197201,16.4,-1.8
197301,22.9,4.7
197401,19.9,1.7
197501,22.2,4.0
197601,14.9,-3.3
197701,8.6,-9.6
197801,15.1,-3.1
197901,12.3,-5.9
198001,19.6,1.4
198101,15.8,-2.4
198201,11.2,-7.0
198301,22.5,4.3
198401,13.4,-4.8
198501,16,-2.2
198601,19.2,1.0
198701,22.5,4.3
198801,17.6,-0.6
198901,25.5,7.3
199001,27.6,9.4
199101,17.4,-0.8
199201,22.9,4.7
199301,21.4,3.2
199401,9.5,-8.7
199501,22.9,4.7
199601,16.7,-1.5
199701,17.6,-0.6
199801,24.8,6.6
199901,17.7,-0.5
200001,19.3,1.1
200101,23.4,5.2
200201,27.5,9.3
200301,16.7,-1.5
200401,14.3,-3.9
200501,18,-0.2
200601,29.9,11.7
200701,24.1,5.9
200801,22.8,4.6
200901,12.6,-5.6
201001,21.3,3.1
201101,16.9,-1.3
201201,25.1,6.9
201301,23,4.8
201401,12.3,-5.9
201501,16.5,-1.7
