South Carolina, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,68.2,-2.1
189605,76.6,6.3
189705,69.2,-1.1
189805,73.5,3.2
189905,73.7,3.4
190005,70.5,0.2
190105,71.5,1.2
190205,73.7,3.4
190305,70.6,0.3
190405,69.7,-0.6
190505,73.1,2.8
190605,69.7,-0.6
190705,69.6,-0.7
190805,71.8,1.5
190905,69.2,-1.1
191005,69.3,-1.0
191105,71.8,1.5
191205,71.8,1.5
191305,71,0.7
191405,71.3,1.0
191505,72.4,2.1
191605,73.3,3.0
191705,65.9,-4.4
191805,71.7,1.4
191905,71,0.7
192005,67.3,-3.0
192105,67.5,-2.8
192205,70.6,0.3
192305,67.9,-2.4
192405,67.9,-2.4
192505,67.9,-2.4
192605,70.5,0.2
192705,71.6,1.3
192805,67.9,-2.4
192905,69.5,-0.8
193005,72.4,2.1
193105,68.3,-2.0
193205,69.5,-0.8
193305,75.4,5.1
193405,69.1,-1.2
193505,71,0.7
193605,72.2,1.9
193705,70.5,0.2
193805,72.1,1.8
193905,69.5,-0.8
194005,68.2,-2.1
194105,71.7,1.4
194205,71,0.7
194305,72,1.7
194405,72.6,2.3
194505,67.7,-2.6
194605,69.7,-0.6
194705,71.1,0.8
194805,71.2,0.9
194905,70.8,0.5
195005,72.4,2.1
195105,69.1,-1.2
195205,71.8,1.5
195305,75.5,5.2
195405,66.2,-4.1
195505,72.6,2.3
195605,71.7,1.4
195705,70.9,0.6
195805,70.5,0.2
195905,72.7,2.4
196005,69.3,-1.0
196105,67.3,-3.0
196205,75.2,4.9
196305,69.3,-1.0
196405,70.8,0.5
196505,74,3.7
196605,68.9,-1.4
196705,67.6,-2.7
196805,68.3,-2.0
196905,69.1,-1.2
197005,70.7,0.4
197105,67.6,-2.7
197205,67,-3.3
197305,68.2,-2.1
197405,71.4,1.1
197505,72.5,2.2
197605,67.1,-3.2
197705,71.4,1.1
197805,69.1,-1.2
197905,69.4,-0.9
198005,69.9,-0.4
198105,67.9,-2.4
198205,71.9,1.6
198305,69.1,-1.2
198405,68.9,-1.4
198505,70.5,0.2
198605,71,0.7
198705,71.8,1.5
198805,68.2,-2.1
198905,67.4,-2.9
199005,70.3,0.0
199105,73.4,3.1
199205,66.6,-3.7
199305,70,-0.3
199405,67.6,-2.7
199505,71.9,1.6
199605,72,1.7
199705,66.2,-4.1
199805,72.9,2.6
199905,68.4,-1.9
200005,73.4,3.1
200105,70.7,0.4
200205,68.6,-1.7
200305,70.2,-0.1
200405,74.1,3.8
200505,67.5,-2.8
200605,68.8,-1.5
200705,69.1,-1.2
200805,69,-1.3
200905,70.9,0.6
201005,73.2,2.9
201105,71.3,1.0
201205,72.7,2.4
201305,67.9,-2.4
201405,71.7,1.4
201505,71.6,1.3
