Idaho, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,43.4,2.4
189604,38,-3.0
189704,42.1,1.1
189804,44.3,3.3
189904,40,-1.0
190004,43.2,2.2
190104,38.7,-2.3
190204,39.7,-1.3
190304,38.7,-2.3
190404,41.8,0.8
190504,43,2.0
190604,43.4,2.4
190704,41,0.0
190804,43.2,2.2
190904,37.2,-3.8
191004,45.9,4.9
191104,38.9,-2.1
191204,39.5,-1.5
191304,41.6,0.6
191404,42.6,1.6
191504,46.9,5.9
191604,42.2,1.2
191704,36,-5.0
191804,39.4,-1.6
191904,42.6,1.6
192004,36.5,-4.5
192104,38.2,-2.8
192204,35.7,-5.3
192304,39.9,-1.1
192404,40.2,-0.8
192504,43.3,2.3
192604,46.5,5.5
192704,39.2,-1.8
192804,38.3,-2.7
192904,37.3,-3.7
193004,46.6,5.6
193104,41.5,0.5
193204,40.9,-0.1
193304,39.1,-1.9
193404,48.6,7.6
193504,39.3,-1.7
193604,43.1,2.1
193704,38.3,-2.7
193804,41.8,0.8
193904,44.2,3.2
194004,42.8,1.8
194104,41.7,0.7
194204,43.2,2.2
194304,45.7,4.7
194404,40.3,-0.7
194504,37.4,-3.6
194604,44,3.0
194704,41.4,0.4
194804,39.7,-1.3
194904,44.6,3.6
195004,39.2,-1.8
195104,42.3,1.3
195204,42.8,1.8
195304,38.9,-2.1
195404,41.8,0.8
195504,36.2,-4.8
195604,42.2,1.2
195704,40.2,-0.8
195804,38.6,-2.4
195904,42.1,1.1
196004,41.6,0.6
196104,39.9,-1.1
196204,43.9,2.9
196304,38.4,-2.6
196404,37.9,-3.1
196504,42.2,1.2
196604,40.4,-0.6
196704,36.4,-4.6
196804,37.7,-3.3
196904,42.3,1.3
197004,34.9,-6.1
197104,39.4,-1.6
197204,38.5,-2.5
197304,38.9,-2.1
197404,40.6,-0.4
197504,34.2,-6.8
197604,39.4,-1.6
197704,44.6,3.6
197804,41.1,0.1
197904,39.8,-1.2
198004,43.9,2.9
198104,42.3,1.3
198204,36.2,-4.8
198304,37.8,-3.2
198404,38.2,-2.8
198504,43.5,2.5
198604,41,0.0
198704,47.2,6.2
198804,44.2,3.2
198904,44.2,3.2
199004,46.1,5.1
199104,39.4,-1.6
199204,45.7,4.7
199304,39.6,-1.4
199404,43.9,2.9
199504,39.8,-1.2
199604,41.4,0.4
199704,38.5,-2.5
199804,41.3,0.3
199904,38.7,-2.3
200004,45.3,4.3
200104,40.1,-0.9
200204,41.5,0.5
200304,40.8,-0.2
200404,44.6,3.6
200504,41.7,0.7
200604,42.8,1.8
200704,43,2.0
200804,36.3,-4.7
200904,40.7,-0.3
201004,40,-1.0
201104,36.4,-4.6
201204,44.4,3.4
201304,40.1,-0.9
201404,41.6,0.6
201504,42.4,1.4
