Massachusetts, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,43.7,-1.0
189604,46.5,1.8
189704,46,1.3
189804,41.5,-3.2
189904,44.6,-0.1
190004,44.3,-0.4
190104,43.5,-1.2
190204,45.6,0.9
190304,45.1,0.4
190404,42.1,-2.6
190504,44.4,-0.3
190604,44.4,-0.3
190704,40.4,-4.3
190804,43.8,-0.9
190904,43.7,-1.0
191004,48.9,4.2
191104,41.7,-3.0
191204,44.3,-0.4
191304,45.5,0.8
191404,41.5,-3.2
191504,48.2,3.5
191604,42.4,-2.3
191704,41.3,-3.4
191804,44.5,-0.2
191904,43.8,-0.9
192004,41.3,-3.4
192104,49.3,4.6
192204,44.6,-0.1
192304,44.2,-0.5
192404,42.7,-2.0
192504,45.8,1.1
192604,40.1,-4.6
192704,44,-0.7
192804,42.3,-2.4
192904,44.3,-0.4
193004,43.6,-1.1
193104,46.2,1.5
193204,43.3,-1.4
193304,43.8,-0.9
193404,45.3,0.6
193504,43.6,-1.1
193604,42.3,-2.4
193704,42.8,-1.9
193804,46.9,2.2
193904,41.1,-3.6
194004,40.6,-4.1
194104,49.5,4.8
194204,47.8,3.1
194304,39.9,-4.8
194404,41.6,-3.1
194504,50.1,5.4
194604,43.3,-1.4
194704,43.7,-1.0
194804,45.2,0.5
194904,47.5,2.8
195004,42.9,-1.8
195104,47,2.3
195204,47.9,3.2
195304,46,1.3
195404,46.8,2.1
195504,46.7,2.0
195604,41.3,-3.4
195704,47.5,2.8
195804,46.2,1.5
195904,46.3,1.6
196004,46.8,2.1
196104,42.6,-2.1
196204,45.9,1.2
196304,44.7,0.0
196404,43.8,-0.9
196504,42.1,-2.6
196604,42.1,-2.6
196704,42.5,-2.2
196804,48.2,3.5
196904,47.5,2.8
197004,44.9,0.2
197104,42.3,-2.4
197204,40.4,-4.3
197304,47.3,2.6
197404,47.5,2.8
197504,41,-3.7
197604,49.2,4.5
197704,46.6,1.9
197804,43.2,-1.5
197904,44.7,0.0
198004,46.5,1.8
198104,48,3.3
198204,43,-1.7
198304,45.8,1.1
198404,44.7,0.0
198504,46.7,2.0
198604,47.6,2.9
198704,46.2,1.5
198804,44.5,-0.2
198904,42.9,-1.8
199004,45.6,0.9
199104,48.8,4.1
199204,43,-1.7
199304,45.8,1.1
199404,47.4,2.7
199504,43.5,-1.2
199604,45.3,0.6
199704,43.4,-1.3
199804,47.2,2.5
199904,46.6,1.9
200004,45.1,0.4
200104,45.9,1.2
200204,48.5,3.8
200304,42.9,-1.8
200404,46.9,2.2
200504,48,3.3
200604,47.7,3.0
200704,43.3,-1.4
200804,47.9,3.2
200904,48.3,3.6
201004,50.6,5.9
201104,47.7,3.0
201204,48.7,4.0
201304,46.3,1.6
201404,45.9,1.2
201504,45.5,0.8
