South Carolina, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,44.6,-1.0
189612,43.3,-2.3
189712,46.3,0.7
189812,45.1,-0.5
189912,44.2,-1.4
190012,44.7,-0.9
190112,42.6,-3.0
190212,45.4,-0.2
190312,39.9,-5.7
190412,43.8,-1.8
190512,43.2,-2.4
190612,47,1.4
190712,45.1,-0.5
190812,49.1,3.5
190912,41.1,-4.5
191012,40.2,-5.4
191112,47.9,2.3
191212,47.5,1.9
191312,46.5,0.9
191412,42.5,-3.1
191512,42.6,-3.0
191612,44.8,-0.8
191712,36.8,-8.8
191812,49.7,4.1
191912,45.3,-0.3
192012,45,-0.6
192112,49.3,3.7
192212,50.1,4.5
192312,51.8,6.2
192412,47.5,1.9
192512,43.8,-1.8
192612,48.7,3.1
192712,45.7,0.1
192812,45.7,0.1
192912,45,-0.6
193012,41,-4.6
193112,53.1,7.5
193212,49.5,3.9
193312,52.1,6.5
193412,44.5,-1.1
193512,37.5,-8.1
193612,47,1.4
193712,43.3,-2.3
193812,45.2,-0.4
193912,45.8,0.2
194012,48.5,2.9
194112,48,2.4
194212,44.7,-0.9
194312,44.9,-0.7
194412,41,-4.6
194512,40.1,-5.5
194612,49.5,3.9
194712,45.1,-0.5
194812,49.1,3.5
194912,47.3,1.7
195012,40.4,-5.2
195112,48.3,2.7
195212,44,-1.6
195312,45.8,0.2
195412,43.1,-2.5
195512,42.6,-3.0
195612,54.2,8.6
195712,46.5,0.9
195812,41.7,-3.9
195912,45.8,0.2
196012,40.1,-5.5
196112,45.8,0.2
196212,42,-3.6
196312,38.3,-7.3
196412,48.1,2.5
196512,45.8,0.2
196612,44.5,-1.1
196712,49.6,4.0
196812,42,-3.6
196912,42.4,-3.2
197012,48.5,2.9
197112,54.5,8.9
197212,50.1,4.5
197312,45.9,0.3
197412,45.9,0.3
197512,45.3,-0.3
197612,42.7,-2.9
197712,44.8,-0.8
197812,47.2,1.6
197912,45.5,-0.1
198012,44.4,-1.2
198112,42.1,-3.5
198212,51.3,5.7
198312,43.8,-1.8
198412,53.2,7.6
198512,43.1,-2.5
198612,46.6,1.0
198712,48.3,2.7
198812,45.1,-0.5
198912,38.6,-7.0
199012,50.8,5.2
199112,49.7,4.1
199212,45.5,-0.1
199312,44.1,-1.5
199412,49.8,4.2
199512,43.1,-2.5
199612,48,2.4
199712,45.6,0.0
199812,51.6,6.0
199912,46.7,1.1
200012,38.6,-7.0
200112,52,6.4
200212,44.2,-1.4
200312,43,-2.6
200412,45.6,0.0
200512,44.2,-1.4
200612,51,5.4
200712,52.1,6.5
200812,51,5.4
200912,44.9,-0.7
201012,38.3,-7.3
201112,50.7,5.1
201212,51.5,5.9
201312,49.9,4.3
201412,49.2,3.6
201512,58.5,12.9
