Indiana, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,53.1,2.5
189604,57.8,7.2
189704,49.3,-1.3
189804,48.3,-2.3
189904,53.3,2.7
190004,51.4,0.8
190104,47.4,-3.2
190204,49.2,-1.4
190304,50.6,0.0
190404,45.2,-5.4
190504,50.3,-0.3
190604,52.9,2.3
190704,41.7,-8.9
190804,51.2,0.6
190904,48.7,-1.9
191004,51.3,0.7
191104,48.2,-2.4
191204,52.3,1.7
191304,50.1,-0.5
191404,50.4,-0.2
191504,55.9,5.3
191604,49,-1.6
191704,48.8,-1.8
191804,47.8,-2.8
191904,50.8,0.2
192004,45.8,-4.8
192104,54.3,3.7
192204,52.8,2.2
192304,48.7,-1.9
192404,51.1,0.5
192504,55.9,5.3
192604,44.4,-6.2
192704,51.1,0.5
192804,46.5,-4.1
192904,53.5,2.9
193004,52.6,2.0
193104,51.1,0.5
193204,50.3,-0.3
193304,50.3,-0.3
193404,50.6,0.0
193504,48,-2.6
193604,46.3,-4.3
193704,49.7,-0.9
193804,52.9,2.3
193904,47.2,-3.4
194004,47.6,-3.0
194104,55.6,5.0
194204,54.6,4.0
194304,48.2,-2.4
194404,49.3,-1.3
194504,52.4,1.8
194604,52.8,2.2
194704,50.5,-0.1
194804,54.7,4.1
194904,49.6,-1.0
195004,45.3,-5.3
195104,48.1,-2.5
195204,51.1,0.5
195304,47.3,-3.3
195404,56.1,5.5
195504,56.8,6.2
195604,48.5,-2.1
195704,52.4,1.8
195804,51.5,0.9
195904,51.8,1.2
196004,54.4,3.8
196104,45.5,-5.1
196204,49.5,-1.1
196304,52.9,2.3
196404,53.3,2.7
196504,51.6,1.0
196604,48.3,-2.3
196704,53.2,2.6
196804,52.4,1.8
196904,52.3,1.7
197004,52.6,2.0
197104,49.8,-0.8
197204,49.8,-0.8
197304,50.3,-0.3
197404,52.8,2.2
197504,47,-3.6
197604,53,2.4
197704,55.9,5.3
197804,51.4,0.8
197904,48.7,-1.9
198004,48.5,-2.1
198104,55.5,4.9
198204,46.2,-4.4
198304,46.9,-3.7
198404,49.2,-1.4
198504,56.2,5.6
198604,54,3.4
198704,51.4,0.8
198804,50.7,0.1
198904,50,-0.6
199004,50.3,-0.3
199104,54.8,4.2
199204,50.3,-0.3
199304,49.2,-1.4
199404,52.8,2.2
199504,50.4,-0.2
199604,48.1,-2.5
199704,46.9,-3.7
199804,52.4,1.8
199904,53.7,3.1
200004,50.4,-0.2
200104,56.5,5.9
200204,53.5,2.9
200304,53.2,2.6
200404,53.3,2.7
200504,54,3.4
200604,55.7,5.1
200704,49.4,-1.2
200804,52.3,1.7
200904,51.5,0.9
201004,57.3,6.7
201104,53,2.4
201204,52.9,2.3
201304,50.8,0.2
201404,52.4,1.8
201504,52.8,2.2
