Arkansas, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,33,-10.1
189602,43.9,0.8
189702,45.8,2.7
189802,44.2,1.1
189902,31.4,-11.7
190002,39.1,-4.0
190102,39.8,-3.3
190202,34,-9.1
190302,40,-3.1
190402,43.4,0.3
190502,31,-12.1
190602,40.5,-2.6
190702,43.8,0.7
190802,43.2,0.1
190902,46.3,3.2
191002,37.7,-5.4
191102,49,5.9
191202,36.8,-6.3
191302,39.8,-3.3
191402,38.9,-4.2
191502,44.9,1.8
191602,42,-1.1
191702,42.6,-0.5
191802,45.6,2.5
191902,43.2,0.1
192002,44.1,1.0
192102,47,3.9
192202,46.6,3.5
192302,40.4,-2.7
192402,41.8,-1.3
192502,48.1,5.0
192602,47.6,4.5
192702,50.7,7.6
192802,43.9,0.8
192902,34.1,-9.0
193002,50.9,7.8
193102,47.2,4.1
193202,51,7.9
193302,40.7,-2.4
193402,40.5,-2.6
193502,44.9,1.8
193602,35.5,-7.6
193702,43,-0.1
193802,49.6,6.5
193902,42.8,-0.3
194002,40.9,-2.2
194102,39.9,-3.2
194202,40.3,-2.8
194302,46.7,3.6
194402,47.4,4.3
194502,43.4,0.3
194602,46.6,3.5
194702,36.5,-6.6
194802,40.8,-2.3
194902,45.3,2.2
195002,46,2.9
195102,43.6,0.5
195202,47.6,4.5
195302,45,1.9
195402,50,6.9
195502,42.8,-0.3
195602,45.7,2.6
195702,49,5.9
195802,36.3,-6.8
195902,43,-0.1
196002,38.4,-4.7
196102,46.4,3.3
196202,48.3,5.2
196302,39,-4.1
196402,40,-3.1
196502,42,-1.1
196602,40.8,-2.3
196702,40.3,-2.8
196802,37.7,-5.4
196902,42,-1.1
197002,41.7,-1.4
197102,42.2,-0.9
197202,44,0.9
197302,41.2,-1.9
197402,45.3,2.2
197502,42.3,-0.8
197602,51.4,8.3
197702,43.4,0.3
197802,31.7,-11.4
197902,36.3,-6.8
198002,38.1,-5.0
198102,43.6,0.5
198202,39.5,-3.6
198302,43.7,0.6
198402,45.6,2.5
198502,37.8,-5.3
198602,47.1,4.0
198702,45.6,2.5
198802,41.5,-1.6
198902,37.2,-5.9
199002,49.3,6.2
199102,46.5,3.4
199202,48.6,5.5
199302,41.3,-1.8
199402,43,-0.1
199502,44.5,1.4
199602,44.4,1.3
199702,46,2.9
199802,46.5,3.4
199902,49.6,6.5
200002,49.1,6.0
200102,45.5,2.4
200202,42.3,-0.8
200302,40.1,-3.0
200402,40.6,-2.5
200502,47.5,4.4
200602,40.8,-2.3
200702,40.9,-2.2
200802,43.6,0.5
200902,47.3,4.2
201002,36.5,-6.6
201102,43.9,0.8
201202,47.2,4.1
201302,43.3,0.2
201402,38.8,-4.3
201502,36.1,-7.0
