Alabama, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,77.5,0.0
189606,77.4,-0.1
189706,81.2,3.7
189806,80.4,2.9
189906,79.9,2.4
190006,76.3,-1.2
190106,78.8,1.3
190206,81.2,3.7
190306,73.7,-3.8
190406,78.1,0.6
190506,79.4,1.9
190606,79.1,1.6
190706,75.7,-1.8
190806,78,0.5
190906,78.2,0.7
191006,75.5,-2.0
191106,80.7,3.2
191206,75.1,-2.4
191306,77.9,0.4
191406,83.1,5.6
191506,78.5,1.0
191606,77.1,-0.4
191706,77.8,0.3
191806,79.6,2.1
191906,78.2,0.7
192006,76.9,-0.6
192106,80.5,3.0
192206,78.5,1.0
192306,76.6,-0.9
192406,79.5,2.0
192506,80.6,3.1
192606,77.3,-0.2
192706,78,0.5
192806,75.8,-1.7
192906,77,-0.5
193006,76.8,-0.7
193106,79.2,1.7
193206,78.5,1.0
193306,78,0.5
193406,79.5,2.0
193506,76.3,-1.2
193606,80.3,2.8
193706,79.6,2.1
193806,76.6,-0.9
193906,78.3,0.8
194006,76.4,-1.1
194106,78,0.5
194206,77.9,0.4
194306,80.9,3.4
194406,80.2,2.7
194506,78.2,0.7
194606,75.7,-1.8
194706,76.7,-0.8
194806,78.8,1.3
194906,77.2,-0.3
195006,77.6,0.1
195106,78.4,0.9
195206,82,4.5
195306,80.6,3.1
195406,79,1.5
195506,73.3,-4.2
195606,76.2,-1.3
195706,78.2,0.7
195806,77.9,0.4
195906,76.6,-0.9
196006,77.3,-0.2
196106,73.9,-3.6
196206,77,-0.5
196306,77.1,-0.4
196406,78.4,0.9
196506,75.7,-1.8
196606,74.3,-3.2
196706,76.3,-1.2
196806,77.6,0.1
196906,77.8,0.3
197006,75.3,-2.2
197106,78,0.5
197206,75,-2.5
197306,76.9,-0.6
197406,73.5,-4.0
197506,76.1,-1.4
197606,74.6,-2.9
197706,79.1,1.6
197806,78,0.5
197906,75.2,-2.3
198006,77.4,-0.1
198106,79.9,2.4
198206,76.3,-1.2
198306,74.5,-3.0
198406,77.1,-0.4
198506,77.5,0.0
198606,79,1.5
198706,77,-0.5
198806,77.1,-0.4
198906,76,-1.5
199006,77.7,0.2
199106,76.8,-0.7
199206,74.9,-2.6
199306,77.6,0.1
199406,77.8,0.3
199506,75.2,-2.3
199606,76.7,-0.8
199706,74,-3.5
199806,80.7,3.2
199906,76.7,-0.8
200006,77.6,0.1
200106,75.9,-1.6
200206,77.2,-0.3
200306,75.6,-1.9
200406,76.8,-0.7
200506,76.7,-0.8
200606,78.1,0.6
200706,78.8,1.3
200806,78.7,1.2
200906,79.4,1.9
201006,80.9,3.4
201106,81.3,3.8
201206,76.8,-0.7
201306,78,0.5
201406,77.9,0.4
201506,78.8,1.3
